OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
208.24,211.37,531.28,560.75
214.73,216.52,540.3,571.02
217.54,201.83,550.16,669.49
209.04,188.73,550.08,701.9
210.57,191.03,553.73,726.77
209.5,273.33,561.24,957.35
216.33,307.07,558.86,956.83
190.38,545.55,586.41,10.4
217.02,184.19,507.38,7.23
217.79,673.43,493.62,5.17
220.23,197.31,480.04,4.22
188.37,168.83,639.79,3.63
189.2,173.22,530.19,3.22
191.03,173.3,524.96,2.94
188.67,179.1,533.73,2.73
190.06,177.98,322.94,2.7
190.07,182.48,291.7,2.53
190.29,214.78,271.59,2.4
186.71,206.3,196.72,2.3
208.1,194.86,532.11,594.01
210.46,188.33,549.08,643.8
217.88,178.13,568.28,675.99
228.44,176.52,582.03,851.34
194.72,175.73,586.91,899.8
193.51,177.95,604.88,915.79
192.7,178.01,619.16,925.83
188.21,380.29,600.38,26.67
182.53,142.92,610.97,17.68
181.28,119.51,619.19,15.75
180.45,116.98,651.85,12.41
179.49,98.28,658.23,7.4
179.39,90.25,593.14,5.86
178.41,96.36,589.03,4.78
177.07,120.22,588.85,4.02
177.04,93.75,657.57,3.5
183.57,97.73,674.55,3.14
178.39,100.77,686.61,2.87
178.65,102.39,682.75,2.67
208.74,194.47,540.81,625.7
215.74,182.13,562.62,664.34
219.77,178.65,585.45,872.15
230.05,174.76,598.69,855.36
237.91,171.4,618.48,898.23
194.38,172.63,632.31,906.75
189.24,175.75,595.05,290.22
183.32,138.29,607.65,152.17
179.8,109.79,622.46,38.38
179.4,89.72,642.23,39.13
179.54,95.64,659.44,27.11
177.99,95.52,670.08,20.41
177.89,89.38,697.29,19.76
176.7,87.81,686.2,15.64
175.51,90.95,667.27,12.38
184.2,82.53,678.39,10.93
180.03,94.56,681.89,6.43
178.83,95.89,711.49,5.43
177.07,95.1,725.22,4.67
217.6,203.05,550.78,682.7
210.62,189.18,554.47,925.07
216.41,203.98,559.73,826.86
217.11,179.42,508.48,5.93
220.3,180.88,480.19,3.85
189.29,170.66,517.73,3.06
188.76,164.22,540.48,2.64
190.15,210.4,292.93,2.45
186.82,267.9,197.43,2.25
270.03,130.12,13.91,2.23
273.49,75.37,8.47,2.09
278.53,91.79,6.54,1.99
282.07,62.03,5.23,1.92
512.64,356.75,4.33,1.86
537.52,891.68,3.69,1.82
541.8,893.88,3.25,1.79
544.2,898.11,2.92,1.76
165.83,898.33,2.68,1.73
768.58,904.15,2.49,1.71
217.91,179.12,568.4,685.85
194.76,173.84,587.07,904.64
192.75,151.95,619.38,938.71
183.77,133.05,609.66,19.22
180.49,96.6,639.99,11.15
179.48,90.21,593.91,5.43
177.03,95.03,587.26,3.8
184.55,96.19,675.49,3.02
178.8,125.54,686.51,3.18
184.28,109.78,35.46,2.66
176.81,75.62,26.17,2.36
177.73,127.86,18.69,2.27
181.93,102.7,12.75,2.61
189.6,352.75,10.51,2.32
543.77,70.85,8.27,2.12
550.26,111.98,6.68,1.99
554.61,71.46,5.5,1.9
141.73,47.62,4.61,1.84
120.7,38.7,3.95,1.79
219.76,179.47,585.26,881.81
237.88,170.8,621.46,882.05
189.3,175.72,594.91,302.92
179.87,92.52,622.28,37.81
179.2,95.9,659.25,26.87
177.99,95.36,697.02,19.71
175.61,96.89,667.08,12.35
178.71,67.69,681.7,6.48
177.28,92.6,725.0,4.7
176.22,78.68,260.62,3.66
175.9,91.25,84.3,3.07
179.12,65.6,79.29,2.7
179.47,64.98,40.71,3.45
182.52,53.51,29.56,2.93
182.52,60.46,24.76,2.58
115.79,51.53,19.39,2.35
118.4,29.59,19.8,2.42
89.82,29.3,11.59,2.23
83.57,28.72,9.41,2.1
210.71,191.55,556.11,961.95
190.55,602.97,590.68,6.76
220.46,180.47,485.87,3.58
191.2,161.32,528.46,2.74
190.28,211.68,294.99,2.4
186.07,126.67,15.8,2.28
273.48,82.99,8.26,2.07
280.01,58.17,5.7,1.94
512.19,72.65,4.27,1.86
540.43,893.93,3.41,1.8
545.19,901.05,2.9,1.75
166.09,899.68,2.57,1.72
767.81,901.1,2.5,1.69
780.18,905.44,2.27,1.67
176.22,911.13,2.11,1.65
172.83,918.04,1.99,1.64
186.39,913.22,2.04,1.62
186.64,911.1,1.93,1.61
190.29,926.87,1.84,1.6
194.83,174.48,587.33,913.36
188.4,141.06,601.26,21.56
180.66,115.31,640.9,10.16
178.73,93.32,591.24,4.21
184.74,92.64,676.58,2.93
170.59,107.88,43.02,2.82
176.13,104.17,25.8,2.32
183.42,72.69,20.33,2.16
189.76,90.15,10.69,2.31
548.27,64.59,7.53,2.05
119.92,41.04,5.58,1.9
136.98,35.99,4.31,1.81
117.4,51.17,3.47,1.75
145.04,50.79,2.94,1.71
95.86,23.91,2.57,1.68
102.64,32.1,3.01,1.65
100.45,39.93,2.61,1.63
94.5,42.9,2.33,1.61
97.51,32.28,2.13,1.6
237.84,172.61,621.01,889.44
183.5,116.52,607.22,255.55
179.35,90.93,658.92,27.01
176.97,84.66,661.88,15.84
178.94,94.83,681.39,6.63
177.26,76.58,736.43,4.2
175.73,58.24,86.58,3.1
176.32,76.5,52.75,4.08
182.67,50.28,31.56,3.05
538.01,33.19,22.49,2.53
118.35,22.73,20.51,2.5
95.11,24.45,10.86,2.22
88.73,27.8,8.2,2.03
94.26,28.26,6.39,3.86
84.59,27.47,5.12,3.05
78.6,6.52,4.2,2.61
90.13,40.25,3.55,2.3
79.5,9.01,3.05,2.09
83.54,63.9,2.71,1.94
216.73,504.74,561.21,979.08
221.82,165.36,489.64,3.4
189.0,178.62,551.58,2.6
188.45,127.44,200.35,2.19
273.45,89.36,7.99,2.05
280.11,368.87,5.01,1.9
536.91,889.04,3.59,1.81
547.06,902.9,2.88,1.75
759.56,903.06,2.47,1.71
774.54,908.23,2.33,1.68
175.63,901.97,2.11,1.65
176.89,910.37,1.96,1.63
180.13,917.86,1.96,1.61
190.52,928.13,1.84,1.6
192.52,939.65,1.76,1.59
188.49,953.58,1.7,1.58
275.52,954.32,1.66,1.57
