OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
19.5,21.6,55.2,66.4
20.0,26.3,57.8,71.6
20.3,30.3,60.2,73.5
20.6,33.6,63.7,94.2
21.2,35.4,65.6,98.6
21.7,36.4,68.7,99.1
24.8,38.9,70.6,99.4
25.5,40.2,72.9,99.6
26.1,41.1,73.6,99.9
27.8,44.3,78.3,100.0
30.0,70.0,85.8,100.0
33.4,71.9,86.1,100.0
32.5,73.3,92.7,100.0
33.2,73.4,93.2,100.0
33.7,73.9,93.1,100.0
34.2,73.7,93.9,100.0
34.1,74.6,94.6,100.0
34.9,79.4,96.1,100.0
35.6,76.1,97.2,100.0
19.3,21.5,55.3,66.5
19.7,25.9,57.8,71.2
20.2,31.1,61.7,72.6
20.4,33.8,64.2,90.2
20.9,35.3,66.1,94.2
21.5,36.3,70.1,96.8
21.4,38.6,70.4,97.8
21.5,39.6,71.1,97.0
25.9,40.8,71.4,98.1
26.6,41.9,72.7,99.2
28.4,67.3,73.7,99.6
30.9,76.6,84.3,99.8
32.4,72.7,75.4,99.8
33.2,73.5,91.0,99.8
33.8,73.3,88.0,99.9
34.2,88.8,90.8,100.0
34.6,89.0,92.6,100.0
34.7,88.5,92.6,100.0
35.6,76.4,93.3,100.0
19.0,20.4,55.2,66.4
19.4,21.7,57.7,70.8
19.9,28.6,61.2,71.5
20.2,33.4,63.7,73.7
20.6,34.8,66.0,75.2
20.4,35.9,69.5,93.5
20.7,37.5,70.0,94.5
21.4,39.3,70.4,95.2
21.7,40.2,70.9,95.5
22.1,40.4,71.5,95.4
22.4,65.9,71.6,97.1
28.8,68.9,71.8,96.1
31.0,71.1,73.7,95.7
32.6,50.5,76.1,96.3
33.3,71.9,76.0,96.0
33.9,72.2,90.2,96.5
34.4,74.9,90.3,97.3
34.7,72.6,88.0,97.9
35.1,76.9,92.9,99.6
20.3,33.6,60.2,73.2
21.2,35.5,65.3,99.1
24.8,39.1,70.6,99.6
26.1,41.4,73.6,100.0
29.3,67.7,86.0,100.0
32.5,72.6,92.4,100.0
33.7,73.8,93.3,100.0
34.1,75.0,94.7,100.0
35.6,77.1,97.3,100.0
26.8,77.1,98.0,100.0
27.1,78.6,99.0,100.0
27.5,79.1,99.1,100.0
35.7,73.8,99.8,100.0
39.0,74.5,99.8,100.0
40.7,74.5,99.8,100.0
41.2,74.9,99.9,100.0
41.9,75.1,100.0,100.0
43.8,73.5,100.0,100.0
44.6,58.4,100.0,100.0
20.2,30.5,61.7,73.3
20.9,35.3,66.2,95.4
21.4,38.7,70.4,98.1
25.9,40.8,71.4,98.2
28.4,73.0,73.7,99.7
32.4,72.8,75.4,99.8
33.8,88.0,88.0,100.0
34.6,89.4,92.6,100.0
35.5,75.1,93.3,100.0
36.2,89.8,93.6,100.0
27.0,75.5,96.1,100.0
31.5,77.3,97.5,100.0
35.1,9.2,95.8,100.0
35.8,19.3,96.1,100.0
34.7,10.8,97.3,100.0
35.3,10.2,98.0,100.0
39.3,20.1,99.5,100.0
40.2,42.0,99.5,100.0
41.6,43.5,99.6,100.0
19.9,28.6,60.7,71.6
20.6,34.7,65.9,74.4
20.7,37.5,70.0,94.8
21.7,38.8,70.7,95.5
22.4,66.9,71.6,97.0
31.0,48.8,73.7,95.6
33.3,71.8,75.8,97.1
34.4,75.5,90.8,97.2
35.0,88.5,92.9,99.6
35.9,89.2,89.8,99.8
36.2,88.5,93.2,99.8
37.5,89.9,94.7,99.8
27.7,5.1,94.6,99.9
32.0,2.6,95.3,100.0
32.2,2.2,94.9,100.0
25.3,1.4,95.2,100.0
33.0,2.2,95.8,100.0
36.4,1.0,94.8,100.0
37.3,0.7,95.4,100.0
21.2,35.8,65.9,99.1
25.5,65.8,73.0,100.0
29.3,72.0,85.7,100.0
33.2,73.9,93.2,100.0
34.1,78.7,94.8,100.0
35.9,76.2,97.8,100.0
27.1,78.9,99.1,100.0
32.4,74.1,99.6,100.0
39.0,74.6,99.8,100.0
41.0,74.9,99.9,100.0
41.9,74.1,100.0,100.0
44.2,50.5,100.0,100.0
45.5,59.6,100.0,100.0
45.1,73.8,100.0,100.0
50.8,74.6,100.0,100.0
51.2,76.9,100.0,100.0
49.3,74.5,100.0,100.0
49.1,61.0,100.0,100.0
52.6,63.6,100.0,100.0
20.8,35.4,66.2,95.8
21.5,40.0,71.1,98.9
28.4,72.4,73.7,99.8
33.1,74.4,91.0,99.9
34.6,89.4,92.6,100.0
35.9,89.8,93.4,100.0
27.1,75.5,96.1,100.0
31.8,59.6,95.7,100.0
35.8,9.5,96.1,100.0
35.1,43.0,97.6,100.0
39.3,41.8,99.5,100.0
40.4,43.6,99.6,100.0
42.8,22.3,99.8,100.0
44.6,45.0,99.8,100.0
46.1,21.6,99.8,100.0
46.5,23.4,99.8,100.0
48.5,1.4,99.9,100.0
50.3,22.3,100.0,100.0
49.0,61.5,100.0,100.0
20.5,34.7,65.6,93.2
21.4,39.1,70.7,95.2
22.4,67.4,71.4,97.0
32.5,49.6,75.3,95.8
34.4,75.5,90.5,96.7
35.5,88.3,92.5,99.6
36.2,90.2,93.1,99.8
26.0,4.5,94.3,99.8
32.0,2.2,95.2,100.0
25.2,2.2,94.8,100.0
32.9,0.7,95.7,100.0
36.4,4.9,94.9,100.0
39.8,2.1,95.5,100.0
39.4,1.2,95.4,100.0
44.1,1.1,95.9,100.0
44.0,0.6,95.3,100.0
46.3,1.1,96.1,100.0
37.8,0.9,96.3,100.0
49.9,1.0,99.5,100.0
24.8,39.5,70.9,99.8
29.3,72.2,85.9,100.0
33.7,73.8,93.6,100.0
35.3,76.6,97.7,100.0
27.1,79.0,99.1,100.0
33.3,74.5,99.8,100.0
39.7,74.5,99.9,100.0
41.9,74.2,100.0,100.0
44.6,75.5,100.0,100.0
45.7,76.6,100.0,100.0
45.7,76.8,100.0,100.0
51.3,76.9,100.0,100.0
51.3,65.0,100.0,100.0
52.6,42.7,100.0,100.0
61.2,77.7,100.0,100.0
56.8,76.7,100.0,100.0
61.0,65.5,100.0,100.0
57.1,74.9,100.0,100.0
59.1,74.9,100.0,100.0
21.4,38.9,70.4,97.2
28.3,76.3,73.8,99.8
33.7,88.2,87.8,100.0
