OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
19.1,26.1,53.9,70.2
19.7,33.8,57.5,79.5
20.3,38.1,61.9,83.1
21.1,39.6,73.6,96.4
21.7,51.5,78.8,99.1
23.3,48.3,81.5,99.4
28.9,54.9,85.4,99.4
30.4,56.7,89.8,99.5
31.3,68.0,90.1,99.5
32.6,51.9,91.8,99.5
39.0,56.0,92.9,99.6
39.5,71.3,94.3,99.6
40.8,71.9,95.3,99.6
42.2,71.8,96.7,99.6
44.1,73.5,97.0,99.6
44.5,74.4,97.4,99.6
48.0,77.3,97.5,99.6
49.1,78.0,98.2,99.6
47.6,74.4,98.3,99.6
19.3,28.5,53.3,67.2
19.8,36.3,56.7,75.4
20.5,44.3,60.6,82.8
21.6,48.9,70.8,86.3
23.3,57.8,75.6,97.1
24.6,59.1,77.8,98.0
31.7,63.0,80.0,98.7
37.3,66.5,81.9,99.0
38.6,69.0,82.6,99.3
39.4,71.8,86.5,99.4
40.6,73.5,88.5,99.4
42.0,74.1,89.9,99.4
45.4,76.6,90.2,99.6
47.0,82.5,90.3,99.6
49.1,80.2,91.8,99.6
62.5,81.0,92.6,99.6
67.6,86.6,93.3,99.6
64.3,88.2,94.4,99.6
65.8,88.3,95.3,99.6
19.3,29.8,53.2,70.1
19.9,36.9,56.3,71.7
20.8,47.7,60.4,77.3
21.6,54.5,69.8,83.9
23.8,62.8,73.9,91.4
24.8,68.6,75.5,94.7
34.6,74.1,80.1,95.9
37.6,75.0,78.9,96.7
39.1,76.3,78.9,97.2
40.0,76.5,80.8,98.0
41.3,77.1,82.7,98.4
45.0,77.8,85.3,98.7
47.4,86.8,84.5,98.8
60.0,78.3,85.4,99.1
61.7,86.5,86.1,99.2
66.9,87.0,87.6,99.4
67.9,87.4,88.2,99.5
69.0,88.3,89.8,99.5
71.3,88.4,90.3,99.6
20.3,38.8,60.4,84.3
21.7,46.8,79.4,99.4
28.9,54.7,86.0,99.5
31.3,62.6,90.3,99.5
39.0,71.1,93.4,99.6
40.8,72.6,95.9,99.6
44.1,73.6,97.1,99.6
48.0,75.8,97.7,99.6
47.6,74.6,98.3,99.6
49.7,76.0,98.8,99.6
62.2,75.9,99.1,99.6
68.2,33.5,99.3,99.6
51.4,80.7,99.4,99.6
54.3,34.2,99.4,99.6
