OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
20.5,20.4,66.7,89.3
20.5,20.8,72.3,90.6
20.5,21.1,74.7,94.4
20.5,21.6,76.9,95.2
20.4,22.0,81.0,97.3
20.4,22.1,89.5,98.8
20.6,22.6,90.8,99.3
20.7,23.8,90.1,99.3
20.8,22.9,90.6,99.5
20.9,26.5,91.9,99.5
20.9,27.6,92.5,99.6
20.9,29.4,93.5,99.6
21.0,33.5,94.4,99.6
21.2,30.8,94.1,99.6
21.3,35.9,94.9,99.6
21.5,37.7,95.4,99.6
21.9,36.3,95.1,99.7
21.9,36.7,95.5,99.7
22.0,33.4,95.9,99.7
20.1,20.0,66.4,80.9
20.2,20.4,72.2,88.2
20.2,20.6,74.5,92.4
20.2,21.1,75.6,93.5
20.2,21.6,77.8,95.0
20.0,21.4,86.6,94.3
20.0,22.2,89.1,94.7
20.0,22.3,88.0,95.6
20.3,23.5,89.5,98.7
20.4,26.5,90.2,99.0
20.4,27.3,90.6,98.8
20.3,27.8,90.9,99.4
20.6,32.6,92.1,99.4
20.7,2.8,92.3,99.4
21.1,4.0,92.4,99.4
21.1,2.5,93.1,99.5
21.2,1.6,93.5,99.5
21.2,1.6,92.5,99.5
21.1,1.5,93.7,99.5
20.0,19.8,66.4,79.2
19.6,19.6,71.6,81.4
19.3,19.6,74.3,90.1
19.3,19.6,75.1,92.6
19.3,20.7,76.8,93.4
19.8,21.1,78.9,94.5
19.4,21.9,88.3,94.5
19.3,20.6,81.4,94.7
19.6,21.9,87.9,94.9
19.6,24.9,89.5,94.5
19.6,27.2,90.2,95.0
19.7,27.5,90.3,94.8
19.7,33.0,90.7,95.0
19.9,1.6,90.3,96.5
19.6,1.4,91.4,98.1
19.5,1.2,91.3,98.6
19.6,1.3,92.3,97.4
19.2,1.2,92.7,98.8
19.7,1.1,92.5,98.9
20.5,21.2,74.7,94.9
20.4,22.1,81.1,98.6
20.6,22.8,90.6,99.3
20.8,24.2,90.6,99.5
20.9,28.8,92.3,99.6
21.0,34.5,94.6,99.6
21.3,36.1,95.2,99.6
21.9,38.5,95.3,99.7
22.0,11.0,96.0,99.7
22.0,11.5,97.3,99.7
22.1,11.3,98.6,99.7
22.2,14.1,99.5,99.9
22.7,15.6,99.5,99.9
22.8,4.1,99.5,99.9
24.8,1.6,99.6,99.9
25.0,1.6,99.7,99.9
27.2,77.8,99.8,99.9
27.6,78.0,99.4,99.8
25.6,78.3,99.4,99.8
20.2,20.6,74.5,92.2
20.2,21.7,77.8,94.2
20.0,22.4,89.2,95.1
20.3,22.6,89.5,98.9
20.4,27.6,90.3,99.4
20.6,32.9,92.1,99.4
21.1,2.0,92.4,99.5
21.2,1.6,93.5,99.5
21.1,1.5,93.7,99.5
21.0,1.3,93.8,99.7
21.4,1.1,93.3,99.7
21.4,0.9,94.0,99.7
22.3,3.9,98.7,99.9
23.3,0.5,99.0,99.9
24.6,0.4,99.4,99.9
24.9,0.3,99.5,99.9
25.3,1.2,99.5,99.9
26.7,1.3,99.6,99.9
26.9,5.2,99.6,99.9
19.3,19.6,74.3,90.3
19.3,20.8,76.8,93.8
19.4,21.4,88.3,94.2
19.6,23.7,87.9,94.9
19.6,27.2,90.3,94.9
19.7,34.3,91.5,95.2
19.6,1.2,90.8,98.4
19.6,1.1,92.3,97.4
19.7,1.1,92.3,98.8
20.6,0.4,92.6,99.2
21.5,0.7,93.7,99.3
21.2,0.4,94.4,99.4
21.9,0.8,94.8,99.4
20.3,0.3,94.7,99.4
24.3,0.3,96.7,99.9
24.3,0.4,98.5,99.9
24.9,0.3,98.7,99.9
25.0,0.2,98.9,99.9
25.5,0.3,96.9,99.9
20.4,22.1,82.0,98.9
20.7,22.9,90.3,99.4
20.9,29.4,92.3,99.6
21.2,36.4,94.5,99.6
21.8,35.4,95.5,99.7
22.0,11.5,97.1,99.7
22.1,11.3,98.6,99.7
22.8,4.2,99.5,99.9
22.8,1.6,99.6,99.9
24.8,1.6,99.7,99.9
27.2,78.0,99.8,99.9
25.6,78.5,99.4,99.8
27.8,78.7,99.4,99.8
35.6,80.2,99.4,99.8
37.8,80.5,99.6,99.8
37.8,80.6,99.6,99.8
38.8,80.9,99.9,100.0
38.8,80.6,99.9,100.0
39.0,89.3,99.9,100.0
20.2,21.7,77.8,94.3
20.0,22.4,88.0,98.3
20.4,27.6,90.3,99.4
20.7,2.1,92.3,99.5
21.1,1.6,93.4,99.5
21.1,1.3,93.4,99.7
21.3,1.0,93.3,99.7
22.2,0.9,98.2,99.8
22.3,0.5,99.0,99.9
24.9,0.3,99.4,99.9
25.2,1.3,99.5,99.9
27.5,1.1,99.6,99.9
27.6,1.0,99.6,99.9
29.4,1.2,99.2,99.7
35.6,1.0,95.5,99.8
46.2,1.0,96.3,99.8
39.5,1.0,97.7,99.8
39.6,0.9,99.2,99.8
40.3,1.0,99.2,99.8
19.3,20.8,76.8,94.0
19.3,21.5,80.9,94.7
19.6,27.5,90.3,94.9
19.9,1.6,90.2,96.4
19.6,1.1,92.1,98.9
20.5,0.4,93.2,98.9
21.5,0.6,93.3,99.3
21.3,0.8,93.7,99.4
20.3,0.3,94.7,99.4
24.3,0.3,97.2,99.9
24.9,0.3,98.7,99.9
26.8,0.2,98.9,99.9
26.8,0.2,97.5,99.9
28.2,0.2,98.8,99.9
30.0,0.2,99.0,99.9
30.1,0.2,99.6,99.9
36.8,0.2,98.2,99.6
36.5,0.2,95.5,99.6
37.6,0.4,95.3,99.6
20.6,24.2,90.9,99.4
20.9,29.1,93.1,99.6
21.3,38.0,95.4,99.7
22.0,9.8,96.5,99.7
22.1,4.0,98.7,99.7
22.7,74.5,99.5,99.9
24.6,1.3,99.6,99.9
27.2,78.3,99.8,99.9
25.6,79.8,99.4,99.8
28.9,80.2,99.4,99.8
37.8,80.6,99.6,99.8
38.6,81.9,99.6,99.8
38.2,81.1,99.9,100.0
39.0,89.8,99.9,100.0
39.1,90.7,99.9,100.0
39.7,86.4,99.9,100.0
40.2,91.3,99.9,100.0
40.2,91.1,99.9,100.0
41.2,91.3,99.9,100.0
20.0,22.0,89.7,95.5
20.4,27.8,90.3,99.4
20.8,1.6,92.4,99.5
21.1,1.3,93.7,99.6
21.3,0.9,93.3,99.7
22.3,1.4,98.7,99.9
24.3,0.3,99.4,99.9
25.2,1.2,99.5,99.9
27.6,0.9,99.6,99.9
28.9,0.9,98.5,99.7
30.4,1.0,95.5,99.7
46.6,1.0,96.3,99.8
39.1,0.7,99.0,99.8
40.3,0.7,99.2,99.8
41.7,1.3,99.3,99.8
41.6,65.1,99.8,100.0
41.9,86.5,99.9,100.0
44.8,90.8,99.9,100.0
46.5,1.2,99.9,100.0
19.4,22.1,88.3,94.5
19.6,28.2,90.3,94.9
19.6,1.2,90.7,97.2
20.1,0.4,91.9,98.6
21.1,0.4,94.4,99.3
21.9,0.4,94.4,99.4
24.2,0.3,96.2,99.9
24.9,0.2,98.6,99.9
25.5,0.2,98.9,99.9
28.1,0.2,98.8,99.9
30.0,0.2,99.0,99.9
30.7,0.2,99.6,99.9
37.8,0.2,98.3,99.6
38.5,0.4,96.0,99.6
38.7,0.3,95.9,99.6
39.2,0.3,96.5,99.6
40.6,0.3,97.1,99.6
40.1,0.3,97.6,99.6
40.9,0.2,98.5,99.6
20.8,27.6,90.8,99.6
21.2,37.3,94.6,99.6
22.0,11.3,97.2,99.7
22.2,2.2,99.5,99.9
22.8,4.9,99.6,99.9
27.1,78.2,99.8,99.9
25.6,80.0,99.4,99.8
35.9,80.3,99.4,99.8
37.8,81.8,99.6,99.8
38.6,85.6,99.9,100.0
39.1,90.0,99.9,100.0
39.4,86.3,99.9,100.0
40.5,92.6,99.9,100.0
40.2,92.6,99.9,100.0
41.3,90.8,99.9,100.0
47.4,86.1,100.0,100.0
48.5,83.3,100.0,100.0
49.7,86.4,100.0,100.0
57.2,75.3,100.0,100.0
20.0,22.7,90.0,98.2
20.7,1.6,92.2,99.5
21.1,1.3,93.7,99.6
21.8,0.8,94.3,99.7
22.3,0.3,99.0,99.9
24.7,1.0,99.5,99.9
27.6,1.0,99.6,99.9
29.3,1.0,98.5,99.6
46.1,1.0,95.5,99.6
38.7,0.7,97.2,99.6
40.1,0.9,99.2,99.8
45.2,1.2,99.3,99.8
41.7,0.8,99.9,100.0
42.5,1.1,99.9,100.0
45.8,1.0,99.9,100.0
45.0,1.1,99.9,100.0
49.4,97.2,99.9,100.0
48.8,80.7,100.0,100.0
49.6,78.1,100.0,100.0
19.6,24.3,87.8,94.9
19.9,1.2,90.2,95.2
20.1,0.4,92.4,97.4
21.2,0.4,93.7,99.3
20.7,0.3,94.7,99.4
24.8,0.2,97.9,99.9
25.5,0.2,98.9,99.9
28.2,0.2,98.8,99.9
30.1,0.2,99.6,99.9
37.7,0.2,97.8,99.3
38.2,0.3,95.7,99.6
38.7,0.2,95.9,99.6
39.3,0.3,96.0,99.6
40.0,0.7,97.1,99.6
40.8,0.2,98.3,99.6
39.4,0.2,99.2,99.6
42.6,0.2,96.0,99.6
43.2,0.2,97.0,99.6
50.6,0.1,97.9,99.6
20.9,34.2,94.2,99.6
21.9,9.9,95.8,99.7
22.2,2.1,98.9,99.7
22.9,1.2,99.6,99.9
27.3,79.0,99.8,99.9
27.8,80.2,99.4,99.8
37.8,81.8,99.5,99.8
38.0,81.5,99.9,100.0
39.1,86.3,99.9,100.0
41.5,86.1,99.9,100.0
40.0,85.9,99.9,100.0
41.9,91.8,99.9,100.0
47.5,78.7,100.0,100.0
48.4,80.7,100.0,100.0
48.3,92.3,100.0,100.0
52.0,91.8,100.0,100.0
60.3,91.8,100.0,100.0
68.1,91.9,100.0,100.0
60.7,93.4,100.0,100.0
20.4,28.0,90.3,99.4
21.2,1.4,93.5,99.5
21.3,0.7,92.8,99.7
22.4,0.3,99.0,99.9
25.2,1.2,99.5,99.9
27.7,1.0,99.6,99.9
29.7,1.0,98.6,99.6
38.6,0.9,96.1,99.6
40.1,0.8,99.2,99.6
40.3,72.8,99.3,99.6
41.9,73.1,99.9,100.0
45.5,97.1,99.9,100.0
44.5,86.2,99.9,100.0
48.2,76.1,99.9,100.0
48.2,86.5,100.0,100.0
49.8,96.9,100.0,100.0
62.3,97.0,100.0,100.0
2.8,97.0,100.0,100.0
1.7,86.8,100.0,100.0
19.7,27.8,90.3,94.5
