,OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
"(0.65, 0.1, 3.0)",57.42809999999991,38.55030000000001,76.12530000000014,80.61020000000025
"(0.65, 0.1, 3.5)",57.06769999999996,37.89920000000001,74.45010000000022,79.81120000000027
"(0.65, 0.1, 4.0)",56.57949999999998,36.18909999999995,72.8539000000003,79.27780000000021
"(0.65, 0.1, 4.5)",56.337099999999964,36.45939999999996,71.57990000000026,79.04710000000028
"(0.65, 0.1, 5.0)",56.90189999999992,35.86409999999995,71.14970000000041,78.8445000000003
"(0.65, 0.1, 5.5)",56.46230000000002,35.755899999999905,69.26750000000048,76.98110000000028
"(0.65, 0.1, 6.0)",56.184799999999925,35.58859999999989,68.21050000000045,76.59230000000031
"(0.65, 0.1, 6.5)",54.79919999999999,35.3944999999999,67.3137000000004,76.04800000000039
"(0.65, 0.1, 7.0)",55.91029999999995,34.79829999999988,66.52020000000047,75.09870000000038
"(0.65, 0.1, 7.5)",55.167300000000004,35.0006999999999,66.04260000000046,74.83920000000039
"(0.65, 0.1, 8.0)",54.71360000000002,34.80059999999988,65.43460000000053,74.5068000000004
"(0.65, 0.1, 8.5)",53.6242,34.97509999999992,65.27930000000055,74.3812000000004
"(0.65, 0.1, 9.0)",53.7086,34.687499999999886,65.39360000000056,73.99710000000043
"(0.65, 0.1, 9.5)",52.366200000000035,34.592999999999876,64.83190000000053,73.20860000000042
"(0.7, 0.025, 1.0)",47.72160000000001,66.26499999999997,76.43380000000016,72.2879000000003
"(0.7, 0.025, 1.5)",55.0226,66.8425,71.85770000000012,69.18090000000025
"(0.7, 0.025, 2.0)",60.565499999999965,66.37609999999988,68.96970000000024,67.06550000000031
"(0.7, 0.025, 2.5)",64.81200000000005,64.72529999999992,66.48770000000036,66.63530000000038
"(0.7, 0.025, 3.0)",66.66250000000002,64.9936,65.46720000000043,65.76310000000043
"(0.7, 0.025, 3.5)",67.73219999999992,64.60249999999992,65.29080000000043,65.08590000000045
"(0.7, 0.025, 4.0)",68.8861,61.69670000000001,64.19450000000045,64.70550000000046
"(0.7, 0.025, 4.5)",69.84510000000004,62.30830000000001,63.845000000000496,64.42290000000047
"(0.7, 0.025, 5.0)",69.78500000000005,60.12799999999999,63.14980000000052,63.73080000000051
"(0.7, 0.025, 5.5)",69.27429999999998,60.34620000000003,62.651000000000536,63.23390000000053
"(0.7, 0.025, 6.0)",69.84939999999993,61.363399999999984,62.05730000000052,62.72390000000052
"(0.7, 0.025, 6.5)",69.6637,59.67399999999998,61.859800000000504,62.721100000000504
