ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
917.42,992.5
923.85,995.57
906.91,999.19
665.75,999.61
665.7,999.73
494.79,999.81
492.77,999.86
829.94,999.89
647.83,999.92
898.36,999.93
903.44,999.95
899.84,999.96
898.82,999.97
899.2,999.98
899.23,999.98
899.51,999.99
905.79,999.99
906.34,999.99
893.79,988.11
922.65,989.52
885.37,994.66
929.78,988.9
935.2,949.39
888.45,998.49
938.59,997.72
890.95,998.22
890.27,998.56
598.55,995.61
896.92,995.86
900.11,996.05
601.12,999.21
902.34,999.27
836.87,999.32
903.14,999.35
903.43,999.38
903.67,999.4
879.96,943.25
925.02,986.58
923.46,993.61
934.42,976.72
940.41,994.56
938.93,996.28
935.82,997.3
890.9,997.96
888.45,430.88
936.26,430.79
845.28,430.74
893.89,430.7
846.96,430.67
846.76,430.64
897.35,430.62
850.4,430.6
851.94,948.14
905.65,948.13
885.13,960.09
852.41,979.84
880.11,991.62
855.82,975.5
932.0,944.56
938.43,943.67
906.02,948.28
938.23,949.21
938.81,991.52
938.48,992.05
940.43,551.61
891.98,551.54
847.74,557.56
847.91,430.36
846.08,430.34
847.39,430.32
834.73,430.31
840.31,430.29
858.37,965.18
854.95,958.26
954.37,972.05
777.47,975.25
854.03,53.47
938.19,978.21
936.63,547.43
940.59,477.0
939.23,484.12
939.23,53.05
880.68,934.27
856.75,934.62
848.56,934.89
851.0,935.11
849.95,867.21
907.73,867.26
906.6,426.37
901.79,426.33
866.17,961.56
834.15,991.51
188.93,989.98
722.79,977.34
876.8,52.01
943.82,560.75
938.21,561.11
942.02,913.72
939.12,889.63
940.19,889.93
915.33,854.46
866.97,636.07
832.61,457.83
832.11,527.89
826.3,527.73
950.63,527.58
908.69,527.45
909.64,527.34
838.86,960.63
888.8,970.05
219.59,967.31
761.72,965.7
551.86,959.12
907.96,968.61
939.07,31.8
940.54,541.41
938.98,541.68
941.21,520.35
869.97,520.45
603.89,349.68
889.13,373.76
894.13,343.08
945.65,915.07
947.17,915.14
948.02,915.19
823.81,915.23
163.9,961.8
226.36,969.53
594.66,969.16
570.94,732.76
553.0,949.11
754.97,25.84
765.66,492.36
943.83,25.13
941.82,522.36
940.37,526.0
818.26,525.98
816.07,511.26
886.08,496.4
882.23,496.17
945.93,495.96
948.26,495.79
951.42,495.63
947.26,495.49
873.68,977.92
868.5,980.01
878.2,806.15
587.3,742.79
571.98,443.19
557.35,934.77
901.54,18.71
941.36,19.21
940.19,10.69
884.19,495.46
619.92,440.53
860.35,517.65
173.53,517.72
769.48,517.83
950.54,529.7
900.04,529.56
946.4,377.85
952.12,377.78
853.73,954.47
875.09,981.7
886.26,760.92
431.96,746.29
415.06,13.65
454.95,19.98
486.21,22.48
675.44,22.24
665.16,9.69
890.19,491.32
627.67,431.51
634.45,431.41
633.24,457.78
193.64,61.24
950.4,60.8
951.3,478.26
624.53,478.14
953.31,478.03
828.52,954.75
876.83,986.78
847.43,464.15
460.27,735.18
227.83,14.3
273.37,330.08
536.8,330.66
978.97,330.0
513.45,9.17
751.35,458.13
651.43,444.86
797.96,8.86
465.09,540.08
503.45,461.29
975.27,461.07
976.57,460.88
979.28,955.4
949.52,956.31
758.17,960.91
878.86,978.48
848.43,434.97
540.59,521.55
500.01,15.96
519.49,415.79
449.55,249.37
979.05,244.21
978.65,932.88
746.83,925.79
679.67,927.16
716.46,928.59
816.56,929.43
815.51,930.1
816.66,979.39
975.67,979.73
979.03,980.0
978.02,980.21
791.96,964.18
763.45,984.97
850.64,984.63
547.2,511.31
478.94,372.22
490.21,508.41
497.1,836.29
620.18,836.84
821.83,925.75
823.41,462.11
971.29,946.09
815.32,947.77
816.68,920.91
818.86,921.83
815.77,922.58
817.01,921.69
818.63,976.3
821.64,976.82
215.66,960.34
197.98,970.05
850.34,986.13
540.7,437.61
312.0,963.65
439.18,965.2
444.98,509.75
454.78,419.76
477.12,912.14
820.74,918.23
977.72,885.75
809.95,457.12
819.6,457.14
500.14,457.15
817.65,89.71
819.59,89.67
819.59,556.55
821.82,504.04
158.9,977.3
201.93,985.86
844.09,942.02
634.24,967.49
329.76,971.56
446.08,955.13
479.22,492.72
801.97,398.57
802.56,753.65
419.03,757.57
817.72,951.56
818.34,953.19
932.57,954.47
555.36,913.47
847.68,958.7
529.51,960.13
818.79,297.22
818.91,281.39
795.02,979.57
513.25,987.26
441.48,935.55
771.26,969.73
314.91,980.34
212.48,980.77
795.6,918.32
410.57,518.72
803.63,525.29
800.82,391.75
802.76,390.83
956.79,390.31
954.66,528.76
976.53,398.34
937.71,234.34
859.17,233.17
856.18,326.36
671.46,325.99
714.94,976.13
151.76,988.55
475.21,997.08
818.42,988.91
308.55,417.52
430.0,430.58
682.67,663.02
717.08,451.27
664.13,414.41
673.77,512.64
454.41,22.26
945.9,21.13
798.09,20.64
961.24,19.97
968.96,191.34
968.91,208.22
972.94,194.92
981.47,194.16
540.28,978.84
379.0,951.54
145.06,997.21
242.31,990.43
532.89,653.19
264.39,593.45
144.33,670.96
638.16,515.2
659.01,514.97
837.12,522.69
844.65,522.09
853.27,527.25
840.83,21.14
930.94,20.87
746.38,191.59
878.73,288.6
827.33,25.79
530.07,24.77
261.01,976.96
545.76,953.01
721.82,997.3
127.24,987.94
724.07,846.51
109.59,755.23
153.03,758.76
437.91,756.29
219.2,700.87
241.06,529.03
717.43,528.19
713.37,528.65
423.99,528.28
805.53,116.22
139.1,78.11
728.85,68.33
774.61,25.91
768.56,21.01
