ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
826.18,990.27
881.31,998.04
876.24,998.66
882.66,998.9
870.65,999.04
873.96,999.13
871.54,999.2
404.32,999.26
405.86,999.3
240.08,999.33
31.38,999.36
31.62,999.38
32.44,999.39
749.99,999.4
33.53,999.41
33.26,999.42
33.55,999.42
10.52,999.42
820.08,988.28
874.0,996.15
877.28,995.64
879.34,997.53
952.38,998.33
953.41,998.72
879.37,998.94
953.34,999.08
875.97,999.17
882.5,999.23
952.6,999.27
950.7,999.3
873.07,999.32
872.75,999.34
952.2,999.35
233.77,999.35
235.51,999.36
31.58,999.36
797.81,988.53
866.93,972.24
877.66,993.52
880.74,995.2
882.23,995.6
880.88,996.87
952.47,997.61
952.17,998.07
953.7,998.38
953.01,998.6
953.67,998.75
952.08,998.87
953.24,998.96
952.78,999.03
883.22,999.08
954.21,999.12
953.44,999.15
953.48,999.17
809.09,988.42
861.91,996.37
871.15,996.1
877.52,995.42
879.48,996.92
965.91,993.85
882.02,996.66
880.89,995.98
881.33,996.59
876.31,997.03
800.4,997.36
882.09,997.61
616.66,997.81
878.94,997.97
879.9,998.1
954.53,998.22
953.47,998.31
312.03,998.39
806.0,988.73
819.91,993.48
934.77,991.57
882.86,996.59
881.97,996.34
879.39,996.56
880.5,997.26
882.66,997.7
882.34,731.22
880.31,821.51
952.7,890.81
951.38,995.74
952.85,996.03
953.19,996.26
882.15,996.45
951.98,996.61
952.37,996.74
445.51,996.85
810.04,989.14
810.4,992.88
862.17,931.85
871.18,979.85
968.14,996.76
879.56,997.56
962.81,997.15
882.94,996.84
946.64,997.26
869.14,997.55
868.62,997.77
881.95,639.81
881.14,639.97
881.11,587.13
952.02,368.09
878.59,368.1
851.14,822.33
812.63,822.42
808.02,989.51
764.47,992.32
787.85,996.82
842.45,551.17
965.5,408.5
965.55,41.51
882.16,997.39
968.31,996.68
965.18,997.3
949.01,996.77
948.71,997.07
882.43,997.3
881.63,997.47
883.1,997.6
949.51,997.71
947.63,964.1
883.87,964.3
885.1,964.47
806.0,990.21
785.95,992.34
788.72,996.37
771.85,402.8
876.99,404.94
970.22,39.21
968.19,38.54
864.79,38.21
885.47,997.49
964.7,996.65
963.74,997.12
883.13,997.46
967.56,996.72
967.34,996.91
965.93,997.07
965.76,997.19
948.63,997.29
948.55,997.38
799.97,990.79
781.19,992.87
829.44,995.87
724.51,403.59
784.88,38.76
970.04,37.87
968.21,37.53
968.68,987.69
962.38,988.22
962.37,988.57
964.28,988.81
964.9,997.53
967.41,996.66
882.95,996.99
969.11,997.24
968.65,997.45
969.09,997.63
967.75,996.63
794.14,990.78
693.69,993.28
842.1,995.56
822.26,404.86
795.83,403.21
971.37,37.96
888.92,37.38
967.67,38.53
890.06,995.12
961.36,995.78
963.71,996.26
878.79,996.61
962.91,996.88
937.29,997.08
968.24,997.25
879.04,997.39
968.65,997.5
970.07,997.6
778.43,991.16
773.46,993.73
848.95,994.69
699.36,995.97
653.77,37.33
803.13,384.02
856.17,862.88
938.83,853.94
858.15,870.41
881.29,950.49
864.44,951.57
961.78,938.55
964.16,995.05
879.27,995.43
962.56,995.74
963.86,995.98
967.31,996.18
879.64,996.35
432.88,990.48
778.7,558.81
749.36,996.5
820.91,383.42
853.06,383.03
321.01,365.32
655.72,158.04
808.7,157.17
833.52,872.02
834.28,876.38
856.26,881.93
855.09,912.47
919.34,349.45
942.96,276.04
962.7,122.49
876.63,122.06
813.78,16.86
964.12,16.28
416.78,990.79
753.18,767.78
762.2,995.82
781.57,294.35
782.0,380.87
878.98,937.27
909.84,912.61
868.48,153.3
880.36,152.77
875.68,17.48
841.31,710.49
784.63,719.37
866.98,672.48
872.15,386.53
960.57,361.21
861.18,85.89
942.55,223.7
923.3,16.11
650.43,991.27
825.4,762.83
825.8,995.24
463.85,291.08
227.82,38.25
853.7,384.4
800.52,37.83
869.08,142.52
864.23,724.39
870.11,551.69
934.89,17.21
940.64,128.25
786.91,127.57
866.22,936.47
856.42,912.54
872.21,903.85
883.9,903.9
957.6,263.88
442.35,990.99
830.43,316.65
238.51,994.02
218.98,995.9
157.16,37.05
779.85,36.8
9.83,187.31
816.84,624.91
822.0,182.17
846.06,163.51
912.37,138.38
929.32,137.71
920.72,680.12
953.35,831.6
950.53,533.38
831.42,530.89
846.21,8.88
854.7,686.49
358.37,991.18
62.08,315.95
24.83,226.19
38.32,994.9
219.22,995.96
777.07,191.88
888.71,924.94
794.73,544.28
822.79,543.1
901.0,766.26
893.07,651.08
861.81,750.49
908.86,852.04
929.21,851.09
930.78,719.62
933.63,108.33
932.22,700.83
933.69,727.36
76.65,991.3
90.21,315.79
52.07,216.96
719.22,351.38
7.2,932.13
751.12,910.16
872.13,896.7
883.37,894.92
907.56,893.55
819.49,704.61
822.09,703.47
910.72,705.33
906.41,698.66
893.63,606.3
866.02,408.84
874.61,649.4
901.69,378.1
909.99,395.51
189.47,991.36
826.87,24.49
56.88,349.3
843.51,923.91
868.21,908.45
147.0,907.64
739.81,895.62
851.41,894.8
853.77,892.49
876.35,891.81
891.51,891.24
901.79,701.4
819.71,760.1
901.19,766.31
911.36,101.03
905.04,6.56
904.54,5.51
904.38,4.65
65.87,991.35
52.07,315.16
55.43,341.33
880.77,909.03
853.93,905.1
857.93,895.87
654.11,894.41
716.77,619.47
402.87,531.58
375.94,657.41
720.57,27.8
817.52,271.23
865.86,13.04
868.5,18.94
877.51,17.51
872.36,7.6
878.14,6.63
880.0,5.87
