OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
20.8,20.9,58.4,73.0
20.6,18.3,62.1,84.9
20.6,13.7,64.8,87.5
20.8,11.4,67.2,93.4
20.9,13.3,70.4,96.0
17.7,11.1,78.1,97.0
17.0,11.0,80.0,98.2
16.7,7.4,80.9,98.5
16.1,5.5,81.6,98.6
16.0,5.4,81.2,98.6
15.0,4.8,88.9,98.7
14.9,4.4,90.5,98.7
16.6,4.7,90.6,98.7
15.9,4.3,91.3,98.7
15.5,3.9,91.8,98.7
17.4,14.3,95.9,99.6
17.3,14.3,96.4,99.6
17.3,14.4,96.9,99.6
17.2,4.4,98.9,99.6
20.7,18.0,58.4,69.7
20.5,16.9,62.7,80.2
20.5,12.4,64.5,85.0
20.5,11.1,67.4,90.0
20.7,10.3,68.4,92.4
16.7,5.8,76.9,95.1
16.1,4.8,79.7,95.7
15.1,4.4,80.5,95.5
14.9,3.8,81.3,96.2
14.6,3.6,81.3,97.3
13.4,3.4,81.6,98.1
14.7,2.5,83.5,98.3
14.0,1.9,87.2,98.5
13.0,2.1,88.2,98.6
15.4,4.3,88.5,98.6
15.3,3.9,94.2,99.6
14.1,3.6,94.9,99.6
17.2,3.7,93.2,99.6
17.2,3.5,94.8,99.6
20.4,17.8,58.5,69.4
20.4,15.9,62.6,82.4
20.3,10.4,64.5,81.1
20.0,9.5,67.9,86.0
18.0,5.4,73.8,90.2
15.5,4.4,75.8,90.7
14.9,3.7,79.1,93.5
14.4,3.5,80.8,95.3
13.4,2.6,79.8,95.8
13.4,2.1,81.3,95.4
12.6,1.7,80.5,95.5
12.4,1.1,81.3,96.1
12.2,1.1,83.3,96.3
13.3,2.0,82.9,97.5
15.1,2.0,88.7,98.6
15.0,1.6,90.9,99.5
13.2,1.2,91.7,99.5
13.1,1.0,91.9,99.5
11.3,1.0,92.8,99.6
20.6,13.6,64.7,88.0
20.9,11.4,70.9,97.4
17.0,10.8,80.1,98.5
16.1,5.0,81.6,98.6
15.1,4.7,89.2,98.7
