OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
22.6,29.9,56.9,70.8
23.9,38.1,58.5,73.0
25.1,44.1,63.8,75.7
26.3,49.2,66.3,76.2
27.8,52.7,68.1,82.4
30.8,56.3,68.3,86.2
35.6,61.3,72.5,88.9
38.2,64.1,69.8,97.9
40.5,62.8,73.4,99.2
42.4,67.8,73.3,99.5
44.5,69.9,73.8,99.6
47.1,69.7,74.6,99.6
49.2,69.6,75.7,99.7
49.3,83.8,75.7,99.7
49.9,85.2,74.8,99.7
50.7,84.2,78.0,99.7
52.1,86.4,74.7,99.9
56.2,87.4,75.2,99.9
55.9,87.5,75.8,99.9
22.6,30.2,56.7,69.1
24.0,38.2,59.2,71.3
25.2,43.9,64.1,75.2
26.4,48.1,66.7,76.7
27.9,51.6,68.5,75.8
31.1,57.3,68.0,77.4
36.5,61.0,68.9,77.8
37.9,72.7,72.9,84.6
40.0,74.1,73.4,87.6
42.5,76.1,73.3,90.6
44.6,77.7,73.3,85.9
48.0,78.3,74.4,85.2
48.8,79.6,74.1,86.6
49.3,83.1,75.6,97.6
49.9,86.9,75.3,99.0
51.3,87.6,76.2,99.1
52.4,87.2,77.3,99.4
56.0,88.1,75.7,99.5
57.0,88.9,76.5,99.5
22.6,30.0,57.4,70.6
23.9,37.6,61.5,74.9
25.2,42.5,65.2,75.0
26.5,47.7,67.2,76.1
27.9,51.3,68.4,76.6
30.9,53.5,71.1,78.0
32.0,58.0,71.7,80.2
37.7,70.3,71.1,78.8
39.4,72.0,73.4,78.1
41.4,75.4,72.8,79.0
44.0,77.0,73.8,77.6
45.0,77.9,73.8,79.5
47.2,80.5,74.6,78.4
49.3,82.5,74.3,79.0
50.1,88.0,74.6,79.3
50.8,89.3,74.8,85.6
52.0,91.2,75.6,79.8
52.7,90.8,75.0,87.9
57.0,90.3,75.3,79.7
25.1,44.1,63.9,76.9
27.8,52.2,68.4,86.0
35.6,61.3,72.8,97.9
40.3,66.7,73.5,99.3
44.5,69.9,74.0,99.6
49.2,81.4,75.3,99.7
49.9,74.6,75.1,99.7
52.1,87.3,74.9,99.9
55.9,87.8,76.1,99.9
58.2,88.0,85.3,99.9
62.3,88.8,86.5,99.9
63.4,89.3,83.5,99.9
67.3,91.4,94.8,99.9
67.7,92.0,98.6,99.9
69.6,92.0,98.9,99.9
70.0,92.4,99.0,99.9
68.5,93.2,99.4,99.9
71.1,84.7,99.5,99.9
72.1,93.9,99.5,99.9
25.2,43.4,64.1,75.0
27.9,51.5,68.5,76.0
36.5,64.1,68.9,78.6
40.0,74.0,73.4,89.2
44.5,77.7,73.3,85.0
48.8,79.6,74.1,86.7
49.9,87.0,75.3,99.0
52.4,87.9,77.3,99.4
57.0,89.9,76.5,99.5
61.4,89.3,77.5,99.6
62.9,89.8,76.8,99.6
65.2,89.0,78.5,99.8
68.7,91.6,83.8,99.8
69.8,91.6,77.3,99.8
70.4,92.1,77.9,99.8
70.7,92.3,85.3,99.9
71.1,93.6,78.6,99.9
84.3,91.5,83.0,99.9
88.5,91.5,86.6,99.9
25.2,42.3,65.2,74.9
27.9,51.1,68.3,76.8
32.0,57.7,71.6,80.4
39.4,71.7,73.4,78.1
44.0,76.9,73.7,78.2
47.2,80.5,74.5,78.2
49.9,86.4,74.6,79.6
51.9,91.3,75.4,83.1
57.0,90.3,75.8,80.0
62.0,91.2,77.7,89.3
65.2,93.3,76.4,91.4
66.7,93.7,77.9,84.7
69.0,93.5,77.1,3.0
64.6,93.5,76.8,2.4
70.3,92.5,76.9,3.6
77.3,92.7,82.1,2.6
82.3,92.8,80.9,2.2
83.0,92.9,77.4,1.8
83.5,94.0,78.6,1.7
27.8,52.9,68.5,86.3
38.2,65.4,70.4,99.1
44.4,68.2,74.4,99.6
49.3,70.2,75.8,99.7
52.1,87.7,75.3,99.9
57.5,87.9,85.0,99.9
61.9,89.2,86.6,99.9
63.6,91.1,94.2,99.9
67.7,91.9,95.6,99.9
69.5,92.8,99.0,99.9
68.5,83.2,99.4,99.9
74.8,94.1,99.5,99.9
73.1,85.1,99.5,99.9
70.9,86.3,99.8,99.9
76.7,85.6,99.8,99.9
72.5,93.2,99.8,99.9
81.5,93.4,99.9,99.9
80.5,93.5,99.9,99.9
75.0,86.2,99.9,99.9
27.9,51.4,68.5,76.4
37.9,72.5,72.9,86.7
44.5,77.7,73.1,89.9
49.3,82.9,75.6,91.7
52.4,88.2,77.3,99.5
61.1,89.3,78.8,99.6
62.9,89.0,77.1,99.8
65.6,93.3,79.9,99.8
69.8,92.0,77.2,99.8
70.3,92.3,83.4,99.8
70.8,92.3,78.6,99.9
71.8,93.8,84.1,99.9
88.9,94.8,87.8,99.9
88.6,95.0,90.4,99.9
89.2,95.2,98.5,99.9
90.4,92.7,98.7,99.9
89.5,92.8,98.8,99.9
89.7,62.0,98.8,99.9
90.2,95.9,98.9,99.9
27.9,50.8,68.3,76.6
37.7,70.2,73.6,95.9
44.0,76.8,73.7,78.5
49.2,81.5,74.3,84.2
51.9,91.0,75.3,80.1
61.0,91.1,77.2,86.5
65.2,91.2,77.0,91.5
68.3,94.2,77.9,3.7
76.4,92.3,79.4,87.5
80.1,93.8,80.5,3.6
82.3,92.9,77.3,2.2
82.6,93.0,77.7,1.8
89.7,94.4,78.6,1.7
89.5,95.0,75.3,1.5
90.1,95.1,75.4,1.3
91.0,93.1,78.6,1.2
91.5,93.1,78.7,1.2
90.9,93.0,85.0,1.2
89.7,93.1,84.0,1.2
35.6,61.3,72.8,98.5
44.5,65.0,74.6,99.7
49.9,86.1,74.9,99.7
54.8,88.0,83.8,99.9
61.9,90.8,87.0,99.9
63.2,92.0,94.8,99.9
69.5,92.4,99.0,99.9
68.5,92.7,99.5,99.9
71.7,85.4,99.5,99.9
72.7,89.8,99.8,99.9
75.6,93.2,99.8,99.9
77.9,93.4,99.9,99.9
78.9,93.6,99.9,99.9
74.2,93.4,99.9,99.9
91.1,93.6,99.9,99.9
75.8,93.8,99.9,99.9
76.8,85.2,99.9,99.9
78.1,85.3,99.9,99.9
92.3,94.1,99.9,99.9
36.5,64.0,68.8,77.0
44.5,77.7,73.1,90.8
49.9,87.3,75.3,99.4
56.6,87.4,76.5,99.5
62.7,89.9,77.1,99.8
68.2,91.9,83.5,99.8
70.3,92.3,77.6,99.8
70.9,93.8,85.6,99.9
72.1,94.8,84.8,99.9
85.2,92.4,90.0,99.9
89.1,95.8,98.5,99.9
90.5,80.9,98.7,99.9
89.6,92.8,98.8,99.9
90.0,24.6,98.9,99.9
90.3,81.9,99.2,99.9
91.4,80.9,99.4,99.9
91.9,81.6,99.5,99.9
91.4,81.2,99.9,99.9
91.4,82.7,99.9,99.9
32.1,56.2,70.5,77.6
44.0,75.7,73.6,78.7
49.7,83.9,75.1,79.9
57.0,91.4,75.9,79.9
65.1,91.3,76.7,77.7
68.9,93.6,77.8,3.3
70.3,93.8,75.3,3.8
82.2,94.0,77.1,2.5
83.3,93.3,78.0,1.8
90.0,95.0,78.2,1.5
90.2,94.9,78.7,1.3
91.2,93.2,84.1,1.2
90.7,93.1,79.6,1.2
87.3,93.2,84.7,1.2
91.4,93.2,85.1,1.3
91.7,93.8,87.4,1.1
93.6,94.0,88.2,1.1
93.7,94.1,78.4,1.1
93.8,93.9,79.6,1.1
39.9,62.4,74.1,99.6
49.3,84.8,76.0,99.7
53.4,88.3,84.5,99.9
62.9,91.0,82.9,99.9
67.7,92.3,95.7,99.9
70.0,93.9,99.3,99.9
71.7,92.4,99.5,99.9
72.1,93.2,99.8,99.9
76.2,93.4,99.8,99.9
78.8,93.7,99.9,99.9
73.4,85.2,99.9,99.9
75.1,85.6,99.9,99.9
91.8,22.7,99.9,99.9
