OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
19.0,17.0,54.1,51.5
17.9,16.4,51.9,29.7
17.9,16.6,52.1,29.1
17.8,21.1,52.7,6.4
18.1,25.4,52.7,6.1
17.0,26.1,54.6,2.2
17.2,28.6,27.1,1.6
16.7,30.2,24.0,1.3
16.4,35.1,10.9,0.9
16.4,33.1,6.4,0.6
18.4,8.1,4.8,0.6
18.5,40.8,3.4,0.5
21.3,41.9,2.9,0.5
22.7,63.8,2.4,0.5
22.9,68.7,2.1,0.4
22.5,54.0,1.9,0.4
22.7,50.5,1.7,0.4
23.3,54.6,1.6,0.4
26.8,56.5,1.7,0.4
18.9,15.8,54.1,55.8
17.9,15.2,52.4,38.6
17.7,14.3,52.9,33.4
17.0,13.8,54.0,31.5
16.7,19.7,54.3,55.9
15.8,19.7,54.8,4.6
15.7,16.1,43.0,6.0
15.5,3.9,33.3,2.3
15.4,4.2,30.6,2.1
15.2,3.7,17.0,1.9
16.1,3.0,17.8,1.7
16.2,3.7,8.0,1.4
18.4,3.5,6.9,1.3
18.5,3.2,5.3,1.0
19.7,49.9,4.4,0.9
20.5,4.4,3.3,0.6
20.7,3.0,2.9,0.6
21.3,3.0,2.5,0.5
22.8,2.8,2.3,0.5
18.9,15.6,51.8,55.1
17.7,14.9,52.5,52.7
17.4,13.2,54.2,41.2
16.7,9.9,55.3,43.3
16.2,13.6,56.4,63.6
15.6,8.4,56.1,29.7
15.5,3.7,46.3,8.1
15.3,3.4,39.7,31.4
15.1,3.1,38.4,4.6
14.8,2.2,36.8,3.6
15.7,2.1,25.8,2.7
16.0,2.3,22.0,2.3
16.5,2.2,31.7,2.0
18.1,3.4,26.5,1.9
15.8,2.2,18.5,1.8
15.8,2.2,14.8,1.7
15.8,1.9,6.7,1.7
15.8,1.5,5.1,1.6
15.8,1.2,4.0,1.4
17.9,16.5,52.2,19.9
18.1,24.9,53.0,2.6
17.2,29.2,52.5,2.0
16.4,35.3,10.8,0.7
18.4,8.0,4.7,0.5
21.3,42.8,2.8,0.5
22.9,57.7,2.1,0.4
22.7,50.7,1.7,0.4
26.8,74.7,1.7,0.4
25.9,61.6,1.5,0.4
26.1,81.2,1.1,0.4
27.8,81.5,0.9,0.4
32.1,81.7,0.6,0.4
33.9,82.7,0.6,0.4
35.3,83.0,0.5,0.4
33.6,83.0,0.5,0.4
45.1,83.6,0.5,0.4
49.0,85.4,0.5,0.4
51.1,85.5,0.4,0.4
17.7,13.3,53.0,34.2
16.7,19.6,54.3,56.3
15.7,4.2,43.2,5.8
15.4,3.6,30.7,2.0
16.1,2.4,17.9,1.6
