OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
19.1,23.3,49.3,41.8
19.4,26.8,51.4,28.8
20.4,28.7,51.6,23.1
21.3,29.8,52.5,7.1
22.0,31.5,53.1,7.0
23.4,35.7,51.8,5.0
24.7,31.9,38.3,3.1
25.9,30.9,31.5,1.8
26.8,30.3,26.3,1.8
27.2,5.3,77.8,99.2
27.7,5.0,78.3,99.7
28.6,10.9,78.3,99.7
29.2,11.0,78.4,99.7
29.3,5.1,81.7,99.7
29.7,3.5,84.9,99.7
30.1,5.0,85.8,99.7
24.2,5.9,91.0,99.7
26.1,3.3,91.7,99.7
27.8,3.5,92.7,99.7
18.7,21.8,49.3,51.0
19.3,25.0,49.4,43.2
19.8,27.0,51.0,33.3
20.7,27.5,52.4,24.0
21.4,27.3,54.2,16.1
22.0,21.6,53.2,13.2
23.3,15.1,53.5,18.4
23.7,7.7,47.2,17.3
25.1,7.2,41.9,8.9
26.5,1.8,73.3,82.8
26.9,2.7,74.6,99.6
27.1,1.7,75.9,99.6
27.5,1.7,75.2,99.6
28.6,1.6,77.2,99.6
20.1,1.5,76.8,99.7
22.1,1.3,78.3,99.7
17.7,1.4,79.1,99.7
17.8,1.4,79.2,99.7
17.7,15.7,79.7,99.7
18.5,20.7,48.7,53.8
19.0,22.7,49.0,53.1
19.2,22.6,51.5,51.9
19.9,25.8,53.0,37.9
20.4,16.2,53.9,28.4
20.8,6.4,54.4,32.1
21.6,6.3,54.8,16.3
22.2,1.4,54.3,20.3
23.3,1.3,54.7,10.8
24.6,1.6,70.8,77.8
22.1,1.4,64.9,67.6
22.5,1.2,64.5,96.1
18.8,1.1,66.8,98.5
19.3,0.9,72.1,98.7
19.7,1.3,75.9,98.6
12.0,1.3,74.1,98.9
9.1,1.3,77.3,99.3
8.9,1.2,76.5,98.7
7.3,0.9,77.7,99.3
20.4,28.8,51.5,21.4
22.0,34.3,53.2,6.8
24.7,29.3,39.1,2.0
26.8,31.6,26.3,1.5
27.7,4.1,78.4,99.7
29.2,9.1,78.7,99.7
29.7,3.3,85.1,99.7
24.1,3.2,91.1,99.7
27.8,16.3,93.2,99.7
29.3,18.7,79.6,99.7
30.5,40.1,85.5,99.7
30.7,8.3,93.3,99.7
33.2,4.7,93.9,99.7
29.3,7.7,94.5,99.7
30.4,8.2,97.7,99.7
30.4,7.3,97.9,99.7
13.5,8.1,99.5,99.7
