OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
183.78,151.42,470.38,260.9
177.67,132.52,431.81,192.93
171.47,123.62,363.17,278.77
163.96,108.15,317.02,146.36
158.06,111.86,296.41,127.3
152.54,99.58,227.31,71.4
145.56,70.26,197.09,47.99
139.05,60.45,201.74,36.33
136.25,63.18,170.36,21.3
132.59,56.28,128.73,13.35
127.65,67.43,161.03,9.3
131.49,59.86,132.96,3.92
127.76,66.42,92.62,2.76
129.84,52.77,139.44,1.92
114.38,57.67,104.19,1.43
132.26,49.67,73.22,1.11
128.01,52.98,75.97,0.9
120.84,54.19,58.79,0.75
117.02,56.03,85.19,0.65
184.35,152.21,477.55,318.21
178.19,133.59,442.09,270.19
172.27,121.94,442.13,269.48
166.36,103.11,319.37,239.69
159.23,109.74,306.01,316.43
153.34,70.75,306.93,153.11
145.66,64.98,244.29,196.25
139.51,57.14,232.82,142.36
136.35,54.42,210.61,101.44
131.35,50.99,218.99,76.06
125.2,47.58,210.04,100.89
128.73,48.67,178.42,101.6
123.69,48.78,244.77,59.51
122.86,53.35,250.16,29.62
130.4,44.83,226.84,17.87
116.61,50.38,175.81,13.33
117.14,43.23,126.82,10.53
114.94,46.06,247.45,6.96
111.74,49.23,265.04,5.49
183.7,151.58,484.52,404.62
177.47,130.89,460.01,274.16
171.11,119.67,451.53,268.07
163.52,105.19,403.78,268.81
157.09,86.72,309.18,270.99
151.46,79.34,344.74,359.36
143.75,62.45,357.47,251.69
138.75,59.31,279.12,413.03
134.66,34.5,236.0,730.44
135.26,53.59,222.87,442.79
131.27,51.11,225.43,264.57
124.93,46.78,227.32,124.61
123.74,46.47,230.81,274.89
122.46,43.09,246.74,285.38
118.26,36.49,224.82,278.0
115.09,34.88,166.46,157.28
111.41,44.61,263.11,159.49
115.8,39.49,262.48,295.87
105.75,37.15,253.68,153.32
171.36,115.56,358.14,241.3
157.89,110.29,295.94,98.87
145.33,63.9,198.63,46.04
136.02,53.87,168.71,14.91
127.39,61.55,157.85,4.43
125.24,57.53,186.87,2.09
123.02,59.15,114.59,1.14
127.13,50.25,75.24,0.76
119.12,68.64,84.76,0.58
101.55,57.45,52.78,0.5
100.91,59.32,46.58,0.45
110.83,116.65,26.63,0.42
90.0,103.63,19.0,0.39
81.23,99.05,11.56,0.37
101.02,52.56,8.78,0.36
69.07,46.67,6.04,0.34
60.5,165.65,4.62,0.33
125.76,44.05,3.49,0.32
114.87,43.25,2.48,0.31
172.15,115.48,442.08,277.09
159.15,105.06,305.48,313.89
145.56,58.11,243.86,170.57
136.24,57.0,210.36,75.97
125.09,55.53,210.17,93.82
123.51,48.38,245.56,39.22
130.34,47.65,227.74,17.1
117.06,46.43,127.22,10.0
111.67,54.39,263.73,5.15
91.56,102.1,156.2,3.06
85.77,40.03,130.46,1.98
93.18,37.73,56.76,1.15
68.73,40.31,63.72,0.83
75.74,59.5,53.47,0.63
63.47,76.86,53.79,0.51
61.6,73.39,47.04,0.44
59.68,45.02,50.6,0.39
63.41,40.97,45.02,0.35
62.74,32.79,50.51,0.33
171.08,114.62,451.62,267.85
157.04,85.44,309.15,332.97
143.7,64.66,357.78,251.93
134.46,37.39,236.45,732.26
131.24,50.83,226.04,269.05
124.75,49.72,231.56,275.57
118.29,34.72,225.75,281.92
111.43,31.36,261.8,159.24
110.03,36.78,255.36,254.65
112.1,27.24,265.33,119.5
94.77,10.3,255.72,84.94
99.02,34.61,138.71,114.92
94.98,39.16,128.1,82.13
79.63,13.5,68.86,29.69
64.95,9.05,324.12,18.38
62.26,8.7,282.18,12.21
58.4,6.48,257.6,6.6
56.83,5.94,135.63,5.12
57.11,5.52,69.86,3.91
157.61,100.46,295.37,109.94
140.05,58.74,204.41,18.68
126.71,55.42,138.75,3.29
129.34,54.45,122.45,1.19
126.77,48.99,74.06,0.67
105.29,51.56,61.04,0.51
100.53,51.55,38.07,0.44
109.59,94.5,21.74,0.4
81.27,116.8,11.25,0.37
98.77,57.61,7.2,0.35
67.8,53.91,4.47,0.33
115.32,51.98,2.72,0.31
118.51,49.84,1.9,0.3
67.3,48.13,0.96,0.28
65.5,11.14,0.75,0.27
88.59,16.48,0.61,0.26
108.8,17.49,0.51,0.24
139.56,12.87,0.44,0.23
90.14,76.84,0.39,0.22
159.0,98.63,304.62,205.1
138.88,55.12,232.37,122.15
124.35,54.19,208.49,60.01
121.82,37.87,259.8,23.78
116.92,35.9,127.98,9.7
98.28,46.94,251.11,3.86
86.11,39.09,125.71,1.89
94.47,57.46,54.26,0.93
75.58,47.48,55.02,0.61
64.08,41.57,46.7,0.46
59.51,161.31,52.69,0.38
61.92,64.31,46.53,0.34
55.98,12.64,40.73,0.31
56.41,12.9,29.27,0.29
57.05,7.63,14.91,0.27
853.87,962.37,10.39,0.26
855.19,964.52,3.31,0.24
50.65,66.36,2.48,0.23
51.4,12.16,1.88,0.22
156.98,63.04,309.11,343.55
138.54,62.52,275.64,434.47
131.18,49.65,225.65,271.91
122.5,35.21,249.01,443.15
112.84,34.29,255.86,136.94
102.16,27.12,248.31,254.23
94.99,9.86,253.26,119.87
77.43,9.43,209.77,239.0
80.01,8.66,71.07,109.77
59.75,8.36,281.57,23.51
58.46,6.26,262.54,12.2
70.14,5.21,129.6,5.72
64.83,5.58,54.28,4.0
81.75,8.6,125.2,2.47
64.29,5.31,135.89,1.75
54.37,4.61,98.05,0.81
40.28,6.35,96.79,0.61
50.67,5.83,72.55,0.47
49.26,5.11,87.71,0.38
144.53,63.62,204.65,25.62
124.96,61.86,121.38,2.57
117.0,50.5,81.68,0.81
116.13,68.38,83.23,0.52
89.26,53.53,37.66,0.43
95.73,49.34,15.13,0.39
98.91,48.84,8.21,0.36
59.96,50.41,4.28,0.33
126.0,51.74,2.31,0.31
66.92,10.28,1.02,0.29
66.37,16.22,0.74,0.27
88.24,89.44,0.57,0.25
144.33,567.91,0.46,0.23
94.14,75.26,0.39,0.22
55.53,79.57,0.33,0.21
68.63,66.68,0.29,0.19
59.43,68.15,0.26,0.18
59.76,60.2,0.23,0.17
57.6,60.04,0.21,0.16
145.15,64.55,239.32,228.27
124.31,52.45,209.06,131.93
130.23,45.84,239.02,16.63
111.39,45.94,270.13,4.85
86.74,36.34,127.15,1.86
68.08,36.1,67.88,0.78
63.46,43.08,64.56,0.49
65.46,37.65,54.71,0.38
64.31,9.81,45.29,0.32
56.91,8.72,38.57,0.29
60.93,29.19,19.55,0.27
843.49,968.37,4.42,0.25
846.72,968.18,2.91,0.24
78.19,7.81,2.0,0.22
57.32,75.37,1.4,0.21
56.63,81.94,0.83,0.19
59.46,80.4,0.61,0.18
55.91,70.97,0.46,0.17
53.82,64.23,0.36,0.16
143.44,72.5,360.17,266.05
131.13,46.02,228.05,277.16
118.31,38.66,236.96,428.52
106.25,29.24,259.24,452.94
95.3,9.21,275.4,182.62
94.9,33.03,137.77,110.44
64.96,8.46,330.73,112.94
57.84,5.58,271.34,22.98
71.62,4.26,77.85,6.71
54.88,5.16,76.39,4.28
57.5,4.6,167.71,2.38
56.82,3.9,97.15,1.56
49.76,5.24,61.87,0.65
48.86,4.4,127.36,0.47
48.31,3.8,117.15,0.35
45.25,4.27,95.54,0.28
48.06,3.91,37.89,0.23
53.52,3.58,29.55,0.2
49.27,3.27,10.92,0.18
134.4,59.48,136.8,4.85
129.5,64.88,123.61,0.86
115.41,50.05,74.22,0.5
87.54,63.47,29.6,0.42
67.68,47.07,10.38,0.37
64.77,82.78,4.65,0.33
125.23,31.94,2.21,0.31
71.42,10.32,0.91,0.28
63.04,565.89,0.63,0.26
89.0,72.96,0.48,0.24
93.97,75.58,0.38,0.22
79.37,9.67,0.32,0.2
61.54,895.67,0.27,0.19
58.78,60.83,0.24,0.17
66.75,62.22,0.21,0.16
59.44,638.01,0.18,0.14
94.68,283.5,0.16,0.13
93.09,294.66,0.14,0.12
69.3,7.28,0.13,0.11
135.5,57.05,213.28,156.69
121.67,44.36,260.77,24.82
111.19,45.31,265.77,4.9
92.68,34.21,83.08,1.54
68.33,42.9,54.81,0.61
58.19,9.05,53.95,0.4
61.44,39.75,50.62,0.33
56.18,15.38,38.58,0.29
59.26,32.58,14.27,0.26
846.93,968.25,3.47,0.24
52.65,10.02,2.18,0.22
57.3,11.01,1.4,0.2
53.48,6.56,0.76,0.19
56.52,4.14,0.53,0.17
51.96,3.83,0.38,0.16
37.91,4.66,0.29,0.14
54.59,3.3,0.22,0.13
56.51,973.79,0.18,0.12
45.08,973.79,0.15,0.11
134.94,50.14,235.39,380.5
122.43,32.27,253.85,314.61
106.45,26.98,259.95,293.33
112.81,8.37,254.37,218.93
78.64,8.91,89.56,111.33
60.57,5.45,281.3,38.0
57.33,3.91,97.49,13.44
74.11,4.56,77.0,5.44
68.97,3.71,176.06,2.77
50.69,7.4,165.16,1.67
50.62,4.21,183.61,0.62
50.05,3.76,97.63,0.42
52.16,3.35,83.48,0.31
53.96,3.1,37.79,0.24
46.86,2.92,12.6,0.19
52.77,2.78,9.43,0.16
34.14,2.67,5.2,0.14
63.07,2.58,3.93,0.13
48.12,974.46,2.74,0.11
123.58,56.01,97.54,1.63
121.44,65.03,74.06,0.55
89.86,54.0,34.63,0.43
99.08,50.9,9.87,0.37
68.51,57.68,3.48,0.33
73.3,69.46,1.66,0.3
64.25,14.24,0.7,0.27
89.54,69.77,0.49,0.24
93.63,70.86,0.38,0.22
76.91,7.35,0.31,0.2
57.34,5.73,0.26,0.18
105.07,6.17,0.22,0.16
60.07,5.68,0.19,0.14
93.79,5.1,0.16,0.13
70.23,6.13,0.14,0.12
87.6,6.57,0.12,0.1
59.85,6.12,0.11,0.09
128.08,133.28,0.09,0.08
126.26,932.96,0.08,0.07
123.68,46.27,209.84,57.12
116.07,50.93,142.94,10.29
86.46,37.6,144.64,1.95
66.16,40.91,57.61,0.62
64.25,8.51,45.37,0.38
64.88,8.77,54.71,0.31
54.55,65.58,23.33,0.27
853.05,968.22,4.37,0.24
52.76,9.28,2.42,0.22
82.41,6.37,1.42,0.2
49.46,5.83,0.72,0.18
57.81,3.59,0.47,0.16
55.34,973.52,0.32,0.14
50.67,973.59,0.24,0.13
56.59,973.59,0.18,0.12
48.61,973.57,0.14,0.1
45.18,973.74,0.12,0.09
44.78,973.87,0.1,0.08
23.05,4.41,0.09,0.07
130.83,47.45,225.19,751.11
113.15,33.48,256.42,172.67
101.97,7.59,290.12,457.7
77.03,8.38,69.57,235.73
58.26,4.35,276.63,243.08
72.53,4.89,80.28,29.59
70.62,4.27,134.17,6.02
42.94,4.75,112.09,2.86
50.83,3.81,72.56,1.64
48.86,3.34,92.94,0.55
48.42,2.93,90.3,0.36
51.14,2.7,33.06,0.26
62.5,2.54,12.14,0.2
34.24,2.41,8.71,0.16
64.98,974.83,4.52,0.13
51.25,974.68,3.01,0.11
64.67,974.61,2.17,0.1
63.78,974.52,1.57,0.09
37.05,976.01,1.14,0.07
130.29,53.12,115.98,0.84
111.71,47.81,47.93,0.47
93.55,126.06,12.53,0.38
67.97,51.57,3.76,0.33
72.73,14.67,1.46,0.3
91.29,12.6,0.64,0.26
70.36,71.01,0.44,0.23
54.49,6.73,0.34,0.21
57.54,5.27,0.27,0.19
92.54,5.79,0.22,0.16
58.0,5.07,0.19,0.14
61.34,6.12,0.16,0.13
56.16,5.63,0.13,0.11
58.85,6.64,0.11,0.1
91.49,5.56,0.1,0.09
116.01,5.15,0.08,0.07
127.9,5.53,0.07,0.06
56.33,673.97,0.06,0.06
63.9,685.42,0.05,0.05
122.87,48.56,254.73,45.14
106.7,38.73,269.68,4.35
67.36,38.45,115.22,0.85
57.51,13.41,50.71,0.42
68.84,7.87,52.96,0.31
60.22,20.43,26.31,0.27
846.52,32.01,4.11,0.24
