OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
24.3,35.6,57.2,68.4
26.6,39.1,61.4,73.7
28.4,44.5,65.1,74.0
32.8,47.1,68.5,78.2
33.6,53.2,70.5,66.0
36.6,58.0,74.0,58.7
37.3,63.5,69.9,3.6
38.9,68.7,72.0,2.8
40.7,68.3,71.2,1.9
42.5,71.6,73.2,99.2
46.8,66.8,67.5,99.2
51.7,68.0,64.1,99.3
53.4,70.0,64.3,0.7
54.7,72.1,64.8,0.7
63.9,74.3,74.7,0.3
65.1,74.1,76.0,0.3
51.1,75.7,77.7,0.3
53.2,75.0,76.2,0.3
54.9,76.5,76.5,0.2
24.7,35.9,56.5,66.6
27.1,44.4,59.9,71.5
31.0,51.0,63.4,71.2
33.2,55.5,66.5,75.4
35.3,56.1,69.5,83.3
38.1,68.2,70.9,85.3
38.4,72.7,69.3,59.0
40.2,73.4,70.4,61.3
44.0,74.7,72.2,14.1
51.0,77.3,71.5,94.7
54.6,77.8,73.6,97.2
59.7,78.3,74.2,97.5
61.8,80.1,70.9,13.9
63.8,81.0,72.0,5.4
65.7,81.1,73.2,2.5
68.0,81.8,74.5,2.3
56.4,84.4,75.4,1.9
59.3,85.0,76.1,1.7
62.4,86.0,77.5,1.1
25.1,37.2,56.3,66.6
27.6,47.4,58.7,73.1
31.9,54.4,62.9,74.3
35.1,62.2,65.5,74.8
36.4,66.3,67.7,89.8
37.1,70.7,65.7,89.4
39.0,72.5,68.0,67.7
47.7,74.4,71.2,67.8
50.4,75.8,71.6,91.7
55.7,78.1,74.1,91.1
59.0,77.4,78.0,92.8
61.0,80.2,74.1,94.0
62.9,80.7,73.9,93.8
64.4,81.5,73.2,75.3
66.9,81.8,74.0,74.6
64.3,83.7,75.6,75.5
66.8,85.1,76.0,73.8
68.7,85.9,75.3,75.4
68.8,85.6,76.1,74.9
28.4,44.8,65.3,75.8
33.6,55.4,70.7,62.3
37.2,63.7,70.2,3.1
40.6,75.1,71.4,1.4
46.8,73.3,66.4,99.3
53.4,76.1,64.2,0.7
63.9,74.2,75.4,0.3
51.1,74.9,77.9,0.2
54.9,75.4,77.1,0.2
63.1,80.6,6.2,0.1
66.4,78.4,3.3,0.1
69.5,78.9,2.7,0.0
72.7,86.0,2.3,0.0
76.0,79.3,1.2,0.0
55.9,79.5,1.0,0.0
74.2,79.8,1.0,0.0
75.4,80.5,0.9,0.0
74.9,78.6,98.7,0.0
76.3,78.8,99.1,0.0
31.0,50.8,63.6,73.1
35.3,61.4,69.5,85.9
38.4,72.2,69.3,57.7
44.0,75.6,72.2,13.8
54.6,78.0,72.7,97.3
61.8,79.8,71.1,15.1
65.7,81.3,73.2,2.4
56.4,84.6,75.8,1.9
62.4,86.0,82.8,1.0
71.5,86.5,66.2,0.8
72.1,87.5,21.0,0.7
73.9,89.9,18.8,0.7
75.5,86.8,15.0,0.1
76.2,91.1,19.5,0.1
76.6,88.0,13.0,0.1
77.6,80.6,7.4,0.0
79.0,80.7,6.2,0.0
79.2,79.8,94.2,0.0
79.5,75.8,95.2,0.0
31.9,53.8,63.0,73.6
36.4,64.7,67.7,89.2
39.0,71.8,68.0,68.1
50.4,75.2,71.6,93.3
59.0,77.6,78.1,93.7
62.9,80.6,73.9,93.8
66.8,81.6,74.1,75.2
65.9,85.6,76.0,77.7
68.8,86.0,76.1,78.3
72.4,86.6,72.0,84.5
72.4,87.1,67.4,83.1
73.8,87.3,67.7,83.6
76.7,91.7,68.1,84.7
76.5,90.3,67.7,73.9
77.5,90.2,66.4,1.5
78.1,92.3,64.9,0.7
78.3,92.3,95.0,0.7
79.1,92.3,93.8,0.6
80.4,92.3,94.8,0.6
33.6,52.3,71.1,65.8
38.9,71.8,73.2,1.5
46.8,73.5,67.1,99.3
56.3,72.3,64.5,0.3
51.1,74.2,78.6,0.2
58.6,85.0,79.5,0.1
65.9,79.8,3.2,0.1
70.3,78.9,2.3,0.0
76.0,87.1,1.2,0.0
73.5,79.6,1.0,0.0
69.6,80.0,0.9,0.0
72.0,85.2,99.1,0.0
77.4,76.8,0.5,0.0
77.8,77.2,0.3,0.0
77.1,85.8,0.3,0.0
80.2,92.6,0.3,0.0
82.0,92.8,0.2,0.0
77.3,92.9,0.2,0.0
77.4,93.3,0.2,0.0
35.3,60.4,69.7,85.7
40.3,73.5,70.8,21.2
54.6,74.7,73.1,93.8
64.2,81.3,72.2,3.1
56.4,82.4,75.9,1.8
63.3,86.0,83.6,0.8
72.1,85.9,21.2,0.7
73.5,88.3,18.5,0.2
76.1,87.9,20.3,0.1
77.2,88.6,14.3,0.0
79.0,89.2,6.4,0.0
79.3,79.8,94.8,0.0
80.2,85.5,94.3,0.0
81.2,4.0,3.2,0.0
82.6,76.0,2.0,0.0
85.0,77.5,1.8,0.0
85.4,76.0,1.1,0.0
87.3,83.5,0.8,0.0
85.5,76.8,0.8,0.0
36.5,63.8,68.0,90.3
47.8,73.2,71.3,75.1
59.3,77.8,78.1,94.0
65.6,81.2,73.2,78.1
65.9,85.4,76.0,77.0
71.6,86.2,67.0,81.2
72.4,87.4,67.4,84.0
75.6,87.5,67.9,85.5
76.5,90.3,68.0,83.7
77.7,92.1,65.0,1.6
78.6,92.4,95.0,0.7
79.8,92.8,93.9,0.6
80.8,92.7,91.8,0.6
81.7,93.0,75.4,0.4
85.1,93.7,66.9,0.2
85.8,93.3,67.3,0.2
83.7,93.6,73.5,0.2
84.3,1.9,69.9,0.1
85.9,1.9,69.7,0.0
37.2,68.4,70.9,1.9
46.7,66.7,67.8,99.3
63.9,75.3,76.1,0.2
54.8,83.9,78.7,0.1
65.8,86.0,3.1,0.1
72.5,87.9,2.2,0.0
59.5,84.9,1.0,0.0
68.7,80.9,0.9,0.0
76.2,86.4,99.1,0.0
78.0,4.4,0.3,0.0
79.1,92.5,0.3,0.0
80.2,92.9,0.2,0.0
80.2,93.3,0.2,0.0
77.4,93.5,0.2,0.0
76.9,93.7,0.1,0.0
78.3,93.8,0.1,0.0
78.7,86.8,0.1,0.0
76.8,86.8,0.1,0.0
79.7,87.0,0.0,0.0
38.4,70.4,68.5,63.8
54.6,76.7,73.7,92.7
65.3,81.3,73.4,2.4
62.6,85.9,82.9,1.0
72.1,86.2,21.6,0.7
