OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
202.88,211.89,550.97,682.52
204.05,203.55,585.79,723.36
205.66,214.59,629.39,757.88
194.66,236.06,638.27,784.84
220.18,215.21,672.28,806.2
222.9,211.59,674.11,834.59
203.85,241.84,690.13,798.56
206.11,229.45,691.04,270.99
206.95,202.1,702.82,227.44
209.12,94.12,719.5,18.97
210.23,91.55,741.08,8.11
202.68,61.07,753.83,6.27
205.16,67.6,741.02,5.12
208.66,67.81,757.29,4.26
211.89,186.08,760.36,3.66
209.89,81.3,769.46,3.22
217.43,80.53,774.13,2.9
217.58,95.92,821.68,2.66
219.57,249.58,783.36,2.47
203.68,212.38,549.62,666.82
205.23,202.6,586.45,723.65
207.23,213.79,610.18,754.46
208.58,235.2,624.33,847.1
221.94,179.09,648.7,884.1
224.98,203.71,675.7,914.59
203.84,200.59,673.45,918.42
206.35,173.98,716.64,811.71
207.1,100.33,724.39,820.88
209.49,54.44,726.81,837.71
210.59,43.54,736.8,872.06
201.03,41.7,752.26,883.64
205.36,33.53,761.45,25.29
206.04,63.06,758.86,17.37
204.73,43.48,833.8,13.61
206.11,40.73,840.5,12.4
209.76,24.96,865.35,10.11
199.66,19.94,839.82,8.31
205.11,21.91,862.05,6.94
203.93,214.02,551.97,674.7
205.5,203.38,597.64,697.73
207.35,219.75,621.13,744.53
208.96,230.47,642.71,764.05
223.2,172.77,663.07,794.88
225.98,204.11,666.18,792.7
203.76,186.98,687.9,833.64
203.89,148.52,685.66,828.75
210.16,78.82,696.96,812.95
212.33,45.72,717.85,820.35
213.8,28.92,726.84,852.74
199.85,29.0,739.77,889.35
199.65,50.94,754.26,912.37
201.19,23.5,758.97,924.19
204.57,21.02,750.55,900.46
206.3,16.21,758.59,907.65
191.07,14.13,763.54,894.17
192.02,11.72,776.77,811.57
174.58,9.31,789.01,767.07
205.67,209.86,632.55,763.77
220.19,216.96,674.0,831.69
203.9,255.64,689.75,800.23
206.99,171.51,718.38,228.55
210.24,61.27,730.83,7.1
205.14,61.52,744.47,4.62
211.85,115.6,758.99,3.41
214.5,126.11,786.47,2.78
219.16,245.78,790.01,2.41
167.7,96.47,204.47,2.17
291.49,195.57,130.12,2.0
292.18,309.93,51.26,1.88
325.22,213.52,25.53,1.78
117.29,199.57,129.44,1.7
334.21,269.86,61.05,1.64
350.79,260.0,25.59,1.58
379.12,662.9,4.61,1.52
377.88,673.96,3.93,1.47
450.54,681.32,3.27,1.43
207.23,213.45,610.81,758.06
221.93,177.6,649.51,902.64
203.89,170.35,674.81,908.71
207.15,95.06,725.42,842.67
210.58,40.26,741.54,911.24
205.38,30.23,762.66,25.58
204.75,41.06,821.97,13.59
209.77,25.08,866.46,10.19
205.14,21.55,872.56,7.01
138.19,14.78,884.71,5.02
256.11,14.4,903.43,3.94
247.42,9.81,825.56,3.16
278.72,13.79,798.04,2.66
283.88,11.96,821.92,2.31
288.22,8.86,812.63,2.07
372.02,11.92,813.51,1.9
416.46,105.6,784.19,1.77
422.23,127.83,91.53,1.67
141.3,121.97,18.21,1.58
207.35,219.32,621.21,755.63
223.19,171.89,663.12,791.85
203.81,184.92,687.93,806.77
210.21,51.86,696.97,800.56
213.84,30.17,726.87,831.63
199.71,24.33,754.31,881.54
204.44,22.46,750.62,898.76
190.97,13.12,763.64,908.93
174.7,9.05,789.11,786.01
229.07,6.67,811.19,812.62
250.69,11.98,822.11,616.08
295.06,11.23,804.64,17.07
250.54,7.55,825.81,13.32
86.72,7.63,830.18,22.2
289.83,7.64,822.18,11.5
413.64,7.88,820.41,20.52
108.29,8.59,849.04,14.34
110.53,6.97,922.49,11.62
102.34,5.91,918.52,5.56
220.21,216.43,672.73,912.85
206.26,235.97,697.98,487.63
210.25,61.47,736.58,6.29
208.97,125.67,757.04,3.67
214.47,96.24,802.1,2.69
221.36,95.71,825.73,2.25
291.06,435.05,143.79,1.99
304.26,147.61,28.96,1.82
118.86,99.66,139.25,1.7
195.6,258.09,29.42,1.6
377.44,680.48,4.63,1.52
387.97,549.98,3.57,1.45
453.97,686.11,2.81,1.39
123.63,286.76,2.31,1.33
462.63,96.72,1.97,1.28
120.61,103.96,1.72,1.23
724.85,658.53,1.54,1.18
375.74,644.98,1.4,1.14
741.3,729.47,1.3,1.1
221.93,176.26,651.03,897.53
204.15,186.3,715.8,839.11
210.62,40.4,727.75,851.26
205.99,44.09,821.58,17.73
207.93,22.83,868.29,10.53
205.23,15.5,884.0,6.05
255.97,13.26,891.87,4.07
301.6,9.2,794.31,2.97
283.39,10.61,810.82,2.37
364.78,11.76,726.83,2.02
416.08,122.39,770.87,1.8
139.56,120.01,90.82,1.64
445.86,120.05,15.05,1.53
111.7,8.24,11.1,1.44
121.16,6.25,8.44,1.36
121.15,9.02,6.57,1.3
714.64,11.41,5.14,1.25
734.03,10.66,4.02,1.2
737.72,48.3,3.25,1.15
223.18,172.2,663.2,787.32
204.06,148.72,685.7,814.91
213.91,28.84,726.92,887.16
200.9,21.46,745.2,891.63
191.05,12.27,761.29,906.06
111.23,6.81,795.27,788.61
250.52,10.06,811.74,813.63
236.14,7.48,830.74,20.91
86.22,5.8,813.71,13.28
201.76,7.72,815.26,21.98
110.05,10.79,813.27,12.45
207.79,5.84,921.78,16.9
139.52,5.31,920.85,11.59
105.19,3.55,904.59,4.89
78.93,3.6,916.44,4.44
100.91,3.48,908.41,3.46
109.04,3.37,767.45,2.93
80.91,4.03,43.86,2.53
109.22,4.46,36.47,2.23
204.08,217.04,687.56,847.89
210.28,57.41,749.37,5.84
211.25,63.74,762.54,3.13
219.02,84.17,825.99,2.34
146.17,164.05,170.36,1.98
321.12,91.06,25.7,1.78
332.15,103.66,83.4,1.64
216.75,675.26,4.65,1.52
442.58,682.84,3.31,1.43
210.12,681.25,2.48,1.35
358.58,16.16,1.98,1.28
122.66,48.42,1.66,1.21
726.19,588.65,1.45,1.15
267.99,381.7,1.31,1.1
750.5,84.08,1.2,1.05
284.55,181.86,1.11,1.01
772.59,364.34,1.04,0.97
459.44,192.59,0.98,0.93
587.71,19.44,0.94,0.9
203.98,170.19,688.37,931.52
210.61,34.68,730.3,917.7
204.7,25.56,835.99,15.01
212.79,15.56,881.93,7.7
255.34,11.55,894.01,4.41
257.57,10.3,814.86,2.86
288.66,7.47,793.34,2.19
429.54,122.62,720.56,1.84
114.32,117.57,19.85,1.63
144.13,7.0,13.11,1.48
121.23,5.04,9.18,1.38
111.81,38.3,6.58,1.29
126.41,45.47,4.78,1.22
738.8,46.02,3.52,1.16
742.16,45.25,2.9,1.1
81.8,6.6,2.22,1.05
77.06,5.89,1.82,1.01
79.96,5.04,1.53,0.97
119.64,8.18,1.32,0.93
203.94,156.84,688.04,810.54
214.01,27.4,726.98,836.19
201.71,16.28,750.91,892.9
175.04,6.99,791.29,783.3
247.51,10.94,798.88,817.68
250.38,7.11,831.6,701.75
83.54,5.48,821.3,14.06
109.94,11.59,814.81,21.12
109.41,6.14,918.5,12.32
106.27,3.51,924.62,8.75
78.9,3.71,916.55,6.34
81.86,2.93,767.54,4.82
106.41,3.18,70.75,3.57
109.14,4.03,40.26,2.93
82.72,3.97,29.55,2.47
81.55,3.5,20.04,2.13
109.54,2.83,81.15,1.87
111.38,2.75,37.64,1.67
78.2,2.87,10.1,1.52
207.04,89.43,726.0,37.11
208.81,64.06,762.72,3.39
218.85,84.16,826.61,2.32
145.19,169.97,58.54,1.92
118.49,57.94,211.25,1.7
214.63,666.97,25.06,1.55
384.03,699.39,3.35,1.44
125.17,105.4,2.35,1.34
361.11,648.61,1.82,1.25
725.35,391.79,1.51,1.17
268.43,180.79,1.31,1.1
748.34,808.23,1.18,1.04
769.23,684.1,1.08,0.99
584.74,422.53,1.0,0.94
587.51,20.01,0.94,0.9
601.3,20.02,0.89,0.86
605.56,28.4,0.84,0.82
608.06,403.84,0.81,0.79
784.86,20.67,0.78,0.76
207.47,52.91,723.56,911.98
205.71,34.35,824.67,20.36
212.64,15.61,884.54,8.39
292.67,13.77,898.65,4.12
281.21,7.45,821.65,2.61
354.53,17.54,806.98,1.98
116.74,20.25,19.69,1.67
150.45,6.1,13.29,1.48
115.73,7.94,8.62,1.35
124.53,45.29,5.74,1.25
738.06,44.03,3.89,1.16
745.35,17.87,2.8,1.09
87.17,8.8,2.18,1.03
82.05,5.11,1.71,0.98
118.51,6.55,1.4,0.93
262.57,10.57,1.2,0.89
260.01,9.31,1.05,0.86
601.37,9.05,0.95,0.82
621.35,12.28,0.88,0.79
210.33,45.86,697.07,832.38
200.65,18.27,745.4,894.2
175.41,6.78,791.5,892.15
253.47,10.68,807.48,822.74
87.13,5.49,802.27,755.83
98.49,9.11,876.97,752.58
109.28,5.88,918.47,756.51
107.15,3.24,905.53,12.68
152.3,3.17,919.16,8.78
107.97,3.05,763.52,6.26
110.56,4.49,66.23,5.56
88.14,3.24,35.69,3.39
110.21,3.14,20.83,2.78
84.33,2.69,89.38,2.34
78.31,2.39,37.64,2.02
79.08,2.18,9.21,1.78
95.1,2.01,7.2,1.59
89.3,4.6,5.64,1.44
82.3,4.63,4.48,1.31
210.31,57.12,752.91,5.17
213.92,53.68,898.81,2.59
145.48,102.69,210.56,1.98
117.62,54.06,18.98,1.71
186.57,718.69,4.77,1.53
453.51,776.49,2.91,1.4
375.97,15.44,2.02,1.29
722.82,808.95,1.58,1.19
498.95,179.13,1.33,1.11
727.69,814.0,1.16,1.04
765.82,375.61,1.05,0.97
583.58,814.31,0.97,0.92
598.54,21.88,0.9,0.87
780.46,19.25,0.85,0.83
609.24,19.56,0.8,0.79
781.11,18.06,0.77,0.76
794.12,15.8,0.73,0.73
799.06,16.65,0.71,0.7
719.36,17.08,0.68,0.68
210.68,33.2,749.0,914.01
207.71,16.71,845.64,11.63
233.17,7.64,894.77,5.39
266.64,6.86,818.64,2.82
420.32,53.93,721.81,2.0
145.24,16.72,20.78,1.63
127.88,8.04,11.68,1.42
116.67,6.97,7.12,1.28
736.47,173.17,4.52,1.18
742.43,13.13,2.96,1.09
72.84,4.54,2.19,1.02
253.67,7.4,1.65,0.96
262.85,8.58,1.32,0.91
141.33,891.53,1.11,0.86
601.53,895.52,0.97,0.82
616.04,74.19,0.88,0.79
100.28,73.04,0.81,0.76
587.5,91.66,0.77,0.73
533.17,880.61,0.73,0.71
211.67,33.0,727.1,864.21
206.84,9.88,761.91,903.53
281.59,13.15,787.94,930.76
87.22,5.38,803.09,930.23
106.34,8.02,898.13,220.78
110.38,5.26,921.57,377.74
48.65,2.85,916.53,797.36
119.41,2.72,772.56,822.27
108.5,3.51,115.97,8.02
83.47,3.02,40.28,6.07
108.31,2.64,22.77,5.59
78.69,2.47,135.24,3.31
79.39,2.19,39.38,2.77
110.63,1.98,8.84,2.38
89.26,3.75,6.67,2.08
91.37,3.71,5.04,1.85
290.29,3.47,3.91,1.67
473.37,3.28,2.97,1.52
326.75,4.03,2.38,1.4
204.74,54.62,874.34,3.68
217.01,67.52,903.66,2.22
268.32,55.54,26.97,1.79
345.31,760.69,28.81,1.56
207.91,345.81,2.97,1.4
369.46,376.49,1.96,1.27
724.66,810.39,1.5,1.17
141.49,357.15,1.25,1.07
283.18,21.0,1.09,1.0
584.3,62.85,0.99,0.93
596.09,16.79,0.91,0.87
780.54,29.0,0.84,0.82
652.65,19.93,0.79,0.78
785.36,18.81,0.75,0.74
795.75,16.0,0.72,0.71
796.65,14.8,0.69,0.68
680.89,28.12,0.66,0.66
736.39,14.43,0.64,0.64
738.56,30.53,0.62,0.62
204.3,34.9,830.97,128.3
206.09,8.47,894.04,9.25
248.72,9.13,828.72,3.76
297.6,12.04,848.19,2.26
143.95,6.72,21.3,1.71
120.98,5.91,12.54,1.44
237.03,13.62,7.15,1.27
258.47,11.14,4.29,1.15
82.89,4.27,2.7,1.05
79.77,3.6,1.94,0.97
252.51,18.77,1.45,0.91
139.4,460.84,1.16,0.86
604.08,74.09,0.98,0.81
620.41,472.04,0.87,0.77
513.64,88.89,0.8,0.74
659.34,89.77,0.75,0.71
587.9,551.92,0.71,0.69
812.69,90.73,0.68,0.67
815.68,90.4,0.66,0.65
199.97,20.99,730.05,877.66
113.08,6.48,758.06,935.42
236.78,5.82,832.69,872.52
200.26,7.91,809.41,938.02
107.45,5.74,908.06,811.52
106.44,3.04,918.94,728.92
106.03,2.9,758.48,726.32
95.6,4.02,114.57,21.5
73.13,2.47,40.76,11.27
82.63,2.4,21.91,8.39
76.59,2.12,122.49,6.79
79.38,1.91,40.33,6.87
88.89,3.39,7.77,5.39
308.03,3.35,5.75,2.24
293.43,3.17,4.25,2.01
89.77,2.67,3.15,1.82
440.15,3.58,2.43,1.66
271.11,3.47,2.09,2.1
279.7,3.38,1.69,1.96
208.23,61.1,897.86,2.99
158.42,28.02,338.44,2.0
331.7,88.39,497.15,1.66
302.43,683.78,3.58,1.45
122.5,698.62,2.11,1.3
725.12,370.75,1.53,1.17
265.99,81.35,1.24,1.07
767.26,819.05,1.07,0.98
586.36,388.57,0.96,0.91
480.45,19.4,0.87,0.85
652.07,18.4,0.81,0.79
782.67,16.07,0.76,0.75
791.06,15.83,0.72,0.71
797.1,15.21,0.69,0.68
671.23,27.44,0.66,0.66
819.51,65.71,0.64,0.63
820.86,64.9,0.62,0.62
743.58,13.22,0.6,0.6
693.42,22.94,0.59,0.59
206.16,19.97,866.75,41.39
140.68,6.74,904.45,6.91
280.52,8.4,894.43,3.08
116.65,54.86,899.49,1.97
122.66,6.09,17.31,1.54
124.39,13.99,8.64,1.31
259.05,9.75,4.83,1.15
80.16,3.54,2.85,1.04
74.98,3.55,1.96,0.95
121.13,893.45,1.41,0.89
118.6,12.7,1.11,0.83
608.08,893.46,0.93,0.78
516.95,85.74,0.82,0.74
654.67,85.1,0.76,0.71
678.9,84.92,0.71,0.68
813.88,84.86,0.68,0.66
817.12,85.29,0.65,0.64
307.84,85.95,0.63,0.63
89.64,5.39,0.62,0.61
201.6,14.59,747.41,888.73
218.91,6.31,788.8,925.69
84.88,5.12,805.69,913.67
459.2,5.35,907.52,953.19
80.19,2.78,917.47,976.39
106.34,2.79,773.08,977.44
82.26,2.87,805.7,803.31
91.04,2.55,43.97,856.26
78.85,2.24,29.74,851.96
78.11,1.98,173.97,869.61
91.09,1.79,43.75,516.51
81.37,3.29,7.99,240.7
288.65,3.13,5.77,289.65
297.25,2.99,4.16,12.8
324.83,3.46,3.02,40.59
176.19,3.37,2.29,12.18
139.87,3.3,1.96,8.22
52.11,3.23,1.57,371.9
52.92,3.45,1.3,352.3
209.61,53.15,913.7,2.61
288.12,52.19,32.69,1.86
352.17,638.89,5.24,1.55
308.66,127.38,2.58,1.36
708.98,373.61,1.67,1.21
263.26,412.83,1.29,1.09
443.69,379.76,1.08,0.99
590.12,18.02,0.95,0.9
597.77,17.3,0.86,0.84
607.05,16.31,0.8,0.78
786.54,67.28,0.74,0.73
783.17,65.96,0.7,0.7
801.75,65.8,0.67,0.67
679.53,13.13,0.64,0.64
683.01,66.42,0.62,0.62
701.96,11.75,0.6,0.6
746.85,9.94,0.58,0.58
379.13,10.99,0.57,0.57
385.29,10.11,0.56,0.56
207.08,15.21,881.46,67.76
303.4,10.87,915.01,5.86
336.66,15.37,852.62,2.74
119.74,5.64,23.68,1.82
113.91,8.06,12.51,1.43
257.85,30.75,6.49,1.21
79.91,3.18,3.51,1.06
91.57,2.81,2.26,0.96
144.64,13.33,1.52,0.88
469.66,11.0,1.14,0.82
662.67,10.58,0.93,0.77
651.64,9.13,0.81,0.73
536.73,10.78,0.74,0.69
801.37,9.89,0.69,0.67
333.84,9.67,0.66,0.64
280.98,10.27,0.63,0.63
366.26,10.35,0.61,0.61
327.45,4.56,0.6,0.6
172.53,4.12,0.59,0.59
206.79,9.83,743.65,933.77
291.25,9.4,788.34,896.07
201.49,6.86,835.94,945.38
109.6,4.96,906.66,976.66
102.41,2.64,910.43,977.9
82.91,2.87,776.41,978.29
88.14,2.49,90.29,978.29
78.74,2.2,43.43,978.23
77.86,1.93,21.02,978.16
49.17,1.74,182.96,773.06
309.62,3.2,9.4,555.29
106.18,3.05,6.61,303.76
55.75,2.57,4.67,306.54
304.83,3.38,3.3,306.23
132.64,3.3,2.45,25.65
521.58,3.24,2.07,31.46
52.39,3.44,1.63,26.04
183.67,3.41,1.33,302.64
52.92,3.38,998.58,998.58
217.14,47.08,920.94,2.38
326.8,76.67,23.95,1.75
380.27,593.78,3.92,1.47
248.16,12.56,2.04,1.28
189.29,357.77,1.42,1.13
438.81,63.62,1.14,1.01
589.51,16.57,0.98,0.92
444.16,71.6,0.87,0.84
530.12,69.25,0.79,0.78
790.04,65.68,0.74,0.73
673.12,66.47,0.69,0.69
682.7,65.95,0.66,0.66
679.69,12.73,0.63,0.63
693.36,65.66,0.61,0.61
685.32,12.66,0.59,0.59
381.66,12.71,0.57,0.57
376.3,12.66,0.56,0.56
751.85,12.05,0.55,0.55
807.2,64.57,0.55,0.55
200.92,11.43,900.08,11.77
258.74,6.61,899.73,5.97
435.82,9.67,919.5,2.61
119.52,5.75,19.73,1.74
134.67,11.56,10.22,1.36
75.92,3.04,5.23,1.14
74.0,2.63,2.82,1.0
142.99,9.46,1.84,0.9
618.15,9.42,1.28,0.82
662.32,9.7,0.99,0.77
695.55,8.92,0.83,0.72
526.78,20.51,0.74,0.68
582.05,9.87,0.68,0.66
296.01,11.01,0.65,0.63
309.2,10.22,0.62,0.62
161.44,3.72,0.61,0.6
152.7,3.49,0.59,0.59
61.65,3.26,0.58,0.58
335.65,3.16,0.58,0.57
192.95,6.96,755.89,789.79
233.99,5.5,802.8,940.57
106.96,6.02,841.6,976.09
120.15,2.9,863.99,978.17
52.33,2.94,804.52,978.68
77.59,2.53,804.15,978.67
75.71,2.23,38.64,978.59
77.2,1.95,42.61,978.51
76.31,1.74,19.36,978.44
470.8,3.19,56.95,978.37
260.2,3.04,8.62,978.31
90.24,2.55,6.03,978.27
283.82,3.36,4.23,978.22
59.59,3.29,2.98,978.19
16.01,3.22,2.21,978.16
284.61,3.43,1.89,978.13
47.37,3.4,998.58,998.58
54.34,3.37,998.58,998.58
46.97,3.35,998.59,998.59
218.02,20.87,946.07,2.22
287.81,50.63,15.33,1.66
124.97,13.85,3.06,1.4
712.0,331.74,1.72,1.21
573.47,370.46,1.25,1.06
183.62,387.68,1.03,0.95
495.67,71.06,0.9,0.86
779.03,71.14,0.81,0.79
785.7,64.21,0.74,0.73
673.34,65.01,0.69,0.69
693.67,66.98,0.65,0.65
686.34,12.5,0.62,0.62
750.5,62.5,0.6,0.6
692.77,11.11,0.58,0.58
