ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
779.33,981.94
604.38,997.94
675.58,999.06
671.62,999.45
665.69,999.64
675.77,999.75
199.1,999.82
189.17,999.87
688.85,999.9
686.62,999.92
686.71,999.94
686.34,999.96
579.13,999.97
579.92,999.97
577.8,999.98
565.55,999.98
564.43,999.99
564.57,999.99
780.08,971.62
737.37,971.25
703.94,959.87
466.63,753.72
677.47,995.02
686.26,996.49
685.44,997.06
686.44,995.61
685.49,995.86
669.32,996.04
583.97,996.17
583.28,996.27
580.06,996.34
580.44,996.4
580.84,996.44
580.45,996.48
579.34,996.51
579.85,987.74
631.02,879.98
804.86,665.52
628.13,685.19
752.37,945.88
658.51,917.42
635.92,919.97
659.3,945.43
679.4,967.84
609.38,968.33
666.25,966.48
272.14,966.77
533.44,991.7
532.74,891.05
6.16,891.11
585.42,891.15
582.48,891.19
585.85,891.21
583.51,935.18
751.48,879.12
788.35,956.32
707.72,748.63
596.61,671.3
738.93,800.3
810.63,890.78
700.48,962.23
699.61,913.92
686.17,618.32
686.2,570.44
632.45,570.32
643.63,570.22
785.15,559.92
657.56,655.28
168.28,673.86
552.58,673.89
552.15,673.92
5.92,673.96
823.73,92.7
850.16,882.95
700.0,932.42
29.8,899.3
548.25,809.56
849.24,803.65
725.9,959.99
675.61,578.17
618.49,578.59
562.82,528.44
699.94,575.99
706.06,575.88
653.75,538.62
701.99,540.08
716.75,540.03
717.81,539.98
680.04,539.93
692.68,539.89
853.8,13.93
869.86,871.07
841.55,207.37
23.14,323.35
25.88,935.4
704.71,901.19
877.74,875.77
847.89,807.87
898.15,410.47
191.07,410.54
116.65,480.07
115.73,534.4
154.07,534.47
178.64,534.54
745.7,534.59
788.15,534.64
3.66,189.96
2.34,189.86
854.56,154.88
827.47,17.67
815.51,15.41
24.74,754.53
823.16,923.92
26.98,827.77
887.04,901.01
330.77,901.64
59.38,902.64
59.25,973.18
677.36,973.78
691.53,974.25
705.45,974.63
4.08,559.31
3.02,559.33
3.03,559.35
2.46,542.31
2.19,865.68
803.62,165.99
807.31,724.94
27.74,13.31
20.6,13.88
858.3,12.01
29.47,713.81
33.36,734.73
28.15,735.0
298.51,865.94
190.99,158.75
196.28,649.96
3.08,650.14
1.42,650.55
1.46,974.03
1.7,974.34
1.2,974.61
1.77,997.24
1.28,997.44
577.36,157.33
21.76,737.8
837.46,739.59
21.25,11.93
25.1,736.97
214.63,787.82
11.42,530.48
28.73,993.92
27.49,724.17
53.57,17.35
4.88,482.67
2.17,482.44
295.23,482.26
1.57,482.12
1.99,460.89
1.04,460.83
0.6,535.85
0.7,535.88
416.83,901.47
23.55,13.52
26.65,719.6
867.95,10.78
36.42,792.13
13.96,891.25
10.93,808.05
12.15,893.29
27.27,894.04
842.5,759.79
2.53,760.16
0.97,994.48
1.33,994.89
1.71,995.2
1.53,995.44
1.24,995.64
0.59,317.76
0.9,169.84
52.27,960.38
21.48,11.97
18.54,117.43
30.41,10.03
24.69,895.62
12.38,898.85
10.57,867.6
10.91,780.58
4.05,780.56
4.24,885.42
3.31,750.49
0.9,156.0
1.53,155.65
0.9,155.37
0.74,446.93
0.91,468.0
0.63,993.89
0.42,994.13
53.65,966.58
29.1,11.07
16.73,11.44
38.36,763.41
254.8,96.94
28.16,877.66
10.8,861.78
10.68,868.05
28.92,748.81
2.52,262.13
15.73,838.19
2.03,776.75
1.51,152.5
0.83,152.18
0.63,672.88
0.42,672.74
0.46,672.61
0.43,672.5
39.21,948.17
25.57,10.39
16.05,10.81
491.89,761.69
868.98,93.43
214.45,94.45
11.37,835.22
12.25,842.78
11.03,681.08
3.46,851.58
2.63,852.55
1.73,150.28
0.79,149.96
0.95,668.05
0.89,150.87
0.44,150.5
0.38,801.37
0.25,820.58
77.84,955.16
19.49,9.86
16.29,10.36
278.83,20.64
275.77,19.0
215.87,793.07
269.95,19.58
23.67,705.29
1.39,70.82
1.42,618.28
1.78,617.77
1.39,38.58
1.0,39.26
0.81,38.59
1.12,38.08
0.7,37.69
0.37,37.38
0.34,30.99
61.8,903.43
23.01,703.09
21.84,10.04
105.24,16.23
304.58,42.04
223.88,241.26
21.8,751.02
22.96,585.97
2.33,66.73
1.81,598.96
1.14,598.71
1.25,598.51
0.91,34.98
0.44,35.35
1.12,5.7
0.55,5.36
0.56,5.08
0.56,4.85
49.93,829.63
16.13,723.3
19.99,789.32
288.94,954.37
912.69,346.29
225.47,15.36
20.56,793.77
25.87,13.49
1.86,548.67
1.46,192.94
0.94,16.8
0.59,13.19
0.41,12.32
0.43,5.77
0.81,5.25
0.58,4.85
0.36,4.54
0.41,5.01
18.82,801.82
17.47,893.42
790.06,857.96
296.16,903.34
905.81,497.41
202.57,84.75
23.99,194.97
591.25,189.98
2.21,469.01
1.7,468.58
0.78,192.57
0.54,186.93
0.47,10.57
1.08,6.71
1.07,5.91
0.47,5.3
0.49,4.82
0.5,4.46
537.97,847.13
15.14,909.72
778.92,929.65
25.06,328.02
25.7,333.41
27.4,171.47
919.25,196.81
921.03,781.98
294.22,500.96
1.35,489.93
124.68,40.6
0.54,18.34
1.45,11.82
19.4,10.97
1.07,5.98
0.78,5.29
0.62,4.76
0.49,4.36
39.79,933.51
687.36,572.33
266.94,336.48
915.7,337.37
28.62,330.13
28.72,611.48
29.09,472.35
30.49,789.46
676.48,232.18
125.59,194.0
123.31,42.92
4.63,40.95
1.93,17.91
1.43,16.63
1.51,10.63
1.15,8.81
0.88,5.15
138.39,4.65
