ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
81.2,99.6
82.9,99.8
84.7,99.9
83.7,99.9
86.2,99.9
89.3,99.9
89.3,99.9
97.2,99.9
96.2,99.9
7.9,99.9
8.5,99.9
8.4,99.9
8.6,99.9
8.4,99.9
86.5,99.9
86.6,99.9
86.6,99.9
86.6,99.9
71.9,97.8
83.1,98.6
83.8,99.1
84.8,99.2
84.8,99.3
6.7,99.3
6.6,99.7
6.6,99.9
84.9,99.9
0.9,99.9
80.2,99.9
86.1,99.9
86.0,99.9
86.1,99.9
86.1,99.9
86.6,99.9
86.6,99.9
96.5,99.9
65.6,96.9
75.2,96.2
82.3,97.4
84.6,96.3
83.9,53.4
83.4,98.9
89.5,99.0
88.3,99.0
95.9,97.9
96.0,88.6
96.1,88.6
96.0,88.6
96.0,88.6
96.1,88.6
96.2,88.6
96.2,88.6
96.3,88.6
96.3,98.6
76.5,94.9
65.1,96.6
79.2,96.7
84.3,85.4
0.5,87.2
56.5,51.0
0.9,50.9
88.4,51.4
87.7,85.9
83.9,86.2
84.2,86.2
88.2,86.2
96.0,86.2
96.0,86.2
96.0,86.3
95.9,86.3
96.0,88.3
96.1,88.3
46.5,93.6
70.5,90.3
0.6,93.0
75.3,91.5
0.4,59.6
80.9,60.0
83.6,62.0
80.6,57.7
73.8,57.7
81.5,57.7
79.1,73.1
31.7,67.2
85.1,67.2
85.9,67.2
85.9,85.7
85.9,85.7
85.9,62.2
86.0,62.2
48.1,90.7
44.3,92.0
0.6,58.9
0.3,94.9
81.2,88.0
81.9,84.1
0.9,83.9
82.5,83.3
81.5,80.2
82.7,47.4
84.3,71.8
85.2,62.1
85.4,62.1
85.2,62.1
85.1,62.1
84.7,62.1
85.9,62.1
85.8,17.7
81.0,92.0
44.2,65.8
0.4,93.9
0.4,92.9
0.5,95.4
81.1,94.7
81.5,65.8
0.8,61.2
0.7,62.3
0.7,82.8
0.7,74.1
0.7,74.1
0.8,45.6
0.8,44.4
85.6,44.4
0.7,44.4
85.8,44.4
85.9,17.7
68.4,91.6
0.7,95.3
45.5,62.9
0.4,58.0
0.3,70.0
0.3,96.0
81.3,69.5
0.8,90.9
0.5,89.6
81.0,82.3
0.8,83.7
81.3,83.3
0.7,50.8
50.3,48.4
81.7,48.4
82.3,47.2
82.1,44.4
85.8,44.4
2.4,96.4
0.5,93.7
50.7,88.0
0.4,61.3
0.3,64.0
79.0,72.5
0.7,69.6
0.5,69.6
0.8,53.3
0.9,86.4
0.8,53.5
0.5,59.9
82.6,88.7
0.8,49.1
0.8,50.8
1.5,49.6
59.5,62.1
83.3,62.1
47.4,96.7
0.4,61.7
0.4,78.1
39.2,94.5
52.7,64.5
0.2,69.0
0.7,74.1
0.8,96.7
0.8,93.3
0.9,59.4
47.5,59.0
0.9,59.0
0.9,59.3
0.8,59.3
0.8,60.3
0.8,60.3
0.8,60.3
82.6,59.4
7.6,96.7
0.5,61.0
0.4,74.1
58.3,69.7
0.3,93.7
0.2,96.9
0.5,98.1
0.7,98.3
0.8,96.9
0.8,97.6
0.9,96.4
0.9,96.4
0.9,96.4
0.9,63.8
0.9,64.0
0.9,71.4
0.9,71.4
0.9,91.6
0.9,97.0
0.5,61.7
51.2,62.1
0.3,65.3
0.2,93.4
0.5,96.9
0.5,99.2
0.8,98.2
0.8,95.7
0.8,61.3
0.9,60.6
0.9,97.4
0.8,60.9
1.0,60.9
88.7,58.8
52.6,79.6
49.5,72.5
0.9,61.4
0.8,97.0
0.7,61.8
0.4,62.0
37.7,65.1
0.3,61.3
0.5,61.9
44.9,99.0
0.5,98.1
0.8,98.2
0.8,63.6
0.9,62.6
1.0,95.1
1.0,97.2
1.0,97.2
1.1,80.8
0.9,80.8
0.8,80.8
0.8,95.0
0.6,64.1
0.6,77.7
0.4,70.4
0.3,63.6
41.3,69.7
0.5,61.2
60.9,64.9
78.7,98.1
65.6,98.1
0.8,98.2
48.4,62.7
1.3,59.8
1.0,59.8
1.0,59.8
0.9,59.8
0.9,59.8
1.0,59.8
0.9,59.8
0.6,67.4
0.5,96.6
0.4,88.5
0.4,64.9
40.2,63.0
0.6,61.0
32.5,60.9
79.8,96.8
76.9,97.0
3.3,97.1
30.2,96.1
46.6,62.8
1.3,66.6
46.9,71.7
1.0,62.7
0.9,92.5
0.9,60.7
0.9,60.7
0.5,74.0
0.5,95.2
0.8,62.4
0.5,75.1
0.3,67.7
0.3,73.7
0.6,98.7
76.3,98.9
2.7,98.9
62.5,98.1
46.8,98.1
34.9,90.2
2.8,90.2
47.0,90.9
46.8,90.9
44.3,91.0
46.8,88.9
47.0,88.9
0.5,92.9
0.4,96.8
0.4,94.0
0.3,73.6
0.3,82.3
0.2,98.5
0.6,96.2
64.5,98.2
82.6,98.2
58.8,98.5
3.0,98.2
49.6,98.2
37.7,92.9
47.3,92.9
46.8,79.5
27.4,79.5
32.1,90.7
42.7,94.0
0.5,93.7
41.4,67.5
0.4,70.7
0.3,62.7
0.3,78.1
0.3,97.6
50.0,98.1
54.4,98.2
52.5,97.3
28.6,98.2
74.3,98.2
49.9,98.5
74.9,98.8
49.7,94.0
48.4,95.8
43.1,94.1
42.5,96.8
5.4,97.2
0.3,94.5
0.7,93.8
0.3,94.5
0.2,95.0
0.3,69.3
0.3,96.9
67.6,96.9
80.6,97.4
8.7,97.2
64.1,96.0
77.8,94.6
77.7,94.6
68.8,97.4
71.9,98.4
68.9,96.0
62.8,97.1
63.4,98.5
61.7,98.5
