OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
25.5,37.1,51.6,53.4
26.6,49.3,51.8,49.7
28.5,55.1,52.5,56.9
30.5,63.3,53.0,49.6
34.0,67.9,53.9,43.0
36.9,69.7,53.9,30.6
38.9,73.1,55.2,17.8
43.4,77.1,50.5,17.4
47.6,77.7,48.5,16.9
49.8,78.6,65.3,78.3
53.1,79.5,66.3,82.6
57.9,80.2,65.5,40.9
59.6,85.1,66.5,51.9
61.1,85.9,66.7,42.0
60.0,85.5,67.8,42.3
64.1,86.5,66.6,10.0
67.0,86.3,66.2,25.0
67.6,87.3,64.5,6.5
68.0,88.3,62.9,5.3
25.4,36.9,52.8,58.9
26.4,49.3,54.4,62.1
28.5,56.5,56.5,64.3
30.5,63.8,57.5,64.0
34.0,68.2,58.6,70.7
37.1,71.2,60.1,70.6
38.9,74.3,61.2,60.5
44.4,76.1,62.2,43.5
47.6,78.7,62.5,64.7
51.2,84.2,68.6,87.5
50.8,85.1,69.7,92.1
52.5,85.5,69.3,91.9
57.4,86.4,71.1,93.1
59.4,86.5,72.5,94.1
61.0,87.2,71.9,92.1
64.7,87.7,76.9,89.7
67.5,88.0,75.2,92.1
67.9,39.1,77.2,92.3
68.5,89.5,76.1,75.5
25.4,37.0,53.7,60.0
26.4,47.7,55.5,62.9
28.5,57.7,57.6,65.8
30.6,64.2,58.5,66.6
34.0,69.2,60.0,69.3
37.2,71.4,60.8,68.2
39.1,73.7,63.6,70.1
41.6,75.9,64.8,70.6
47.6,83.4,64.4,70.7
49.8,84.1,65.8,72.2
51.1,84.9,71.8,90.4
55.1,85.4,71.4,91.9
57.8,86.1,73.5,92.6
59.7,86.5,75.7,92.2
63.9,87.0,77.4,93.0
64.9,88.8,77.9,94.3
67.7,87.2,76.1,94.5
68.1,87.5,78.6,92.4
68.6,88.9,78.9,92.8
28.5,55.2,52.6,54.7
34.0,68.0,54.1,42.1
38.9,73.3,55.2,18.6
47.6,77.8,46.3,14.2
53.1,79.6,66.1,41.8
59.5,85.3,66.2,44.7
60.0,86.0,67.8,10.3
67.0,87.3,67.1,6.7
68.0,89.2,67.6,6.4
69.2,90.4,67.7,5.2
70.4,88.6,74.0,7.0
71.7,91.3,76.7,4.2
73.8,91.4,99.7,99.7
75.7,91.6,99.7,99.7
75.3,92.1,99.7,99.7
75.8,92.1,99.7,99.7
77.8,92.2,99.7,99.7
78.8,91.5,99.7,99.7
79.6,92.3,99.7,99.7
28.4,57.5,56.5,65.0
34.0,68.2,58.6,70.2
38.9,74.3,61.2,43.7
47.7,78.7,62.5,46.6
50.8,85.1,69.0,91.9
57.4,86.5,71.2,94.2
61.0,87.3,72.0,83.1
67.5,88.0,75.3,80.7
68.5,89.4,76.2,77.1
70.2,92.0,70.8,53.8
71.9,91.5,75.8,50.6
74.5,91.8,78.0,51.2
76.1,92.0,99.3,99.7
76.0,91.9,99.4,99.7
76.5,92.0,99.6,99.7
78.6,92.6,99.6,99.7
78.9,93.3,99.7,99.7
82.5,94.3,99.7,99.7
83.0,96.0,99.7,99.7
28.5,57.4,57.6,67.0
34.0,68.8,60.0,70.4
39.1,73.2,63.6,70.1
47.6,83.2,64.4,71.8
51.1,84.8,71.8,90.7
57.9,86.1,73.5,92.1
63.9,87.0,77.2,93.5
67.7,88.1,76.1,94.8
68.6,88.9,78.9,92.4
71.1,89.7,81.4,87.7
71.8,38.7,77.5,87.2
74.4,91.6,76.0,89.2
76.0,92.0,81.9,85.3
76.7,92.0,98.6,99.7
77.4,92.2,98.8,99.7
79.2,92.5,99.0,99.7
85.1,94.9,99.1,99.7
80.5,93.8,99.1,99.7
84.9,93.8,99.2,99.7
34.0,68.0,54.4,31.5
43.4,77.2,50.6,19.4
53.1,79.9,66.2,42.4
61.1,85.8,66.8,14.5
67.0,87.4,64.1,6.1
68.5,88.6,67.6,5.2
70.4,91.2,75.4,4.9
73.3,90.8,76.2,1.0
75.6,92.3,99.7,99.7
75.5,92.3,99.7,99.7
77.8,92.5,99.7,99.7
79.4,92.5,99.7,99.7
80.5,95.2,99.8,99.8
81.0,93.4,99.8,99.8
84.1,94.8,99.8,99.8
85.2,94.9,99.8,99.8
86.1,95.2,99.8,99.8
84.5,95.4,99.8,99.8
86.5,94.8,99.8,99.8
34.0,68.7,58.6,70.7
44.4,76.0,62.2,43.8
50.8,85.1,69.0,92.8
59.4,86.8,72.6,83.1
67.5,88.5,75.3,49.2
69.1,91.9,78.0,81.1
71.7,64.6,75.8,81.7
73.4,91.9,77.3,52.2
75.9,92.0,99.4,99.7
76.7,92.5,99.6,99.7
78.9,93.6,99.7,99.7
82.9,93.5,99.7,99.7
85.4,83.4,99.8,99.8
83.6,94.5,99.8,99.8
85.8,94.5,99.8,99.8
86.1,97.0,99.8,99.8
87.5,96.4,99.8,99.8
87.9,97.4,99.8,99.8
89.8,97.4,99.8,99.8
34.0,68.6,60.0,69.8
41.6,75.5,64.7,70.7
51.1,84.7,71.6,92.0
59.7,86.7,74.6,93.0
67.7,87.8,75.7,92.4
70.8,89.2,80.6,87.7
71.7,38.6,77.4,88.9
75.9,92.1,78.3,88.4
76.7,92.2,98.6,99.7
77.8,93.6,98.9,99.7
85.1,95.2,99.1,99.7
84.5,51.0,99.2,99.7
86.3,82.8,99.8,99.8
86.4,91.1,99.8,99.8
86.7,91.1,99.8,99.8
87.0,97.4,99.8,99.8
87.8,97.5,99.8,99.8
88.0,91.8,99.8,99.8
89.6,95.0,99.8,99.8
38.9,73.6,50.5,20.3
53.1,81.4,67.2,26.6
60.0,86.3,69.1,12.1
68.0,89.5,66.5,8.0
70.4,91.3,75.0,4.8
73.7,91.1,99.7,99.7
75.3,91.9,99.7,99.7
77.8,92.7,99.7,99.7
80.2,92.8,99.7,99.7
80.8,94.9,99.8,99.8
84.1,95.0,99.8,99.8
86.0,96.2,99.8,99.8
87.0,90.7,99.8,99.8
86.6,95.7,99.8,99.8
86.8,92.4,99.8,99.8
80.9,92.5,99.8,99.8
80.5,96.4,99.8,99.8
81.8,93.3,99.8,99.8
80.6,91.8,99.8,99.8
38.9,72.9,60.7,44.3
50.8,85.2,69.1,93.8
60.9,87.5,73.4,84.9
68.5,39.7,76.3,80.6
71.7,44.3,74.9,81.5
75.4,58.3,83.5,49.6
76.3,70.8,99.6,99.7
78.8,96.3,99.7,99.7
83.0,96.5,99.7,99.7
83.4,50.8,99.8,99.8
85.7,85.3,99.8,99.8
87.2,93.3,99.8,99.8
87.8,97.2,99.8,99.8
89.8,97.3,99.8,99.8
90.5,95.9,99.8,99.8
87.2,97.2,99.8,99.8
39.4,97.5,99.8,99.8
40.0,97.5,99.8,99.8
42.8,97.7,99.8,99.8
39.2,72.7,63.6,75.7
51.2,84.7,71.0,92.2
64.0,86.9,76.7,94.3
68.6,89.1,78.8,87.1
71.7,39.2,76.2,89.1
76.1,92.2,81.6,89.0
77.4,93.7,98.8,99.7
84.1,97.2,99.1,99.7
84.8,49.8,99.2,99.7
86.4,91.1,99.8,99.8
86.7,91.2,99.8,99.8
87.3,91.6,99.8,99.8
87.9,91.7,99.8,99.8
88.7,73.9,99.8,99.8
89.1,74.4,99.8,99.8
38.4,97.5,99.8,99.8
88.1,95.8,99.8,99.8
90.9,95.8,99.8,99.8
61.9,95.8,99.8,99.8
47.6,78.3,46.4,6.4
61.2,85.8,67.8,8.1
68.0,87.8,67.6,8.0
71.1,91.5,76.1,1.0
75.7,92.6,99.7,99.7
76.5,92.9,99.7,99.7
80.2,95.8,99.7,99.7
81.0,95.8,99.8,99.8
82.4,95.4,99.8,99.8
86.7,96.0,99.8,99.8
86.7,95.7,99.8,99.8
86.8,93.0,99.8,99.8
81.0,93.3,99.8,99.8
81.7,93.5,99.8,99.8
81.0,93.8,99.8,99.8
91.1,93.9,99.8,99.8
92.9,92.0,99.8,99.8
92.4,91.7,99.8,99.8
93.0,88.4,99.8,99.8
48.2,83.4,62.7,47.5
59.4,87.0,71.1,81.1
68.6,39.7,77.8,84.3
73.7,68.3,77.6,87.6
76.5,70.5,99.6,99.7
78.7,94.0,99.7,99.7
82.9,96.5,99.7,99.7
83.6,94.6,99.8,99.8
86.5,95.1,99.8,99.8
87.4,95.2,99.8,99.8
89.8,95.6,99.8,99.8
91.0,97.6,99.8,99.8
87.0,97.7,99.8,99.8
42.1,98.0,99.8,99.8
41.9,97.2,99.8,99.8
81.7,98.1,99.8,99.8
91.8,79.9,99.8,99.8
91.8,95.4,99.8,99.8
92.5,95.4,99.8,99.8
48.1,81.5,64.2,73.1
60.1,86.4,74.1,94.2
68.8,89.0,78.8,82.6
72.8,91.9,78.2,83.1
76.7,92.4,98.4,99.7
80.0,97.2,99.0,99.7
84.7,70.1,99.2,99.7
86.3,94.9,99.8,99.8
86.9,96.4,99.8,99.8
87.7,91.9,99.8,99.8
88.6,92.1,99.8,99.8
89.6,95.0,99.8,99.8
38.8,95.8,99.8,99.8
90.5,95.8,99.8,99.8
46.0,95.8,99.8,99.8
46.2,74.0,99.8,99.8
46.2,73.6,99.8,99.8
67.3,95.8,99.8,99.8
91.8,95.8,99.8,99.8
53.1,85.2,66.3,44.3
67.0,88.9,67.8,7.6
70.4,90.3,76.1,1.0
75.6,92.5,99.7,99.7
77.1,94.8,99.7,99.7
80.4,93.9,99.8,99.8
84.1,95.5,99.8,99.8
86.1,96.1,99.8,99.8
86.7,92.9,99.8,99.8
80.6,93.3,99.8,99.8
80.2,93.8,99.8,99.8
81.4,93.9,99.8,99.8
89.1,94.2,99.8,99.8
92.4,94.7,99.8,99.8
91.2,91.8,99.8,99.8
91.9,96.7,99.8,99.8
92.8,96.5,99.8,99.8
83.8,95.4,99.8,99.8
83.6,95.5,99.8,99.8
50.8,85.1,69.2,78.9
67.5,89.4,75.4,77.3
72.0,68.3,74.9,87.3
75.8,92.4,99.6,99.7
78.8,96.5,99.7,99.7
85.4,94.6,99.8,99.8
85.6,94.7,99.8,99.8
87.3,95.4,99.8,99.8
88.0,95.6,99.8,99.8
91.1,95.7,99.8,99.8
90.6,95.7,99.8,99.8
92.5,95.7,99.8,99.8
81.5,98.2,99.8,99.8
91.8,95.4,99.8,99.8
91.8,95.4,99.8,99.8
91.4,98.2,99.8,99.8
92.1,98.2,99.8,99.8
94.6,95.5,99.8,99.8
96.3,1.6,99.8,99.8
51.4,84.4,70.8,89.7
67.8,88.3,75.6,86.2
71.6,91.7,75.9,83.1
76.6,92.7,98.2,99.7
84.1,94.2,99.1,99.7
86.1,91.3,99.8,99.8
86.4,97.4,99.8,99.8
87.5,92.0,99.8,99.8
88.4,92.2,99.8,99.8
38.3,95.1,99.8,99.8
88.0,98.3,99.8,99.8
40.0,95.6,99.8,99.8
62.1,68.2,99.8,99.8
47.2,77.5,99.8,99.8
67.4,95.7,99.8,99.8
91.8,95.7,99.8,99.8
92.1,95.7,99.8,99.8
92.7,95.7,99.8,99.8
92.8,95.7,99.8,99.8
59.6,85.9,68.4,6.9
68.6,90.9,64.5,7.2
73.6,93.5,99.7,99.7
76.5,95.3,99.7,99.7
80.5,95.1,99.8,99.8
81.5,89.1,99.8,99.8
86.9,96.4,99.8,99.8
86.8,96.5,99.8,99.8
81.0,95.0,99.8,99.8
81.3,94.0,99.8,99.8
92.6,95.2,99.8,99.8
92.4,95.3,99.8,99.8
93.0,91.8,99.8,99.8
92.7,95.4,99.8,99.8
92.9,95.8,99.8,99.8
83.6,97.1,99.8,99.8
91.8,97.2,99.8,99.8
92.4,89.2,99.8,99.8
92.4,98.5,99.8,99.8
