OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
215.78,251.38,539.33,590.06
224.36,277.57,552.22,724.79
231.84,342.2,559.9,928.69
236.07,381.14,569.12,964.9
250.25,422.91,583.65,984.27
257.91,445.74,586.77,986.7
272.03,507.5,666.72,988.92
278.75,508.26,695.09,991.22
288.98,546.75,705.09,990.51
296.04,611.97,888.22,989.42
331.86,665.11,893.99,988.83
341.48,750.28,911.71,989.27
371.09,757.66,913.71,989.57
386.19,671.58,917.5,989.79
398.36,680.35,920.7,989.84
404.58,685.42,952.92,990.05
408.82,784.37,978.2,990.22
429.57,787.29,977.53,990.35
452.67,817.96,980.39,6.95
214.36,246.62,542.49,586.2
222.26,276.03,554.13,739.08
228.9,319.16,563.69,889.54
232.68,347.92,577.52,927.12
240.89,382.43,583.62,981.02
254.99,401.52,635.32,982.99
262.38,411.94,662.55,982.96
269.95,434.71,684.9,982.39
276.8,482.86,733.69,984.12
295.79,505.58,732.98,984.46
308.38,521.36,880.02,986.53
327.04,566.42,892.06,984.06
344.6,670.66,899.35,985.88
351.43,676.9,908.33,984.75
360.48,676.6,907.66,981.85
367.49,681.95,908.78,983.18
388.54,689.67,912.73,984.43
399.5,762.51,946.12,985.76
402.51,786.81,973.38,986.75
213.09,242.16,544.64,641.08
220.62,277.41,571.32,721.86
226.61,294.17,583.85,866.33
233.34,319.9,593.78,926.61
240.41,365.51,619.99,936.32
253.36,392.01,643.37,981.26
260.45,405.66,672.07,980.4
267.31,396.88,698.13,932.41
286.85,340.17,601.03,934.86
281.17,412.45,751.1,943.35
302.04,524.03,856.65,983.96
314.96,530.63,881.25,984.94
327.09,607.5,891.18,983.48
331.19,659.92,897.68,966.6
341.86,665.0,904.64,975.63
350.1,669.58,902.47,980.03
366.83,753.36,900.73,984.67
387.08,756.89,919.1,981.72
392.98,782.07,921.2,984.19
231.84,345.02,560.19,937.34
250.24,423.57,585.01,984.99
272.02,511.95,669.63,990.84
288.96,574.04,706.36,991.7
331.82,735.38,897.78,989.31
371.03,768.11,909.21,989.85
398.3,717.89,925.06,990.19
408.75,778.07,977.56,990.48
452.58,824.98,981.26,6.05
493.61,789.21,985.81,4.91
507.59,842.72,982.16,4.14
556.67,850.84,985.42,3.6
579.71,873.72,987.3,3.21
617.41,886.58,988.23,2.89
654.01,892.81,989.72,2.01
684.06,893.72,988.94,1.88
673.6,902.25,988.88,1.77
689.43,910.72,987.27,1.67
696.48,910.17,988.12,1.59
228.89,320.04,563.84,916.04
240.86,382.65,583.81,982.02
262.34,420.47,662.94,982.48
276.73,441.95,739.91,986.25
308.29,525.23,881.0,983.15
344.47,564.96,895.21,984.44
360.85,674.27,908.4,983.04
388.37,690.65,913.4,982.18
402.32,783.46,973.83,988.27
410.75,787.16,974.01,987.02
408.3,817.6,974.78,982.71
421.56,824.22,983.0,982.88
458.44,790.63,978.59,982.97
484.51,859.53,977.48,983.01
510.41,804.03,981.12,983.04
516.3,817.46,983.94,983.05
585.56,753.58,980.74,983.06
569.21,903.12,983.45,983.06
580.92,882.78,983.36,983.06
226.59,294.03,583.7,879.14
240.37,365.08,619.78,946.54
260.4,408.25,671.83,979.29
286.77,474.05,600.81,938.07
301.95,523.37,856.66,985.03
326.97,571.17,891.18,984.31
341.72,666.73,904.58,976.47
366.66,749.34,900.56,980.87
392.77,773.79,921.06,980.89
401.86,589.05,971.26,980.87
405.83,606.69,973.28,983.92
411.18,624.02,975.1,984.11
440.26,637.84,969.96,986.43
453.65,643.01,978.22,987.71
503.28,638.57,975.03,983.76
506.68,702.26,935.29,985.23
476.08,697.18,939.24,990.05
599.99,714.82,939.33,990.15
610.61,699.54,980.23,990.21
250.24,429.68,574.31,987.71
278.71,450.52,699.62,991.45
331.75,748.74,903.18,989.64
386.79,677.77,927.53,990.3
408.64,784.63,977.1,990.69
459.43,787.09,983.36,5.21
507.42,821.15,983.29,4.07
561.54,886.08,986.92,3.38
617.18,894.15,988.76,2.91
677.74,897.48,988.2,1.95
673.13,903.44,989.32,1.79
692.43,911.28,988.06,1.65
699.42,892.82,988.94,1.53
701.97,918.19,988.72,1.44
756.82,918.85,989.25,1.35
798.35,918.89,988.82,1.28
798.37,906.41,989.31,1.21
807.88,914.56,0.64,0.28
829.21,912.22,0.55,0.26
240.81,381.64,584.26,981.03
269.8,436.15,718.27,984.47
308.13,524.9,882.64,984.92
354.55,731.27,901.73,982.75
388.09,756.03,914.7,983.37
406.9,778.42,974.53,987.19
408.01,813.66,975.43,983.21
451.02,789.88,978.22,983.34
484.21,850.03,977.85,983.39
511.12,828.85,982.92,983.41
578.6,900.64,980.97,983.42
587.78,907.24,982.94,983.42
598.25,916.22,979.5,983.43
622.7,852.29,983.42,983.43
623.64,909.53,984.15,983.44
629.43,914.19,981.21,983.44
673.58,919.02,983.34,983.44
775.77,921.97,3.79,0.37
779.64,771.82,2.61,0.35
240.31,364.55,617.99,973.57
267.21,395.95,697.46,932.79
301.78,543.6,856.68,984.2
331.2,657.12,897.58,975.18
366.38,749.86,906.85,981.54
398.97,577.1,944.44,979.33
405.41,605.73,973.33,984.17
414.31,631.38,972.29,985.75
452.77,638.31,978.21,989.2
506.19,693.13,930.48,984.58
476.72,696.48,938.56,18.41
614.37,709.7,977.14,990.32
620.76,706.88,945.85,990.39
633.11,740.51,938.27,7.23
704.35,735.81,978.18,3.97
678.12,766.2,981.15,3.42
772.81,762.59,983.24,2.83
776.9,768.39,53.42,1.18
783.74,768.22,29.75,1.04
271.98,514.47,680.85,990.81
331.65,648.86,909.67,989.88
398.04,777.0,941.95,990.68
455.83,793.99,982.94,5.61
507.17,814.16,984.6,4.05
576.92,879.63,987.29,3.22
652.27,895.34,990.75,2.73
672.79,909.47,989.9,1.81
696.1,896.4,988.73,1.63
699.27,917.79,988.72,1.49
795.6,893.1,989.38,1.38
799.1,922.39,989.25,1.28
800.76,914.34,0.68,0.29
828.89,923.32,0.56,0.27
824.63,926.53,0.46,0.24
816.68,927.25,0.39,0.22
867.58,908.4,0.34,0.2
874.14,915.13,0.29,0.19
875.75,915.34,0.25,0.17
262.1,421.51,663.77,981.8
307.91,524.44,884.83,986.18
360.26,735.43,911.41,981.5
402.25,477.12,975.57,989.09
407.49,667.76,976.35,983.63
457.38,858.41,979.42,983.73
509.29,890.27,981.82,983.75
585.19,902.1,981.27,983.77
583.18,847.95,977.18,983.78
615.35,872.63,982.74,983.79
627.28,911.51,984.53,983.8
644.71,916.76,981.97,983.99
673.77,921.17,5.31,0.39
779.04,777.22,2.84,0.35
783.61,713.34,2.04,0.32
786.62,773.68,1.49,0.29
814.55,784.48,1.1,0.27
823.28,932.36,0.72,0.24
818.19,792.44,0.57,0.22
260.19,407.3,670.84,931.62
301.56,541.79,837.23,979.84
341.89,486.39,904.28,983.35
392.44,503.86,920.47,978.64
404.99,785.35,973.39,984.28
425.08,635.14,975.86,986.62
489.75,693.71,973.84,983.68
476.28,698.27,937.59,14.48
613.65,705.4,979.84,978.91
617.83,727.9,938.51,979.15
699.26,759.45,977.79,11.28
756.98,764.28,981.62,5.67
774.5,767.65,67.56,1.91
783.41,768.14,47.1,1.3
783.96,709.68,20.07,1.09
794.26,714.74,21.08,0.94
791.98,713.3,16.48,0.82
804.11,729.13,31.28,0.73
616.55,728.02,19.35,0.66
288.78,614.64,712.16,989.55
385.01,778.45,930.18,990.76
455.57,830.74,983.99,13.15
512.92,879.26,986.77,3.84
616.87,846.23,990.2,3.02
520.93,906.97,989.97,2.55
696.25,913.3,989.04,1.67
700.89,917.65,989.13,1.49
796.49,919.57,989.7,1.36
798.48,923.1,989.77,1.25
830.1,903.59,0.56,0.27
834.28,903.83,0.45,0.24
870.95,908.63,0.37,0.21
874.72,915.35,0.3,0.19
874.04,915.72,0.26,0.17
877.0,926.66,0.22,0.16
875.3,926.72,0.19,0.14
879.27,926.59,0.16,0.13
902.45,938.76,0.14,0.11
276.23,543.5,731.8,988.14
353.82,732.5,901.36,982.31
