ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
917.88,848.84
924.54,988.88
927.5,993.08
933.07,993.98
922.77,620.32
902.17,619.83
41.03,619.49
38.64,999.89
38.66,999.92
822.74,999.94
39.64,999.95
37.34,999.96
12.24,999.97
805.13,999.98
795.44,999.98
794.96,999.99
795.57,999.99
794.9,999.99
882.37,806.28
936.5,630.97
952.21,610.55
948.99,705.01
952.38,818.39
936.47,812.93
910.39,817.68
344.18,996.79
337.88,996.9
251.72,996.07
249.35,996.11
250.49,996.14
252.65,999.83
249.81,999.87
250.33,999.89
250.06,999.92
249.64,999.93
237.19,999.95
881.62,875.15
950.05,836.4
954.41,461.86
954.16,797.06
964.18,988.47
944.06,574.63
926.04,763.56
922.31,981.97
899.64,981.95
896.62,981.66
921.37,981.69
910.36,981.72
249.61,981.74
338.33,981.76
338.63,981.78
338.04,990.83
217.01,990.86
216.1,704.71
883.99,821.13
949.21,540.12
969.69,594.75
499.96,633.26
954.89,722.39
923.78,971.26
930.87,971.39
10.6,979.98
868.89,979.82
9.46,979.87
8.0,979.9
9.42,979.9
7.97,979.9
195.21,979.9
195.49,979.89
184.01,979.89
187.48,979.88
187.49,979.87
874.86,841.76
947.18,837.13
972.24,516.73
968.97,991.52
512.92,991.49
433.63,972.86
888.23,973.04
9.74,977.74
7.63,977.95
5.84,695.84
500.68,695.81
6.63,691.15
837.32,691.11
4.74,691.09
5.37,691.06
6.7,691.04
862.07,691.03
944.64,691.01
703.9,840.98
705.35,641.33
971.14,889.42
509.04,839.48
451.11,992.1
401.02,976.64
393.83,975.6
8.77,976.19
5.56,976.65
839.17,976.95
8.4,977.13
529.62,977.26
326.14,977.35
6.98,977.42
865.35,977.46
866.47,977.5
652.85,977.53
867.78,977.55
660.39,845.16
841.95,875.02
752.94,912.24
595.49,838.07
460.57,827.03
395.3,832.28
852.25,992.7
391.13,980.33
417.34,976.59
296.68,976.28
340.4,976.61
4.52,976.83
880.66,977.0
388.06,977.12
883.56,977.21
952.78,977.27
883.44,977.33
334.55,977.37
665.65,903.06
685.9,874.13
679.52,948.42
466.7,892.16
469.79,829.91
875.98,780.09
405.33,553.87
372.34,882.81
4.7,880.94
412.58,976.79
321.84,977.22
11.69,976.78
953.3,977.03
444.05,977.22
474.51,977.37
470.46,977.48
348.0,977.57
342.04,977.64
646.58,901.65
703.95,895.09
974.62,968.9
467.86,896.63
495.64,896.19
896.74,858.52
366.01,840.26
394.87,976.24
376.8,976.61
320.77,977.48
357.75,977.36
381.98,977.78
476.36,977.38
479.96,977.66
390.1,977.88
952.51,978.05
390.95,978.18
395.24,978.3
745.97,884.41
766.24,896.99
975.51,692.16
940.72,917.51
501.22,917.55
409.08,896.14
369.56,878.84
377.07,999.87
370.78,819.76
363.76,825.39
867.49,826.76
462.71,977.49
453.64,977.99
392.05,978.37
467.05,978.67
391.63,978.91
389.2,979.1
610.92,979.26
736.78,975.7
666.96,896.12
976.32,867.42
938.98,967.84
496.85,919.99
536.43,991.22
852.19,724.04
414.33,999.87
367.19,965.01
369.45,825.45
15.02,990.57
411.46,990.89
442.18,714.43
389.36,722.98
388.12,516.97
404.6,851.98
411.47,852.05
415.14,849.46
607.99,907.94
973.79,895.27
976.25,875.05
512.84,922.56
689.39,988.51
447.77,991.65
878.0,973.53
391.98,999.86
501.75,919.77
390.8,969.86
392.57,474.32
292.23,530.12
493.89,989.44
990.51,989.73
991.09,554.73
938.13,554.63
400.45,578.88
500.19,578.65
857.55,888.37
974.97,894.41
977.68,872.25
972.79,245.91
551.03,989.4
531.82,991.79
878.3,992.73
152.55,999.85
489.29,591.85
32.89,680.5
13.28,404.03
12.02,402.84
8.88,402.19
990.78,656.09
991.29,377.21
455.2,850.14
745.51,850.25
491.18,998.35
696.3,896.69
622.99,895.06
976.97,873.02
544.67,337.63
488.97,337.34
535.1,990.14
732.23,993.24
379.34,999.85
473.15,840.05
949.37,638.61
952.67,338.56
12.83,339.28
9.4,340.54
10.75,340.15
991.47,339.86
981.08,248.35
481.64,998.14
928.15,998.48
776.85,897.12
699.84,894.28
977.21,870.99
534.65,338.79
975.62,337.74
657.1,993.37
530.63,993.58
472.0,999.84
4.31,835.4
967.83,116.67
720.04,117.3
969.64,337.91
11.41,337.85
11.84,246.72
13.51,246.66
11.79,246.63
978.4,246.62
980.03,246.62
654.57,896.61
587.24,892.85
942.18,879.39
828.68,339.07
975.61,338.11
528.52,993.71
475.96,993.82
462.29,999.83
496.41,114.74
516.21,114.11
511.09,113.76
15.95,24.79
14.12,996.75
12.76,997.09
763.92,997.33
13.21,997.5
13.33,997.62
11.64,997.7
783.64,897.97
536.65,892.88
939.47,184.18
550.81,341.73
975.51,338.46
488.01,993.96
480.18,993.99
511.87,999.82
945.82,112.55
136.16,112.29
138.44,994.19
30.3,995.23
163.56,995.69
25.55,996.35
20.43,996.65
13.49,996.85
14.8,997.0
11.02,997.1
967.33,897.5
980.14,899.03
983.62,226.6
492.66,340.74
983.96,994.01
815.08,994.14
611.98,994.13
948.77,999.81
418.55,990.99
491.86,990.24
419.52,992.07
503.3,993.03
29.61,993.71
637.98,994.9
599.56,995.98
612.84,996.28
23.11,994.3
26.65,994.69
968.91,889.99
982.1,899.41
985.03,236.88
549.77,341.52
983.08,994.23
416.95,994.28
417.23,994.25
420.6,999.81
958.5,981.93
545.48,985.87
984.59,990.25
986.86,992.19
683.9,991.83
711.11,992.62
647.39,988.04
628.97,993.42
735.15,994.0
599.22,994.45
