,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.35, 7.0)",44.77000000000001,77.70800000000001
"(0.35, 7.5)",42.271,77.41900000000001
"(0.35, 8.0)",45.955000000000005,78.771
"(0.35, 8.5)",43.175,78.423
"(0.35, 9.0)",44.51199999999999,76.82200000000002
"(0.35, 9.5)",45.32,75.15000000000002
"(0.4, 1.0)",62.38199999999999,87.17199999999997
"(0.4, 1.5)",61.128999999999984,85.20600000000002
"(0.4, 2.0)",55.038,84.34099999999998
"(0.4, 2.5)",50.76700000000002,79.158
"(0.4, 3.0)",52.03300000000001,78.39099999999996
"(0.4, 3.5)",52.304999999999986,77.81200000000001
"(0.4, 4.0)",51.336999999999996,78.32900000000001
"(0.4, 4.5)",50.90199999999999,77.15800000000003
"(0.4, 5.0)",48.988000000000014,79.947
"(0.4, 5.5)",46.33599999999997,78.02599999999997
"(0.4, 6.0)",44.29899999999998,79.19999999999996
"(0.4, 6.5)",44.15199999999999,78.73099999999997
"(0.4, 7.0)",46.05400000000001,77.18299999999996
"(0.4, 7.5)",43.304,75.35499999999999
"(0.4, 8.0)",44.29300000000001,76.194
"(0.4, 8.5)",43.57300000000002,77.14799999999998
"(0.4, 9.0)",48.09599999999998,78.44699999999999
"(0.4, 9.5)",43.743,77.31
"(0.45, 1.0)",66.04700000000001,86.18400000000001
"(0.45, 1.5)",55.46400000000001,86.62799999999996
"(0.45, 2.0)",56.884000000000015,84.38100000000003
"(0.45, 2.5)",52.659000000000006,81.75199999999998
"(0.45, 3.0)",52.022,77.694
"(0.45, 3.5)",56.25600000000001,78.927
"(0.45, 4.0)",49.314000000000014,76.79599999999999
"(0.45, 4.5)",50.80300000000001,81.09599999999999
"(0.45, 5.0)",46.43299999999999,78.958
"(0.45, 5.5)",44.32400000000001,78.035
"(0.45, 6.0)",48.37900000000002,75.50299999999999
"(0.45, 6.5)",43.049999999999976,77.60399999999997
"(0.45, 7.0)",45.649,76.03499999999997
"(0.45, 7.5)",48.206999999999994,78.45899999999996
"(0.45, 8.0)",46.08200000000001,82.465
"(0.45, 8.5)",47.59499999999999,82.14
"(0.45, 9.0)",46.320999999999984,81.61700000000005
"(0.45, 9.5)",45.26499999999998,81.23800000000004
"(0.5, 1.0)",62.92599999999998,86.84500000000004
"(0.5, 1.5)",57.009000000000036,83.63399999999996
"(0.5, 2.0)",52.205999999999996,81.02499999999998
"(0.5, 2.5)",56.30000000000001,83.56500000000001
"(0.5, 3.0)",52.32800000000002,77.54899999999996
"(0.5, 3.5)",49.120999999999995,74.70699999999997
"(0.5, 4.0)",44.239,74.15900000000002
"(0.5, 4.5)",47.324999999999996,77.96499999999997
"(0.5, 5.0)",45.91899999999998,77.36799999999998
"(0.5, 5.5)",46.74899999999999,76.60299999999997
"(0.5, 6.0)",45.948000000000015,75.92899999999999
"(0.5, 6.5)",47.773,75.28299999999999
"(0.5, 7.0)",47.52100000000001,73.84799999999998
"(0.5, 7.5)",45.19600000000003,75.64699999999999
"(0.5, 8.0)",46.56899999999998,73.79199999999999
"(0.5, 8.5)",43.855000000000004,78.22999999999999
"(0.5, 9.0)",43.034000000000006,80.54799999999996
"(0.5, 9.5)",44.852,78.89199999999998
"(0.55, 1.0)",58.80000000000001,87.27699999999996
"(0.55, 1.5)",58.618000000000016,84.58299999999994
"(0.55, 2.0)",51.65800000000001,78.613
"(0.55, 2.5)",51.349,83.20200000000001
"(0.55, 3.0)",49.13800000000001,77.94799999999998
"(0.55, 3.5)",51.09,75.20899999999999
"(0.55, 4.0)",45.294000000000025,75.37499999999999
"(0.55, 4.5)",42.875000000000014,76.34399999999997
"(0.55, 5.0)",42.588000000000015,74.43
"(0.55, 5.5)",47.802000000000014,73.86600000000003
"(0.55, 6.0)",47.739000000000004,75.126
"(0.55, 6.5)",46.68400000000002,72.694
"(0.55, 7.0)",44.37999999999998,72.06499999999998
"(0.55, 7.5)",45.61199999999999,75.18899999999996
"(0.55, 8.0)",40.600000000000016,75.33599999999997
"(0.55, 8.5)",43.480999999999966,77.74699999999997
"(0.55, 9.0)",41.02100000000001,80.61799999999998
"(0.55, 9.5)",41.62800000000004,80.39700000000002
"(0.6, 1.0)",55.419999999999995,88.917
"(0.6, 1.5)",54.659,80.25700000000003
"(0.6, 2.0)",50.11099999999999,82.587
"(0.6, 2.5)",46.431,81.816
"(0.6, 3.0)",48.75399999999998,79.32599999999998
"(0.6, 3.5)",48.60700000000002,78.74900000000001
"(0.6, 4.0)",42.64400000000001,76.80800000000002
"(0.6, 4.5)",46.06500000000001,77.717
"(0.6, 5.0)",47.529999999999994,79.61000000000001
"(0.6, 5.5)",41.31699999999999,73.44500000000002
"(0.6, 6.0)",45.79900000000001,78.83399999999999
"(0.6, 6.5)",46.92300000000002,75.689
"(0.6, 7.0)",50.63200000000002,75.05099999999997
"(0.6, 7.5)",45.849999999999994,71.57199999999996
"(0.6, 8.0)",44.792,73.78499999999998
"(0.6, 8.5)",44.53100000000002,74.94199999999998
"(0.6, 9.0)",41.752000000000024,74.41999999999999
"(0.6, 9.5)",40.610000000000014,77.49699999999999
"(0.65, 1.0)",60.273999999999994,86.43499999999999
"(0.65, 1.5)",55.39000000000001,86.498
"(0.65, 2.0)",53.73299999999999,82.999
"(0.65, 2.5)",48.803999999999995,76.32399999999996
"(0.65, 3.0)",46.54399999999999,75.213
"(0.65, 3.5)",46.39800000000002,75.79400000000001
"(0.65, 4.0)",39.22799999999999,74.024
"(0.65, 4.5)",42.86599999999999,74.22899999999996
"(0.65, 5.0)",42.44599999999999,74.19500000000001
"(0.65, 5.5)",43.131999999999984,76.142
"(0.65, 6.0)",40.613000000000014,75.92499999999998
"(0.65, 6.5)",45.31200000000001,77.65999999999997
"(0.65, 7.0)",42.273,73.65899999999999
"(0.65, 7.5)",45.199999999999996,76.64
"(0.65, 8.0)",45.307,78.13299999999998
"(0.65, 8.5)",43.075000000000024,75.63699999999999
"(0.65, 9.0)",43.847,76.40299999999999
"(0.65, 9.5)",41.710000000000015,76.35100000000001
"(0.7, 1.0)",57.37500000000001,86.83699999999996
"(0.7, 1.5)",50.84900000000001,85.98199999999999
"(0.7, 2.0)",50.44100000000003,79.77499999999998
"(0.7, 2.5)",46.67399999999998,78.04400000000001
"(0.7, 3.0)",43.48200000000003,72.048
"(0.7, 3.5)",39.532000000000004,76.631
"(0.7, 4.0)",42.746000000000016,72.83600000000001
"(0.7, 4.5)",42.64799999999999,73.04699999999998
"(0.7, 5.0)",38.32200000000002,74.40599999999998
"(0.7, 5.5)",43.83100000000001,74.93500000000002
"(0.7, 6.0)",43.691,74.77900000000001
"(0.7, 6.5)",44.05500000000001,72.42100000000002
"(0.7, 7.0)",40.76600000000003,71.802
"(0.7, 7.5)",45.60100000000002,75.42099999999999
"(0.7, 8.0)",43.92300000000001,77.15599999999996
"(0.7, 8.5)",46.31699999999999,74.00699999999998
"(0.7, 9.0)",46.756999999999984,75.96899999999998
"(0.7, 9.5)",40.440000000000026,72.31699999999996
"(0.75, 1.0)",54.803,82.167
"(0.75, 1.5)",53.63600000000001,86.29599999999999
"(0.75, 2.0)",46.214,83.216
"(0.75, 2.5)",46.187999999999995,75.87500000000001
"(0.75, 3.0)",42.21799999999998,72.37700000000002
"(0.75, 3.5)",40.262,72.53199999999997
"(0.75, 4.0)",40.709,76.66799999999999
"(0.75, 4.5)",41.217999999999996,74.63299999999998
"(0.75, 5.0)",39.673999999999985,75.65199999999996
"(0.75, 5.5)",39.75999999999999,71.13799999999999
"(0.75, 6.0)",42.16400000000002,75.69799999999998
"(0.75, 6.5)",44.343,71.96799999999999
"(0.75, 7.0)",43.30599999999999,75.49799999999998
"(0.75, 7.5)",42.82600000000001,75.42399999999998
"(0.75, 8.0)",44.768,76.47799999999998
"(0.75, 8.5)",43.09,78.35199999999998
"(0.75, 9.0)",43.25500000000001,74.76800000000001
"(0.75, 9.5)",42.69700000000002,73.61500000000001
"(0.8, 1.0)",53.336,86.89000000000001
"(0.8, 1.5)",48.37000000000001,83.86699999999996
"(0.8, 2.0)",49.103,79.20599999999999
"(0.8, 2.5)",42.31299999999999,76.334
"(0.8, 3.0)",39.27799999999999,71.90600000000002
"(0.8, 3.5)",39.227,70.47899999999998
"(0.8, 4.0)",36.949,71.47999999999998
"(0.8, 4.5)",36.67100000000001,74.55400000000002
"(0.8, 5.0)",36.945,77.62199999999997
"(0.8, 5.5)",36.85000000000001,71.338
"(0.8, 6.0)",38.40700000000002,70.781
"(0.8, 6.5)",40.39300000000001,74.737
"(0.8, 7.0)",43.934000000000005,73.56700000000002
"(0.8, 7.5)",41.485,74.73599999999999
"(0.8, 8.0)",45.701000000000015,75.089
"(0.8, 8.5)",47.266999999999996,72.164
"(0.8, 9.0)",44.24500000000002,72.51300000000003
"(0.8, 9.5)",44.371,76.22800000000001
"(0.85, 1.0)",51.908,88.01399999999998
"(0.85, 1.5)",43.704000000000015,84.50899999999997
"(0.85, 2.0)",45.30900000000002,78.88699999999999
"(0.85, 2.5)",39.19399999999998,73.771
"(0.85, 3.0)",39.435,74.16000000000001
"(0.85, 3.5)",36.415000000000006,71.461
"(0.85, 4.0)",34.297000000000004,75.07100000000003
"(0.85, 4.5)",38.63,71.41199999999995
"(0.85, 5.0)",35.05700000000001,72.887
"(0.85, 5.5)",36.510000000000026,75.32399999999998
"(0.85, 6.0)",36.129,69.98599999999998
"(0.85, 6.5)",37.65200000000001,72.42000000000002
"(0.85, 7.0)",42.37000000000001,75.37200000000003
"(0.85, 7.5)",42.50999999999999,76.02
"(0.85, 8.0)",50.905000000000015,74.60799999999998
"(0.85, 8.5)",46.04300000000002,73.896
"(0.85, 9.0)",47.556000000000004,69.769
"(0.85, 9.5)",46.54799999999999,68.41499999999999
"(0.9, 1.0)",49.614000000000004,89.48099999999997
"(0.9, 1.5)",44.24400000000001,85.05199999999998
"(0.9, 2.0)",44.84200000000001,77.247
"(0.9, 2.5)",40.39199999999998,71.16200000000002
"(0.9, 3.0)",40.671,71.713
"(0.9, 3.5)",32.196,69.04199999999999
"(0.9, 4.0)",32.309,77.47199999999997
"(0.9, 4.5)",35.285999999999994,73.53499999999998
"(0.9, 5.0)",33.11000000000002,71.02999999999999
"(0.9, 5.5)",33.148,70.077
"(0.9, 6.0)",36.800999999999995,69.45299999999999
"(0.9, 6.5)",38.39300000000001,73.37599999999999
"(0.9, 7.0)",43.86600000000001,70.47600000000003
"(0.9, 7.5)",47.71500000000001,69.42
"(0.9, 8.0)",48.92100000000001,68.25500000000002
"(0.9, 8.5)",50.845000000000006,66.657
"(0.9, 9.0)",49.86600000000001,62.39399999999997
"(0.9, 9.5)",45.40400000000001,61.979
"(0.95, 1.0)",52.611000000000004,87.86800000000001
"(0.95, 1.5)",39.763999999999996,84.821
"(0.95, 2.0)",41.24299999999999,75.44099999999999
"(0.95, 2.5)",39.331000000000024,73.66800000000002
"(0.95, 3.0)",40.969000000000015,71.47800000000001
"(0.95, 3.5)",36.07900000000001,71.26
"(0.95, 4.0)",30.00299999999999,76.28999999999998
"(0.95, 4.5)",23.803999999999995,67.812
"(0.95, 5.0)",29.312,64.393
"(0.95, 5.5)",34.046,63.39699999999999
"(0.95, 6.0)",40.480999999999995,65.797
"(0.95, 6.5)",43.65500000000001,61.94599999999999
"(0.95, 7.0)",42.39100000000001,59.48500000000001
"(0.95, 7.5)",47.756,57.329999999999984
"(0.95, 8.0)",49.69099999999999,55.49899999999998
"(0.95, 8.5)",52.35799999999997,54.132999999999996
"(0.95, 9.0)",54.54100000000001,50.39499999999999
"(0.95, 9.5)",54.56600000000002,49.79500000000001
