OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
21.9,25.3,59.3,86.4
22.8,31.0,64.8,93.5
23.2,31.3,71.3,95.5
25.0,37.0,78.3,98.7
23.4,39.4,80.7,99.0
25.9,40.1,87.4,99.3
26.3,40.7,90.1,99.5
26.8,40.4,90.8,99.5
27.5,42.0,92.2,99.6
30.7,67.6,93.3,99.6
33.3,43.2,94.6,99.6
35.3,68.7,93.9,99.6
36.9,70.9,95.1,99.6
38.6,75.5,96.0,99.6
38.8,30.1,97.6,99.6
37.6,77.3,97.9,99.6
39.0,77.3,98.5,99.6
39.5,78.3,98.7,99.6
26.8,79.4,98.9,99.6
22.3,27.5,58.9,79.2
23.1,33.6,62.2,91.9
24.8,39.8,69.2,92.4
26.2,45.7,74.0,93.7
26.5,50.8,78.6,96.5
27.8,49.9,84.3,97.9
30.7,55.2,84.7,99.0
33.1,62.0,88.7,99.3
35.8,67.9,90.3,99.3
36.8,68.7,91.2,99.4
39.4,70.4,91.5,99.5
40.5,79.2,92.3,99.5
41.1,79.3,92.1,99.5
41.9,79.8,92.2,99.6
42.5,88.9,92.9,99.6
42.7,79.9,93.4,99.6
43.8,89.4,93.8,99.6
50.0,86.0,94.9,99.6
41.6,78.4,95.2,99.6
22.7,31.2,58.5,76.8
23.9,37.9,60.8,86.5
25.9,46.6,64.0,91.9
27.7,50.7,72.3,93.0
28.2,53.5,76.1,93.3
32.7,55.7,78.9,93.9
34.6,66.1,83.0,95.1
37.8,69.4,80.8,97.8
39.6,70.9,87.1,98.7
40.8,78.9,90.5,99.0
42.2,79.8,90.9,99.2
42.5,80.3,91.4,99.1
43.0,81.3,91.7,99.3
49.6,81.2,91.5,99.4
51.6,82.6,91.9,99.5
54.4,84.8,92.3,99.5
56.4,89.9,92.2,99.5
55.1,89.1,92.5,99.5
52.2,90.2,92.5,99.5
23.2,33.9,71.4,97.0
23.4,42.4,84.7,99.2
26.3,39.8,90.0,99.5
27.5,53.5,92.3,99.6
33.3,69.8,94.7,99.6
36.8,71.1,95.4,99.6
38.8,31.2,97.6,99.6
38.9,79.7,98.5,99.6
26.7,79.9,98.9,97.6
