ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
79.9,91.6
70.7,99.3
72.2,97.8
72.3,97.9
4.2,97.9
56.7,0.7
56.8,96.7
55.8,0.0
3.9,0.0
55.8,0.0
53.6,0.0
53.6,0.0
53.6,0.0
53.6,0.0
53.6,0.0
53.6,0.0
53.6,0.0
53.6,0.0
82.2,91.9
80.9,92.7
70.9,98.6
78.5,98.2
71.7,91.4
75.3,98.8
66.5,98.8
70.0,77.6
67.8,0.1
50.3,96.9
0.7,96.9
50.4,96.9
50.4,97.0
51.6,97.0
51.6,97.0
51.6,97.0
54.2,97.0
53.7,97.0
75.6,93.3
73.0,94.6
76.4,90.4
77.6,83.2
94.1,91.2
79.8,99.1
62.6,99.1
67.8,99.1
66.2,99.1
90.5,99.1
90.5,99.1
93.8,15.0
93.8,97.3
93.9,97.3
93.8,97.3
67.5,97.3
67.4,97.3
67.4,97.3
74.8,93.7
83.3,94.4
72.2,99.2
73.7,86.3
79.5,99.3
78.8,99.1
77.6,99.1
69.4,99.1
72.5,99.1
72.5,99.1
85.8,99.1
84.5,62.6
94.0,62.6
84.6,62.6
84.6,62.6
85.3,62.6
85.3,62.6
74.0,62.6
74.9,94.0
73.0,98.4
69.9,99.1
72.8,98.9
78.9,99.3
77.4,99.4
78.5,99.4
70.7,99.1
74.8,99.1
78.4,99.1
79.0,99.1
84.9,99.1
66.0,99.1
17.3,82.0
83.1,72.9
80.7,72.9
80.6,94.1
78.0,94.1
80.7,93.8
80.9,98.2
60.9,99.1
76.8,99.1
73.2,99.3
77.3,99.4
72.8,99.4
70.5,95.5
68.2,68.8
69.9,69.0
72.4,99.1
84.7,99.1
85.5,99.1
83.6,99.1
65.0,81.2
74.5,81.2
70.1,77.1
61.8,77.1
71.9,94.3
67.2,98.3
80.1,98.9
89.5,99.1
76.7,99.4
75.0,99.4
72.3,95.2
75.4,53.6
62.4,95.6
70.8,95.6
74.6,95.6
70.1,99.5
74.9,99.5
69.1,99.5
69.3,99.5
64.2,99.5
8.3,81.2
67.8,81.2
71.8,93.7
76.1,98.3
84.9,98.8
83.5,99.1
73.2,99.4
75.3,52.5
74.4,52.9
72.5,90.0
73.7,95.5
71.9,95.5
72.4,95.5
59.4,99.5
66.6,97.5
49.3,97.5
65.7,97.5
64.7,70.4
66.1,89.5
68.0,94.1
78.3,94.1
75.3,98.3
82.6,98.8
79.8,99.1
74.0,99.4
72.3,89.7
69.1,54.0
64.8,94.5
74.6,95.5
41.9,99.1
78.3,99.1
84.5,99.1
65.2,99.1
69.8,99.1
65.5,99.1
76.5,99.1
72.8,99.1
59.2,81.2
67.5,94.9
76.7,98.7
87.1,98.8
76.0,99.1
91.2,98.4
45.2,98.4
66.0,94.3
60.0,94.0
52.9,94.0
79.2,99.1
76.4,99.1
41.3,99.1
80.4,99.1
82.6,99.1
67.4,99.1
64.3,99.1
72.8,99.1
74.4,98.2
81.4,95.2
57.5,98.7
69.7,99.0
76.7,99.3
61.0,97.7
95.0,98.0
59.9,93.9
50.8,94.0
50.7,94.0
37.4,99.1
85.6,99.1
44.7,99.1
78.3,99.1
81.3,99.1
81.3,99.1
73.8,99.1
85.5,99.1
81.6,98.2
81.3,95.9
55.9,98.8
55.8,99.0
49.1,99.3
97.4,98.9
96.2,93.6
44.7,96.1
69.2,93.7
43.3,99.1
42.0,99.1
61.3,99.1
81.0,99.1
88.4,99.3
79.2,99.3
75.6,99.3
87.4,99.3
72.1,97.9
72.5,98.2
67.6,95.5
80.1,98.8
79.3,99.0
56.7,55.6
93.7,98.2
77.9,98.3
93.4,96.1
47.4,96.2
71.1,99.1
68.2,94.0
83.6,99.3
80.0,99.3
89.5,99.3
67.6,99.3
94.4,99.3
79.2,99.3
88.0,99.3
79.1,99.3
71.7,98.5
83.0,98.7
88.9,99.1
16.7,42.5
43.9,35.8
96.9,97.8
42.3,95.0
77.7,94.7
44.7,94.7
62.2,99.3
82.6,99.3
84.7,99.3
85.9,99.3
88.9,99.3
88.5,99.3
68.4,99.3
82.0,99.3
86.2,98.4
81.7,98.5
85.8,98.7
63.7,99.3
49.5,98.3
44.0,35.6
84.6,87.0
41.9,94.6
59.1,94.7
76.3,99.3
42.7,99.3
42.8,99.3
91.9,99.3
80.9,99.3
65.2,99.3
77.4,97.3
96.8,97.3
68.5,97.3
70.9,97.3
83.6,98.4
51.7,98.7
88.9,98.9
63.8,98.0
44.9,87.0
41.6,98.8
71.2,96.9
69.0,99.3
53.4,99.3
85.8,99.3
92.8,99.3
78.9,99.3
74.3,97.1
89.9,97.1
71.5,97.1
58.0,99.2
77.6,99.2
90.1,53.8
50.1,98.4
72.2,98.7
42.6,98.9
49.2,98.4
41.5,98.9
45.1,98.8
88.0,99.3
88.3,99.3
75.9,99.3
82.2,99.3
84.2,98.5
93.1,98.7
68.6,98.7
66.2,98.7
90.1,99.0
60.8,98.9
50.8,76.2
35.3,76.2
83.6,98.4
67.9,99.0
81.3,98.4
47.9,98.4
81.1,99.0
36.6,99.3
82.4,99.3
89.9,98.3
84.6,98.4
75.3,98.5
72.4,98.6
89.9,98.6
82.6,98.6
74.0,99.0
68.1,99.0
52.6,99.0
65.9,99.0
71.5,99.0
83.4,98.5
85.6,99.0
43.7,98.3
43.4,98.4
40.4,99.0
59.1,99.3
48.1,99.5
83.9,36.1
77.5,97.5
79.6,98.4
29.4,98.4
29.7,98.5
66.7,98.9
57.8,98.9
58.0,98.9
28.5,99.0
67.7,99.0
67.1,99.0
