OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
20.1,20.9,57.3,74.0
20.3,22.5,61.1,80.4
20.6,26.2,66.7,89.0
20.7,27.9,69.8,90.8
20.9,29.2,74.9,95.5
20.9,30.6,75.4,93.7
21.0,33.2,78.3,96.7
21.8,34.6,78.5,98.1
23.6,36.4,81.2,98.2
23.9,37.5,84.3,98.8
24.2,37.9,87.4,98.5
24.7,38.2,89.4,98.8
25.5,44.2,91.2,99.2
27.2,39.5,87.5,99.2
27.7,44.6,91.4,99.3
28.0,45.4,91.8,99.5
28.4,39.2,93.3,99.5
28.7,39.1,94.4,99.5
29.3,56.0,95.3,99.6
20.1,20.8,56.8,69.9
20.3,21.8,60.6,80.2
20.4,24.3,61.5,86.8
20.6,25.8,69.2,87.6
20.8,28.0,70.5,91.9
20.8,29.4,72.6,92.9
20.9,31.8,77.1,86.4
21.7,33.7,78.4,94.5
21.9,34.9,80.6,95.4
22.5,35.5,82.3,96.2
23.8,36.0,85.1,98.1
23.8,38.6,87.6,98.3
24.0,39.8,82.8,98.3
24.9,38.1,85.5,98.5
26.1,41.4,86.7,99.0
27.0,41.9,87.4,99.1
27.2,46.1,87.5,99.2
27.7,39.8,90.5,99.2
28.2,40.7,91.7,99.2
20.1,20.9,56.8,67.3
20.3,21.7,60.7,81.0
20.6,23.8,63.3,85.8
20.6,25.2,69.6,87.8
20.8,25.7,67.7,88.3
20.9,21.5,75.5,86.3
21.0,24.1,76.8,93.1
21.2,26.6,79.1,90.8
21.9,21.3,81.0,91.1
22.4,24.3,81.9,94.8
23.7,24.9,85.5,95.3
23.7,25.5,87.1,95.7
24.0,36.0,82.5,98.0
24.9,38.2,86.9,98.6
25.3,39.0,88.2,98.9
25.2,39.5,88.1,97.9
25.5,40.4,87.5,95.3
25.9,9.9,88.7,99.1
25.0,9.9,90.5,99.1
20.6,26.4,67.5,90.1
20.9,29.4,75.0,96.6
21.0,33.4,78.4,98.1
23.6,36.6,81.5,98.8
