ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
922.38,952.15
922.54,938.64
768.01,992.12
832.5,987.94
47.35,989.6
14.42,993.84
826.32,993.89
39.4,993.9
309.03,993.91
442.68,999.93
410.67,999.95
144.66,999.96
124.46,999.97
48.13,999.98
48.47,999.98
47.5,999.99
53.22,999.99
53.4,999.99
930.69,984.44
895.71,990.0
956.48,987.35
873.33,819.57
941.3,898.16
965.43,922.71
968.34,923.64
35.7,928.09
932.05,860.78
924.01,940.73
921.61,940.73
438.09,940.73
844.68,940.73
466.3,940.73
465.09,940.73
465.21,940.73
438.87,940.74
463.5,940.74
943.61,980.26
959.45,987.83
872.86,982.72
629.64,992.81
674.28,923.9
561.2,936.37
743.29,936.92
954.23,995.95
823.54,996.56
934.34,722.08
549.0,722.18
933.66,647.54
913.36,647.53
945.32,647.52
961.17,647.51
90.9,647.49
39.86,647.47
45.12,647.45
931.52,985.78
961.57,983.08
964.59,982.44
894.59,954.22
692.27,972.24
537.96,976.13
3.6,990.56
33.12,941.91
160.67,942.35
551.47,943.05
316.27,943.29
912.12,245.75
780.75,997.44
907.5,997.71
911.84,707.71
826.38,707.86
931.86,707.98
759.13,708.07
925.91,986.03
959.46,991.44
969.52,910.25
874.87,975.04
831.11,975.91
665.77,781.25
666.22,766.87
467.56,685.98
305.84,686.66
399.06,714.83
840.88,984.11
652.84,984.41
936.03,782.77
394.5,782.95
476.82,993.74
557.42,993.93
494.78,703.5
594.17,703.58
922.61,985.64
939.45,991.96
958.59,928.38
970.62,979.59
954.17,940.08
817.87,983.61
964.3,710.15
316.57,711.82
623.23,712.36
222.54,642.41
240.56,603.03
563.36,603.47
607.78,461.23
622.54,461.36
854.24,990.85
870.84,778.47
581.97,778.78
396.31,779.05
926.7,986.43
940.7,955.27
942.79,907.56
968.12,980.74
967.76,948.8
948.02,692.62
863.89,715.63
595.0,905.08
432.9,893.5
449.75,872.71
293.56,819.57
236.29,374.89
215.49,201.6
276.47,201.57
274.85,201.54
42.72,201.52
121.68,201.51
119.43,201.49
930.52,688.99
937.32,953.18
946.91,906.33
647.02,981.07
928.71,748.3
960.41,855.76
857.1,933.66
845.12,921.58
878.92,771.4
588.25,686.4
503.38,698.25
215.58,698.74
468.62,902.55
542.14,903.18
37.68,915.38
273.22,915.74
413.52,916.04
41.18,916.3
929.47,976.01
938.08,990.13
953.09,902.37
954.2,946.78
886.08,991.66
956.76,883.11
955.37,799.53
618.92,800.2
363.62,934.06
47.01,927.05
865.1,679.47
635.11,684.27
973.69,684.68
954.94,685.0
123.32,925.96
36.2,926.4
39.47,926.76
37.89,927.07
930.04,982.85
941.49,992.25
932.91,907.97
941.63,886.63
885.59,871.82
950.24,886.4
234.75,803.86
111.67,800.47
43.25,983.15
43.27,822.52
44.34,804.81
120.38,676.96
976.2,726.84
33.86,732.44
600.05,733.01
956.87,904.15
39.5,913.69
46.19,914.07
928.0,984.8
940.67,790.77
13.79,909.89
449.25,897.75
418.57,941.04
631.66,946.16
135.37,945.52
519.96,989.76
619.54,961.0
37.6,951.04
38.2,981.37
44.44,706.39
12.33,926.25
102.48,926.54
36.49,898.61
35.52,899.32
35.19,899.91
539.43,900.4
927.34,987.94
115.19,990.5
40.72,980.98
928.78,883.58
17.84,935.71
446.05,984.08
215.22,929.1
35.52,964.42
35.03,964.97
12.6,612.74
37.48,851.47
12.28,626.17
12.48,632.01
12.08,428.42
507.53,428.42
507.93,870.45
945.16,867.01
100.75,867.51
923.27,988.03
913.31,988.78
848.58,981.86
336.29,928.69
552.84,990.33
37.08,943.47
52.45,936.68
383.86,962.55
33.9,961.68
12.22,829.58
461.53,775.17
855.14,506.74
432.44,992.82
969.43,854.97
438.5,684.99
544.88,685.38
541.26,656.2
520.47,656.5
930.81,985.87
933.3,990.21
918.61,856.96
45.88,978.09
579.47,991.09
772.35,928.03
38.97,976.54
384.82,973.09
396.62,998.76
453.34,786.39
849.68,867.52
455.84,754.53
441.82,980.27
853.2,964.52
459.6,966.63
918.58,970.87
456.89,910.46
833.46,911.04
921.73,986.19
913.48,985.14
23.95,905.37
557.37,978.72
533.89,991.89
17.75,971.43
48.43,931.62
604.07,937.32
53.64,998.85
12.65,864.14
13.02,969.83
413.22,859.26
446.74,752.08
450.12,752.26
467.26,962.94
351.87,752.19
425.38,752.39
748.79,752.57
901.36,987.62
914.01,986.08
39.13,881.11
10.42,978.68
932.41,856.86
538.79,929.48
55.54,929.82
219.94,998.54
12.33,998.93
11.69,978.37
11.91,846.94
11.61,925.03
11.5,782.09
11.51,919.24
780.24,922.62
453.19,730.66
540.14,730.92
437.55,733.91
900.82,991.72
822.92,975.41
26.23,894.64
780.83,903.1
813.2,852.04
860.44,921.27
729.94,921.66
752.18,998.65
11.3,999.02
11.1,999.63
10.79,855.23
92.95,898.51
898.9,715.95
775.23,699.49
739.26,742.9
431.33,709.92
857.72,710.41
964.51,710.85
903.67,986.06
46.53,971.14
16.85,898.18
36.13,852.06
809.81,869.96
749.87,906.13
394.08,998.21
10.03,998.77
10.29,999.11
10.23,999.58
10.25,512.63
10.33,523.29
436.25,499.58
948.62,508.78
922.94,508.93
947.1,508.5
924.56,500.29
769.82,507.29
908.77,987.74
39.98,978.0
15.75,862.4
806.4,855.74
809.97,938.03
844.53,938.98
841.57,998.37
545.33,998.89
548.29,999.2
809.0,999.52
457.41,999.64
236.61,170.46
510.33,157.41
518.53,152.28
562.22,532.12
859.41,159.79
875.94,143.0
846.79,138.2
