OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
19.0,20.3,55.7,72.1
19.3,21.4,55.4,80.3
20.0,25.2,59.1,86.3
20.6,27.2,65.7,89.3
21.6,30.1,70.3,95.1
20.3,32.4,72.5,98.2
20.6,41.2,78.4,98.3
21.1,44.3,79.3,98.5
21.4,44.0,80.6,98.6
21.5,49.6,85.5,98.6
23.9,51.7,85.6,99.4
24.7,53.2,86.9,99.8
25.3,54.7,85.9,99.8
26.0,55.4,87.5,99.9
26.4,30.1,41.3,97.5
27.1,60.9,38.0,97.5
27.6,58.3,41.5,97.5
27.8,32.4,28.9,97.5
28.2,33.1,51.8,97.5
19.2,22.2,55.7,64.2
19.4,21.4,55.3,75.5
20.1,23.4,58.5,83.9
20.7,26.3,59.7,82.9
21.7,27.9,66.5,88.3
22.1,32.1,70.5,90.8
23.4,38.3,72.4,93.3
21.3,42.8,76.9,97.6
21.4,43.5,77.6,98.2
21.5,44.9,79.4,98.4
22.1,51.0,81.7,98.5
24.7,52.0,82.8,99.3
25.5,53.9,83.0,99.4
26.0,34.7,85.9,99.4
26.3,35.0,46.9,97.2
27.2,35.7,51.6,97.3
27.4,30.5,51.1,97.4
27.9,30.8,53.0,97.5
30.1,31.8,52.9,97.6
19.3,22.7,52.6,59.9
20.0,21.8,54.0,65.9
20.5,24.1,55.6,78.0
21.4,25.8,58.5,78.5
22.0,29.2,59.2,84.0
23.2,33.5,60.7,83.9
23.8,41.2,62.0,85.2
24.6,43.3,70.7,89.6
21.5,44.1,72.0,93.1
22.1,48.9,76.6,94.1
22.7,28.8,77.2,97.7
24.3,53.1,78.4,98.3
24.6,54.6,79.1,98.7
26.8,55.5,79.5,99.3
27.1,55.9,61.7,91.5
27.6,60.2,61.1,93.5
28.1,61.3,62.3,97.7
31.7,64.7,63.5,97.3
32.1,65.4,52.2,97.4
20.0,25.2,59.1,88.6
21.6,30.2,70.3,95.0
20.6,41.3,77.4,98.5
21.4,45.3,80.6,98.6
23.9,51.8,85.9,99.4
25.3,54.6,86.1,99.8
26.4,57.7,42.5,97.5
27.6,32.2,41.2,97.5
28.2,56.3,52.1,97.6
30.2,57.9,92.2,97.6
32.3,31.8,93.2,97.6
40.8,32.1,92.6,97.6
41.4,69.5,93.9,97.6
43.9,64.3,93.2,97.4
44.4,66.5,93.8,97.5
49.0,75.2,92.7,97.5
49.4,76.3,93.7,1.0
50.5,34.3,93.8,0.9
52.4,79.5,95.8,0.8
20.1,23.4,58.5,82.3
21.7,28.0,65.7,88.9
23.4,40.2,72.4,96.5
21.4,43.9,77.9,98.2
22.1,51.2,81.7,98.6
25.5,28.9,83.0,99.4
26.4,35.0,47.7,97.3
27.4,31.0,51.8,97.6
30.1,55.7,52.5,97.6
32.2,57.1,55.2,97.6
36.4,51.4,91.1,97.6
41.0,65.0,92.1,97.6
42.2,65.4,91.4,97.6
43.4,66.4,92.2,97.6
44.7,32.5,92.6,97.6
46.0,4.9,92.7,97.6
49.4,51.4,90.4,97.6
51.8,52.9,92.5,97.6
52.4,32.6,94.7,97.6
20.5,24.0,55.6,78.1
22.0,28.1,59.2,84.0
23.8,41.3,61.9,85.3
21.5,43.7,72.0,94.2
