OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
208.44,219.52,540.06,590.08
211.73,212.78,545.33,315.58
213.86,259.34,551.26,222.57
217.91,269.55,566.15,156.94
221.79,224.66,577.4,34.07
223.34,249.09,458.95,27.38
236.59,249.41,431.0,27.53
238.53,357.89,418.02,26.73
247.96,368.02,303.26,6.0
251.87,427.75,326.03,3.91
256.92,495.44,242.19,2.55
268.42,632.41,196.62,1.88
273.59,650.78,228.94,1.45
274.27,680.58,199.4,1.18
284.5,702.48,111.5,0.99
277.93,782.94,90.89,0.86
280.21,830.11,75.71,0.77
312.64,818.12,41.61,0.69
313.8,843.71,38.19,0.64
208.57,216.29,541.6,617.54
211.86,208.84,537.2,426.5
213.3,207.16,567.8,470.3
216.78,199.59,588.17,396.25
220.6,190.23,598.89,199.44
222.39,219.41,558.04,96.54
227.78,246.73,466.36,41.85
230.8,239.63,461.63,40.61
248.52,264.01,447.16,230.17
256.49,291.66,444.96,28.79
264.43,460.04,383.04,34.24
271.27,593.01,370.88,27.83
275.35,655.15,377.86,19.58
243.63,655.61,329.82,8.31
220.41,692.23,351.14,6.31
274.76,762.14,266.9,4.76
231.36,817.37,232.56,3.43
237.41,795.96,87.47,2.29
315.28,827.01,74.6,1.8
209.13,217.53,543.27,597.93
212.43,211.29,546.34,489.88
211.8,191.42,561.68,471.23
214.77,200.26,575.46,521.87
221.12,133.31,584.28,575.92
222.7,210.61,599.0,296.92
228.51,228.84,587.95,311.78
235.93,247.13,495.07,56.04
250.86,278.0,480.12,706.68
256.43,234.51,496.42,698.09
268.86,274.14,464.96,301.44
272.63,263.55,468.37,601.77
271.42,428.87,474.24,552.26
218.78,637.41,514.69,37.84
219.85,686.26,500.61,51.72
309.46,687.89,569.11,35.01
240.09,694.77,550.89,33.02
249.33,495.17,529.41,34.74
246.73,817.71,464.44,17.29
213.94,229.32,552.24,162.94
221.89,215.82,578.85,26.57
236.64,254.6,424.68,20.52
248.03,374.54,302.48,4.48
256.97,598.84,241.33,2.04
