ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
87.5,98.3
91.8,98.4
91.7,99.2
88.9,99.2
89.2,99.0
89.4,99.4
89.5,99.4
92.8,80.6
89.3,80.6
89.3,80.6
91.9,80.6
89.4,74.8
90.0,74.8
90.1,99.6
90.1,99.6
90.1,99.6
90.1,99.6
90.1,99.6
87.4,84.0
92.2,93.3
88.4,92.5
92.7,98.8
92.8,99.0
89.7,99.0
92.7,91.0
93.3,13.0
90.4,13.0
90.5,13.0
90.5,13.0
90.6,13.0
93.4,13.0
95.1,95.3
93.4,95.3
93.5,95.3
94.7,95.3
94.7,95.3
87.5,95.7
91.7,94.0
93.9,83.6
93.4,94.3
92.8,99.3
92.9,99.3
93.6,98.8
93.7,99.5
91.2,99.5
95.4,99.5
94.2,99.5
95.4,99.5
95.4,99.5
94.0,99.5
96.1,99.5
96.1,99.5
96.1,99.5
97.5,99.5
89.0,95.9
92.2,83.1
89.7,93.8
56.3,90.3
93.5,93.8
93.5,10.4
89.4,99.1
93.6,98.2
33.7,98.2
62.0,98.2
93.9,99.5
93.9,99.5
96.3,99.5
96.4,99.5
96.3,95.2
90.8,95.2
90.9,95.2
97.6,95.2
88.3,95.9
92.0,98.3
87.5,92.6
3.3,99.3
89.3,82.3
93.5,92.1
89.3,93.9
58.4,93.9
90.2,89.6
94.2,89.8
94.3,95.2
90.3,95.2
94.4,95.2
91.0,95.2
90.7,95.2
90.6,95.2
94.4,95.2
97.5,95.2
88.2,95.9
92.1,82.6
91.7,92.0
2.6,90.6
54.4,85.1
93.3,89.5
93.5,16.9
93.7,95.1
23.0,12.2
7.3,87.8
3.2,87.8
41.0,94.0
94.4,94.0
96.6,94.5
96.2,94.5
90.2,94.5
62.5,94.5
97.4,94.5
87.6,95.4
91.6,92.1
83.1,96.9
91.4,92.0
93.4,98.7
93.5,83.7
93.5,85.9
94.8,92.3
94.9,92.3
9.6,92.3
36.4,12.2
53.7,87.6
54.1,87.6
26.2,29.7
93.8,29.7
6.8,29.7
96.3,29.7
96.7,29.7
87.1,74.2
90.2,91.9
82.7,80.6
2.8,97.5
2.6,91.0
93.8,81.0
94.3,98.8
3.3,84.1
90.2,94.5
85.8,94.5
3.1,94.1
22.2,67.6
21.1,94.4
3.1,94.4
60.0,94.4
3.0,94.4
54.3,89.4
6.7,89.4
86.6,94.5
91.0,91.5
82.1,93.3
69.8,93.0
87.6,80.5
2.6,81.8
88.6,81.1
92.2,86.4
3.4,71.7
7.5,94.9
9.5,89.6
3.1,80.8
57.2,80.8
57.8,87.2
58.0,87.0
8.5,75.5
7.1,94.4
25.7,94.4
72.9,62.8
91.0,96.3
2.0,71.2
86.7,84.3
87.2,79.5
88.5,87.5
94.2,83.9
87.8,92.0
96.2,91.6
96.6,91.6
96.8,89.4
97.0,94.0
3.1,95.1
57.0,95.1
2.9,95.1
3.1,12.5
8.4,70.3
7.1,73.9
74.2,95.8
90.2,98.6
1.8,71.8
83.1,96.7
87.1,82.5
94.0,92.5
42.6,97.5
96.5,20.1
89.8,22.1
96.2,16.7
96.5,20.5
96.8,73.0
96.9,94.2
97.1,94.2
2.9,94.2
3.0,94.2
3.0,95.1
3.0,95.1
83.0,96.5
90.4,98.5
92.0,92.2
70.7,96.0
38.5,88.5
84.6,56.4
86.2,96.6
87.8,24.8
96.5,58.8
96.0,59.7
88.1,59.7
96.4,9.3
95.7,20.7
96.9,85.5
85.7,81.0
97.6,81.0
92.5,81.0
92.6,83.2
20.7,96.4
25.0,87.5
89.6,92.4
79.9,85.1
81.3,90.6
83.2,89.2
86.0,97.5
84.0,94.8
88.4,83.0
95.0,94.0
91.1,93.1
91.3,89.1
3.6,92.7
94.2,16.0
94.3,24.9
57.0,90.3
7.6,90.3
65.6,92.4
71.9,95.7
22.6,75.1
89.3,94.8
80.8,94.5
93.3,83.3
92.5,86.5
29.0,75.7
84.8,51.4
92.5,63.9
66.3,64.9
95.1,89.6
94.8,36.7
83.5,84.8
73.4,84.8
97.0,99.4
39.3,92.4
40.0,92.4
40.0,24.8
84.2,95.6
59.6,88.8
83.6,92.5
89.8,93.4
39.5,81.3
80.3,84.5
42.6,95.1
80.3,45.7
93.0,22.5
42.9,23.4
50.1,22.6
67.1,11.1
89.9,85.1
68.3,36.7
7.2,36.5
7.2,36.8
40.9,36.7
91.0,71.9
81.8,93.4
1.6,76.3
67.2,94.3
83.1,92.8
84.5,83.6
27.7,87.2
76.8,52.2
67.7,91.6
80.8,90.3
95.9,90.6
96.1,90.6
77.1,99.2
57.8,99.2
57.9,85.4
47.3,37.4
72.8,36.8
68.2,36.8
68.7,76.9
3.0,93.0
87.5,93.4
55.2,93.4
20.6,89.8
19.7,76.5
67.5,51.0
66.9,51.1
57.8,51.0
40.3,90.1
95.2,91.2
88.3,82.9
90.4,86.9
87.1,85.8
96.3,88.2
96.4,84.5
94.9,83.6
84.8,84.3
74.5,83.1
2.5,93.9
79.4,96.5
17.0,96.1
62.8,89.8
4.1,77.9
54.4,4.6
23.9,93.0
76.9,93.2
16.3,81.9
15.7,82.3
35.8,89.8
79.6,90.0
88.7,90.8
91.4,89.0
92.1,88.8
81.1,89.0
81.3,89.2
83.6,89.2
67.4,93.3
84.8,95.4
87.9,86.8
71.9,87.8
5.3,4.6
8.4,4.6
11.5,4.6
12.1,95.8
35.0,90.1
82.2,92.0
79.4,92.4
83.9,92.8
46.4,90.9
82.1,91.2
84.3,91.4
84.4,91.9
84.2,91.9
83.9,93.4
