,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.35, 6.0)",440.9637,795.4466
"(0.35, 6.5)",443.78200000000004,765.5654000000001
"(0.35, 7.0)",447.6843,777.3656
"(0.35, 7.5)",422.4925999999999,774.5127999999995
"(0.35, 8.0)",460.04839999999984,788.1325999999998
"(0.35, 8.5)",431.9894999999999,784.4461999999999
"(0.35, 9.0)",445.3665000000001,768.4493999999997
"(0.35, 9.5)",453.4502,751.8176000000002
"(0.4, 1.0)",622.9313000000001,871.9273999999999
"(0.4, 1.5)",610.2734000000002,852.3143
"(0.4, 2.0)",550.0782,843.3635
"(0.4, 2.5)",507.7973000000001,791.5338999999997
"(0.4, 3.0)",519.4951000000001,784.4298000000002
"(0.4, 3.5)",523.3460000000001,778.8849
"(0.4, 4.0)",514.464,783.7738
"(0.4, 4.5)",509.7936,771.9348000000002
"(0.4, 5.0)",490.25660000000016,799.7558999999998
"(0.4, 5.5)",463.15299999999985,780.1833000000003
"(0.4, 6.0)",443.2748999999999,792.1218000000001
"(0.4, 6.5)",441.8481,787.5869000000002
"(0.4, 7.0)",460.8496000000001,771.9877000000004
"(0.4, 7.5)",433.3759999999999,753.6367999999999
"(0.4, 8.0)",443.16900000000004,762.029
"(0.4, 8.5)",435.71340000000004,771.4618000000002
"(0.4, 9.0)",480.8325000000002,784.7477000000005
"(0.4, 9.5)",437.11410000000006,773.3572000000005
"(0.45, 1.0)",658.7455,862.1193
"(0.45, 1.5)",554.7018999999999,866.3252000000005
"(0.45, 2.0)",569.1636999999997,843.7635000000001
"(0.45, 2.5)",526.2951,817.6208999999999
"(0.45, 3.0)",520.4323999999998,777.6771000000001
"(0.45, 3.5)",562.6390000000002,789.9731
"(0.45, 4.0)",493.11229999999983,768.4445000000001
"(0.45, 4.5)",508.028,811.3308999999998
"(0.45, 5.0)",463.8016,789.7046000000001
"(0.45, 5.5)",443.1042,780.5571000000002
"(0.45, 6.0)",483.9552999999999,755.0961999999998
"(0.45, 6.5)",430.76610000000005,775.9038000000002
"(0.45, 7.0)",456.8721000000001,760.1865999999998
"(0.45, 7.5)",482.7901999999999,784.4758999999999
"(0.45, 8.0)",461.3329,824.6738999999998
"(0.45, 8.5)",476.65790000000015,821.5678000000001
"(0.45, 9.0)",463.54479999999995,816.3329000000002
"(0.45, 9.5)",453.20210000000003,812.6200999999999
"(0.5, 1.0)",628.4690999999997,869.2085000000001
"(0.5, 1.5)",570.1379,836.2336
"(0.5, 2.0)",521.8789999999998,810.5406000000002
"(0.5, 2.5)",563.3343999999998,836.0544
"(0.5, 3.0)",523.4528,775.9802999999998
"(0.5, 3.5)",491.51429999999993,747.8915000000001
"(0.5, 4.0)",442.0624000000001,741.8379000000001
"(0.5, 4.5)",472.44339999999994,780.5206000000001
"(0.5, 5.0)",458.60779999999994,773.965
"(0.5, 5.5)",467.4337000000001,766.2214999999999
"(0.5, 6.0)",458.8188999999998,759.3145999999999
"(0.5, 6.5)",477.99839999999995,752.4897000000001
"(0.5, 7.0)",475.08509999999995,738.5400999999999
