OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
23.3,31.2,59.3,71.8
25.0,38.3,62.2,85.0
26.2,43.4,63.4,96.7
27.1,45.5,67.3,98.2
29.5,53.9,69.1,99.1
33.8,56.3,75.1,99.2
35.2,65.2,81.1,99.4
37.0,67.0,92.4,99.5
38.8,70.7,94.1,99.5
39.5,71.3,95.1,99.5
40.0,74.2,95.5,99.5
40.5,74.7,96.1,99.5
44.9,75.6,97.2,99.5
45.7,76.8,97.6,99.5
52.3,77.3,98.2,99.5
52.9,77.5,97.4,99.6
55.1,81.8,98.3,99.6
53.5,87.4,98.8,99.6
57.0,82.7,99.1,99.6
23.4,31.2,59.2,68.9
25.0,40.3,61.5,81.1
26.5,44.0,63.3,93.1
27.4,49.0,66.5,96.3
30.3,55.5,67.6,97.2
34.1,56.9,72.2,97.2
36.0,72.5,76.4,98.0
37.6,75.7,86.1,99.3
41.4,76.5,90.0,99.4
42.7,77.3,91.5,99.5
44.4,80.1,93.3,99.5
45.6,80.9,94.5,99.5
47.6,78.6,95.0,99.5
50.9,86.5,95.3,99.5
53.0,84.6,94.5,99.6
53.5,87.3,95.2,99.6
56.1,87.5,95.5,99.6
57.4,86.8,95.7,99.6
59.3,87.2,96.1,99.6
23.3,31.2,59.6,69.4
25.0,38.8,61.5,77.3
26.5,44.4,63.3,88.2
27.9,49.5,66.6,93.0
29.8,66.6,68.1,96.4
34.1,71.0,71.6,96.9
36.1,72.5,81.8,97.3
38.0,75.6,83.1,97.7
39.6,76.5,85.0,98.6
43.5,79.2,88.4,99.2
45.3,79.6,90.8,99.3
46.4,80.4,91.3,99.4
48.3,82.2,93.0,99.5
52.4,84.7,88.3,99.3
53.7,86.6,91.6,99.3
56.4,87.3,92.2,99.4
63.4,87.4,92.1,99.4
58.8,88.2,94.1,99.5
70.6,88.3,94.6,99.5
26.2,43.4,63.4,97.1
29.0,53.9,69.6,99.2
35.2,60.6,81.7,99.4
38.8,70.7,94.5,99.5
40.0,74.3,95.5,99.5
44.8,75.9,97.2,99.5
47.9,81.6,98.4,99.5
55.1,82.0,98.3,99.6
57.0,84.6,99.1,99.6
61.3,84.7,99.2,99.6
64.2,75.2,99.5,99.8
69.2,18.2,99.6,99.8
69.5,23.7,99.6,99.8
70.4,24.3,99.7,99.8
73.1,19.8,99.8,99.8
73.5,30.6,99.8,99.8
74.5,19.6,99.8,99.8
75.6,20.3,99.8,99.8
76.4,22.3,99.8,99.8
26.5,43.7,63.3,94.6
30.3,55.4,67.6,97.8
35.9,72.3,76.5,98.2
41.4,76.5,90.1,99.5
44.2,80.1,93.3,99.5
47.6,82.3,95.1,99.5
52.9,87.1,94.5,99.6
56.1,87.6,95.5,99.6
59.3,87.4,96.2,99.6
65.0,87.4,97.2,99.6
74.9,87.5,97.7,99.8
70.7,88.9,98.6,99.8
73.2,88.9,97.5,99.8
73.8,88.8,97.8,99.8
74.3,89.9,98.7,99.8
78.7,92.0,99.0,99.8
76.4,89.9,99.4,99.8
80.3,90.1,99.5,99.8
80.5,30.9,99.5,99.8
26.5,44.1,63.3,88.7
29.8,66.5,68.1,95.9
36.1,72.3,81.8,97.3
39.6,76.3,85.0,99.1
45.3,79.5,90.8,99.3
48.3,82.1,93.0,99.5
53.7,86.3,91.6,99.3
63.4,87.6,91.1,99.4
70.6,88.3,94.6,99.5
74.4,89.4,95.5,99.6
74.9,88.7,95.8,99.8
76.5,89.5,95.9,99.8
77.4,91.1,96.0,99.8
78.5,90.5,97.6,99.8
79.1,92.2,95.2,99.8
79.5,91.2,96.1,99.8
79.1,90.0,95.9,99.8
79.4,92.1,96.1,99.8
82.0,93.5,96.1,99.8
29.0,54.0,68.9,99.3
37.0,69.3,93.4,99.5
40.0,74.5,95.7,99.5
45.7,77.0,98.2,99.5
55.1,82.2,98.7,99.6
57.2,41.8,99.2,99.6
64.1,40.2,99.5,99.8
69.8,23.7,99.6,99.8
70.4,24.6,99.7,99.8
73.3,20.2,99.8,99.8
74.5,19.7,99.8,99.8
76.3,20.5,99.8,99.8
76.5,22.8,99.8,99.8
76.5,23.7,99.9,99.9
76.8,28.3,99.9,99.9
78.7,94.5,99.9,99.9
78.3,30.1,99.9,99.9
68.9,31.3,99.9,99.9
28.9,34.7,99.9,99.9
30.3,55.3,67.3,98.0
37.6,75.5,87.4,99.4
44.2,78.4,93.4,99.5
50.8,83.7,95.6,99.5
55.7,87.6,95.5,99.6
59.8,87.5,96.8,99.6
74.9,88.1,97.7,99.8
70.5,88.5,97.1,99.8
73.8,88.9,97.8,99.8
78.4,20.6,98.9,99.8
76.3,89.9,99.4,99.8
80.0,47.9,99.5,99.8
77.2,93.0,99.6,99.8
77.2,92.9,99.7,99.8
82.5,93.8,99.9,99.9
87.3,94.0,99.9,99.9
87.5,35.3,99.9,99.9
88.2,94.5,99.9,99.9
88.5,94.7,99.9,99.9
29.8,66.1,67.9,95.8
38.0,72.9,83.2,98.3
45.3,79.5,90.8,99.4
51.7,85.0,88.3,99.3
63.4,87.6,91.1,99.5
71.9,88.6,94.7,99.6
74.9,88.8,95.8,99.8
76.7,89.0,95.8,99.8
78.5,92.1,96.6,99.8
78.9,91.1,95.8,99.8
79.0,90.6,95.8,99.8
79.9,91.8,96.2,99.8
86.6,90.4,96.0,99.8
87.2,90.0,97.7,99.8
87.5,91.8,99.6,99.9
87.2,90.4,99.7,99.9
87.4,90.9,99.8,99.9
88.1,91.4,99.8,99.9
88.3,91.1,99.8,99.9
35.2,66.0,79.5,99.4
40.0,74.7,96.2,99.5
47.8,78.1,99.0,99.5
57.0,84.8,99.2,99.6
63.8,39.3,99.5,99.8
69.9,24.2,99.7,99.8
73.1,19.0,99.8,99.8
74.2,20.5,99.8,99.8
76.2,30.9,99.8,99.8
76.5,19.5,99.8,99.8
76.8,29.7,99.9,99.9
78.8,30.0,99.9,99.9
67.4,31.1,99.9,99.9
28.9,36.7,99.9,99.9
35.7,80.8,99.9,99.9
72.6,71.8,99.9,99.9
38.7,65.0,99.9,99.9
38.9,64.1,99.9,99.9
39.5,42.6,99.9,99.9
35.9,72.0,77.4,99.1
44.2,78.8,93.9,99.5
52.9,87.2,94.7,99.6
58.6,87.4,96.2,99.6
75.0,88.9,97.7,99.8
71.2,89.2,97.5,99.8
74.4,89.5,98.7,99.8
76.3,92.7,99.4,99.8
80.5,91.1,99.5,99.8
78.3,90.5,99.6,99.8
82.4,94.0,99.9,99.9
87.3,30.4,99.9,99.9
88.2,95.1,99.9,99.9
88.5,95.1,99.9,99.9
88.5,34.5,99.9,99.9
88.7,35.1,99.9,99.9
88.9,42.6,99.9,99.9
89.3,41.9,99.9,99.9
89.4,43.9,99.9,99.9
36.1,71.9,82.1,97.3
45.3,80.0,91.1,99.4
53.7,85.8,91.6,99.4
66.8,88.4,94.6,99.5
70.7,88.8,95.8,99.8
77.4,90.2,95.9,99.8
78.7,93.1,94.8,99.8
79.0,89.9,96.0,99.8
81.8,92.5,96.3,99.8
82.0,91.8,96.4,99.8
87.5,90.9,99.6,99.9
87.2,94.0,99.7,99.9
88.1,91.7,99.8,99.9
88.4,93.2,99.8,99.9
89.0,94.7,99.9,99.9
88.8,95.5,99.9,99.9
88.7,96.5,99.9,99.9
88.8,96.6,99.9,99.9
89.0,95.6,99.9,99.9
38.7,70.9,95.4,99.5
45.7,77.8,99.0,99.5
56.5,82.5,99.2,99.6
68.9,18.6,99.6,99.8
70.3,25.7,99.8,99.8
73.7,19.3,99.8,99.8
76.4,19.5,99.8,99.8
76.4,24.8,99.9,99.9
78.1,30.5,99.9,99.9
63.5,28.5,99.9,99.9
69.2,42.0,99.9,99.9
35.7,43.0,99.9,99.9
44.2,65.1,99.9,99.9
42.3,62.7,99.9,99.9
39.1,42.0,99.9,99.9
38.9,33.9,99.9,99.9
39.9,44.8,99.9,99.9
86.0,18.6,99.9,99.9
50.6,5.9,99.9,99.9
41.3,76.3,90.9,99.5
49.5,84.8,95.7,99.5
57.7,87.5,96.2,99.6
75.8,89.1,98.6,99.8
73.9,89.7,97.8,99.8
78.9,92.3,99.4,99.8
79.8,89.8,99.5,99.8
80.8,91.8,99.7,99.8
85.8,22.3,99.9,99.9
87.5,94.7,99.9,99.9
88.4,94.3,99.9,99.9
88.6,43.9,99.9,99.9
88.7,80.7,99.9,99.9
89.1,77.8,99.9,99.9
