OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
24.1,27.8,62.6,80.0
24.7,28.1,67.2,86.6
25.3,31.3,70.1,92.0
26.1,36.6,73.8,93.6
26.8,37.6,77.5,98.0
28.4,39.9,78.7,98.6
28.1,50.1,79.5,99.1
30.2,52.0,82.2,99.3
27.6,53.6,83.3,99.5
28.5,54.5,84.8,99.5
28.8,56.7,86.6,99.6
29.6,57.0,89.3,99.6
31.3,57.0,90.3,99.6
32.0,57.7,90.9,99.6
34.2,57.5,92.1,99.6
36.1,58.7,92.4,99.6
36.6,62.9,94.6,99.6
37.0,63.5,95.4,0.2
37.4,65.9,95.9,0.1
24.1,27.1,61.6,76.7
24.6,27.3,66.8,82.1
25.1,29.1,69.4,84.7
25.8,32.8,71.0,90.0
26.7,37.2,74.4,91.8
27.1,39.6,77.4,92.0
25.0,43.9,78.4,94.8
25.1,48.0,80.0,96.2
25.6,49.9,80.2,98.2
27.1,53.4,81.9,98.6
27.1,52.5,82.7,98.9
28.4,53.5,83.3,99.0
29.5,30.0,85.2,99.1
29.5,30.3,86.2,99.2
31.9,29.6,87.3,99.3
33.1,58.1,87.9,99.5
35.6,61.2,88.3,99.5
36.7,59.9,89.8,99.5
37.1,73.8,88.8,0.6
23.9,24.0,60.2,71.8
24.2,25.1,65.0,79.3
24.8,27.5,68.6,81.8
25.3,27.3,69.6,82.6
25.9,28.5,71.6,86.8
26.9,25.7,74.1,89.8
24.7,25.9,77.5,88.5
24.8,14.9,77.4,89.4
24.8,15.0,78.6,88.9
25.2,11.1,80.5,90.2
25.3,15.4,80.5,92.7
24.9,11.4,81.9,91.0
25.0,22.9,82.0,92.7
25.5,19.1,82.8,88.7
28.1,23.5,83.1,89.0
27.3,22.3,82.9,92.4
27.4,22.8,83.1,92.8
30.1,23.5,84.2,94.2
30.4,11.1,83.6,79.5
25.3,31.8,70.5,92.9
26.8,38.0,77.7,98.5
28.1,50.4,79.9,99.3
27.6,53.9,84.0,99.5
28.8,57.0,87.2,99.6
31.3,57.4,90.5,99.6
34.2,58.3,92.2,99.6
36.7,63.2,94.8,99.6
37.4,68.4,95.9,0.1
38.4,66.9,97.0,0.1
40.4,67.0,98.1,0.1
41.4,84.3,98.5,0.1
41.8,68.9,98.8,0.1
53.3,83.7,98.9,0.1
54.3,67.3,99.0,0.1
55.1,67.3,99.3,0.1
56.0,72.7,99.4,0.1
56.8,67.2,99.5,0.1
57.1,86.6,99.5,0.1
25.1,28.8,69.5,86.1
26.7,37.2,74.4,91.9
25.0,46.7,78.4,94.9
25.4,44.9,80.4,98.5
27.1,52.4,82.7,99.0
29.5,28.6,85.2,99.2
31.9,30.7,85.6,99.5
35.6,60.5,87.7,99.5
37.0,78.9,89.7,0.4
38.2,80.7,90.3,0.3
40.5,81.4,91.3,0.2
40.0,83.3,91.9,0.2
41.1,83.2,93.9,0.2
42.1,80.6,95.3,0.2
45.1,80.9,95.7,0.2
48.0,89.6,95.5,0.1
52.4,85.5,96.7,0.1
52.9,73.2,98.0,0.1
55.8,82.4,98.4,0.1
24.8,27.5,68.7,83.3
25.9,28.5,71.6,89.2
24.7,26.0,77.6,86.5
24.8,14.9,78.6,89.1
25.3,11.8,80.5,88.4
25.0,22.8,82.0,93.2
28.1,26.4,82.4,92.0
27.4,47.0,83.1,93.9
30.4,55.8,83.6,84.1
31.0,25.3,87.7,51.2
25.2,25.2,89.7,83.3
25.8,4.6,91.3,5.3
26.5,41.8,90.8,16.3
26.8,24.0,92.9,27.9
35.1,23.8,91.8,3.8
37.4,2.9,87.8,79.5
15.0,47.7,90.5,81.2
14.3,2.9,89.5,0.7
39.8,2.2,87.6,0.8
26.8,38.1,78.3,99.0
30.2,52.9,83.1,99.5
28.8,57.5,87.3,99.6
32.0,58.1,91.9,99.6
36.7,61.0,95.1,99.6
37.9,66.7,97.0,0.1
40.4,67.4,98.2,0.1
41.6,68.4,98.8,0.1
53.3,67.6,99.0,0.1
54.8,85.6,99.3,0.1
55.9,72.7,99.5,0.1
56.9,86.3,99.5,0.1
58.4,74.6,99.5,0.1
59.7,19.4,99.6,0.1
60.6,34.7,99.6,0.1
62.7,34.8,99.6,0.1
62.9,49.0,99.6,0.1
63.8,65.1,99.6,0.1
64.3,65.6,99.6,0.1
26.7,37.4,74.7,90.4
25.1,48.2,80.3,98.3
27.2,52.8,82.8,99.1
29.5,29.6,86.9,99.5
35.6,60.7,89.8,99.6
37.6,80.1,90.2,0.3
40.5,81.6,91.7,0.2
40.6,83.5,93.3,0.2
42.1,80.7,95.4,0.2
45.3,89.6,95.0,0.1
52.4,82.0,96.7,0.1
55.0,82.4,98.1,0.1
56.4,85.5,98.5,0.1
56.8,85.7,98.6,0.1
28.7,85.9,98.8,0.1
59.8,74.3,99.1,0.1
61.2,74.6,99.2,0.1
61.7,81.7,99.3,0.1
61.9,82.3,99.4,0.1
25.9,29.2,71.9,90.0
24.8,14.8,77.4,89.7
25.3,11.3,80.5,90.0
26.0,16.8,82.8,89.2
27.4,47.0,83.7,94.2
36.7,23.3,87.4,83.1
25.3,4.7,89.9,79.7
26.1,25.2,92.6,5.3
32.3,2.8,92.9,63.5
