OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
21.0,24.3,57.1,79.7
21.9,28.0,59.5,88.3
22.2,32.3,61.7,94.4
23.5,36.0,65.4,98.3
24.3,20.6,69.7,99.7
25.2,35.6,73.3,99.8
27.2,54.2,78.2,99.8
27.9,56.8,82.6,99.8
29.5,57.5,84.6,99.8
29.6,58.0,87.2,99.9
28.4,59.2,90.3,99.9
34.5,60.7,90.5,99.9
34.8,59.1,94.3,99.9
35.5,63.1,95.2,99.9
35.8,51.0,95.2,99.9
20.7,64.2,96.5,99.9
20.7,64.4,96.8,99.9
31.5,48.1,97.3,99.9
33.2,44.4,98.0,99.9
21.0,24.3,56.8,76.4
21.9,28.0,60.2,84.0
22.1,31.8,61.4,88.1
23.4,35.8,64.2,95.3
24.1,31.2,67.4,98.5
24.4,35.6,70.1,99.4
27.1,53.5,77.3,99.7
27.9,57.7,78.1,99.7
29.4,67.7,80.2,99.8
28.9,67.0,82.5,99.8
30.8,69.4,83.7,99.8
34.7,59.0,86.4,99.9
35.2,59.3,90.7,99.9
35.1,65.4,92.3,99.9
36.0,68.7,92.8,99.9
36.8,69.3,93.9,99.9
32.3,55.5,94.4,99.9
33.0,70.5,94.4,99.9
34.6,66.1,95.6,99.9
21.0,24.2,56.8,73.6
21.9,27.9,60.3,78.9
22.1,31.0,61.2,86.7
22.6,31.7,62.5,92.4
24.0,36.9,65.3,94.6
24.4,32.6,69.0,97.0
26.8,37.2,75.7,98.5
28.3,63.2,77.3,98.9
28.5,57.6,78.1,99.6
30.0,81.9,78.0,99.7
28.4,77.8,80.0,98.3
30.6,78.1,81.4,98.7
28.5,84.1,87.3,99.0
33.3,85.3,88.5,99.2
34.6,86.3,91.5,99.7
35.6,96.3,90.0,99.7
36.2,96.8,91.8,99.8
37.0,97.0,92.8,99.8
46.6,97.1,93.0,99.8
22.2,31.7,61.7,95.6
24.3,28.3,69.9,99.8
27.1,54.1,79.6,99.8
29.5,57.5,85.4,99.8
28.4,59.2,89.7,99.9
34.8,60.0,94.4,99.9
35.8,63.7,96.2,99.9
20.7,64.6,96.8,99.9
33.1,45.2,98.0,99.9
49.2,52.6,99.3,99.9
49.9,9.7,99.7,99.9
55.7,22.6,99.8,99.9
40.2,79.7,99.8,99.9
55.6,80.7,99.9,99.9
14.6,2.8,99.9,99.9
15.0,3.6,99.9,99.9
40.2,5.7,99.9,99.9
39.8,5.7,99.9,99.9
12.9,6.0,99.9,99.9
22.1,31.8,61.4,89.1
24.1,31.9,67.6,99.0
27.1,53.1,77.4,99.7
29.1,67.5,80.2,99.8
30.7,70.6,83.8,99.9
35.2,68.7,90.8,99.9
36.0,52.4,92.8,99.9
32.3,69.8,94.5,99.9
34.6,70.4,95.6,99.9
35.5,87.3,96.4,99.9
54.6,87.0,98.1,99.9
51.0,96.4,98.9,99.9
51.2,97.1,99.5,99.9
56.8,97.5,99.9,99.9
57.5,3.0,99.9,99.9
58.1,96.8,97.1,99.9
39.9,95.9,97.2,99.9
40.2,87.3,99.6,99.9
42.1,97.8,99.6,99.9
22.1,30.9,61.2,87.6
24.0,36.9,65.3,94.8
26.8,37.1,75.7,98.6
28.5,57.2,78.1,99.6
28.4,71.7,80.0,98.6
28.5,84.1,87.5,99.0
34.5,94.6,91.6,99.7
36.2,96.8,91.9,99.8
46.5,97.1,93.1,99.8
35.6,97.2,94.8,99.9
36.6,97.3,95.8,99.9
61.0,97.5,96.7,99.9
61.8,98.5,97.0,99.9
56.6,97.7,99.4,99.9
57.1,98.0,99.6,99.9
57.6,98.6,99.8,99.9
58.2,98.6,95.6,99.9
58.6,98.7,95.9,99.9
44.5,98.7,96.4,99.9
24.2,29.2,70.6,99.8
27.9,57.9,82.8,99.8
28.4,59.3,90.0,99.9
35.2,63.3,94.9,99.9
20.7,56.8,97.3,99.9
33.1,67.6,98.4,99.9
49.9,8.7,99.7,99.9
56.2,22.5,99.8,99.9
55.6,23.7,99.9,99.9
15.0,2.8,99.9,99.9
40.1,5.6,99.9,99.9
58.5,6.1,99.9,99.9
10.9,3.3,99.9,99.9
38.7,3.3,99.9,99.9
48.4,3.2,99.9,99.9
49.7,6.4,99.9,99.9
11.0,4.0,99.9,99.9
10.6,4.5,99.9,99.9
11.1,3.8,100.0,100.0
24.1,29.6,67.8,99.4
27.9,63.3,78.1,99.8
30.7,70.6,83.9,99.9
34.8,72.8,91.9,99.9
33.2,54.3,95.1,99.9
34.4,87.0,96.2,99.9
54.7,95.6,98.1,99.9
56.1,97.1,99.3,99.9
56.8,97.6,99.9,99.9
57.9,89.4,99.9,99.9
40.1,88.8,97.2,99.9
40.3,93.5,99.6,99.9
40.8,98.4,99.8,99.9
62.3,98.4,99.8,99.9
12.0,98.6,99.9,99.9
10.6,98.7,99.9,99.9
10.2,98.7,99.9,99.9
10.2,98.8,99.9,99.9
10.0,98.9,99.9,99.9
24.0,36.9,65.3,96.5
28.3,62.2,77.8,99.6
28.4,72.7,80.1,98.7
33.3,85.0,89.6,99.7
36.2,96.8,89.6,99.8
33.9,97.2,94.0,99.9
36.5,97.4,95.8,99.9
62.2,97.8,96.8,99.9
56.5,97.8,99.4,99.9
57.4,98.5,99.6,99.9
58.2,98.7,92.3,99.9
58.7,98.8,96.3,99.9
59.5,98.9,96.0,99.9
60.2,99.0,97.6,99.9
60.7,99.1,97.5,99.9
82.0,99.1,98.8,99.9
78.6,99.1,99.0,99.9
91.2,98.9,99.3,99.9
91.4,98.8,99.4,99.9
27.1,53.9,80.1,99.8
28.4,59.6,89.8,99.9
35.7,64.2,96.7,99.9
33.1,53.5,98.3,99.9
49.9,8.1,99.8,99.9
40.0,80.3,99.8,99.9
14.6,2.7,99.9,99.9
40.2,5.6,99.9,99.9
10.8,5.9,99.9,99.9
38.5,3.3,99.9,99.9
42.2,4.9,99.9,99.9
44.3,4.6,99.9,99.9
43.1,67.9,99.9,99.9
10.8,6.4,99.9,99.9
9.6,6.7,100.0,100.0
5.2,6.4,100.0,100.0
3.6,5.0,100.0,100.0
4.7,6.4,100.0,100.0
5.3,7.0,100.0,100.0
27.1,52.7,78.0,99.8
30.7,69.4,86.0,99.9
36.0,85.2,93.5,99.9
34.6,86.7,95.8,99.9
54.7,93.6,98.4,99.9
51.1,97.1,99.5,99.9
57.3,95.7,99.9,99.9
40.0,97.3,97.7,99.9
41.8,98.4,99.7,99.9
61.3,98.5,99.8,99.9
12.1,98.7,99.9,99.9
10.9,98.7,99.9,99.9
10.2,98.9,99.9,99.9
10.1,98.9,99.9,99.9
9.5,99.0,100.0,100.0
9.6,99.0,100.0,100.0
51.3,99.0,100.0,100.0
6.0,98.5,100.0,100.0
3.4,98.5,100.0,100.0
26.8,36.8,75.7,99.1
28.4,71.5,80.4,98.8
34.5,94.6,89.4,99.8
46.5,97.2,93.7,99.9
36.5,97.4,94.9,99.9
62.3,98.5,97.1,99.9
56.9,98.5,99.6,99.9
58.2,98.7,92.3,99.9
19.8,98.9,96.4,99.9
59.3,99.0,96.2,99.9
60.9,99.1,98.6,99.9
82.6,99.1,98.8,99.9
90.0,98.9,99.2,99.9
91.3,98.8,99.4,99.9
52.6,98.8,99.7,99.9
97.5,98.8,99.8,99.9
97.8,98.9,100.0,100.0
98.0,98.3,100.0,100.0
98.1,98.3,100.0,100.0
29.5,65.0,87.6,99.8
34.6,63.3,96.6,99.9
33.2,68.2,98.6,99.9
51.7,78.9,99.8,99.9
