OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
20.1,21.8,60.5,79.4
20.1,22.7,62.3,88.6
20.0,23.8,63.9,92.6
20.1,19.4,71.4,94.8
21.1,30.5,76.4,97.5
21.8,31.1,80.3,98.5
21.8,35.7,77.6,98.9
22.1,36.3,84.7,99.3
22.4,37.1,87.5,99.6
22.5,37.4,88.7,99.7
23.2,41.8,85.2,99.9
23.5,48.0,92.2,99.9
24.2,49.3,92.7,99.9
24.4,46.4,92.5,100.0
24.6,46.6,93.6,100.0
24.7,60.7,95.2,100.0
19.4,79.2,96.2,100.0
30.6,81.2,96.8,100.0
30.9,81.4,97.0,100.0
20.1,21.4,60.5,77.5
20.1,20.8,62.1,71.8
20.0,17.9,63.3,85.5
20.1,18.0,69.4,86.4
21.1,29.9,73.6,89.2
21.6,31.2,78.0,94.0
21.7,31.7,80.4,96.9
21.4,35.0,76.8,97.2
21.4,36.2,83.6,98.4
20.7,38.1,85.6,99.0
20.6,29.1,87.3,98.1
20.6,38.9,84.3,98.5
18.0,29.2,88.2,99.2
17.9,42.0,89.1,99.3
17.9,28.3,86.0,99.5
17.7,34.2,89.0,99.7
17.9,34.4,91.9,100.0
29.7,34.1,88.4,100.0
30.3,81.0,92.1,100.0
20.4,21.4,60.8,74.1
20.1,20.4,61.9,70.8
20.4,17.7,63.3,85.5
20.2,17.2,68.6,84.1
21.1,26.5,73.4,85.0
21.5,18.4,76.7,86.6
21.6,18.5,80.2,86.3
21.4,18.6,69.2,91.8
21.4,21.6,80.7,93.0
20.5,10.7,83.9,95.5
20.5,11.4,83.6,97.2
20.5,13.4,85.6,97.6
17.7,9.7,88.0,96.0
17.6,10.8,87.5,97.2
17.5,9.1,85.8,97.6
17.4,9.1,85.9,97.9
26.1,9.1,88.8,99.0
26.2,3.7,84.8,99.1
26.5,11.3,85.8,82.9
20.0,24.3,63.9,92.6
21.1,30.7,76.5,98.0
21.8,35.9,77.5,99.0
22.4,38.1,87.7,99.7
23.2,43.4,91.1,99.9
24.2,41.9,93.0,100.0
24.6,46.3,94.1,100.0
19.4,80.2,96.1,100.0
30.9,82.3,97.0,100.0
31.1,45.0,97.8,100.0
31.5,84.7,98.2,100.0
32.0,85.0,98.7,100.0
35.8,85.3,98.9,100.0
36.1,85.6,99.1,100.0
36.2,85.7,99.5,100.0
37.4,85.8,99.5,100.0
37.9,87.2,99.8,100.0
39.2,85.7,99.9,100.0
40.2,85.4,99.9,100.0
20.0,18.0,63.3,86.0
21.1,30.1,73.7,90.0
21.7,31.8,80.4,96.1
21.4,36.5,83.7,98.5
20.6,38.7,87.3,98.1
18.0,29.6,89.0,99.2
17.9,45.3,86.0,99.6
17.9,33.5,91.9,100.0
30.3,77.7,92.1,100.0
30.4,21.1,93.3,100.0
30.8,82.4,94.7,100.0
31.4,82.5,95.7,100.0
31.7,87.0,96.9,100.0
35.6,85.2,97.0,100.0
36.3,85.1,97.8,100.0
36.9,85.8,98.5,100.0
37.8,84.8,98.6,100.0
27.4,65.5,97.6,100.0
38.5,73.5,98.0,100.0
20.4,17.7,63.3,85.9
21.1,26.6,73.4,85.0
21.6,18.5,80.2,85.9
21.4,19.4,80.7,94.8
20.5,10.8,85.0,97.2
17.7,9.6,88.0,95.7
17.5,9.7,85.8,97.5
26.1,9.1,88.2,99.0
26.5,11.3,85.8,81.6
27.5,5.8,85.2,82.0
27.9,11.0,91.5,87.9
17.7,3.8,85.4,99.9
17.9,3.6,89.1,99.9
17.9,3.1,92.8,100.0
18.6,75.3,93.1,100.0
18.1,2.4,94.4,100.0
18.1,2.4,95.5,100.0
18.8,2.4,95.7,100.0
18.8,2.3,97.4,100.0
21.1,31.0,76.7,98.5
22.1,36.7,85.0,99.7
23.3,50.6,88.5,99.9
24.5,46.6,92.8,100.0
19.4,80.9,96.6,100.0
31.0,45.0,97.7,100.0
31.5,84.8,98.3,100.0
35.4,85.0,98.9,100.0
36.1,85.6,99.1,100.0
37.1,85.9,99.5,100.0
37.9,85.3,99.8,100.0
38.5,85.5,99.9,100.0
40.2,86.9,99.9,100.0
50.0,88.4,100.0,100.0
50.4,87.5,100.0,100.0
50.6,73.9,100.0,100.0
51.0,55.2,100.0,100.0
59.9,75.1,100.0,100.0
51.3,51.3,100.0,100.0
21.1,30.2,73.8,92.9
21.4,35.9,76.8,97.6
20.6,38.7,87.3,98.4
18.0,28.4,89.1,99.4
17.9,33.8,91.7,100.0
30.3,21.3,92.5,100.0
30.8,85.1,94.7,100.0
34.1,87.1,96.6,100.0
35.5,87.0,97.0,100.0
36.6,85.8,98.2,100.0
37.8,84.8,98.6,100.0
27.3,64.9,97.6,100.0
29.5,90.7,98.6,100.0
29.5,95.1,98.7,100.0
30.3,38.6,99.2,100.0
41.6,18.9,99.2,100.0
31.4,20.6,100.0,100.0
32.4,20.5,100.0,100.0
33.5,21.4,100.0,100.0
21.1,26.6,73.4,85.5
21.4,19.3,68.8,90.9
20.5,9.8,84.9,97.1
17.6,9.7,86.3,96.0
26.1,3.6,88.1,98.9
27.1,10.5,91.7,79.0
27.8,6.0,89.6,80.6
18.3,3.6,85.8,99.9
17.9,2.8,90.5,99.9
18.0,2.8,94.3,100.0
18.1,2.3,95.3,100.0
18.7,2.2,96.1,100.0
18.9,2.1,97.6,100.0
10.6,2.0,94.9,100.0
10.6,2.1,96.1,100.0
11.4,11.0,96.5,100.0
9.9,14.3,97.8,100.0
9.3,12.1,98.1,100.0
9.3,14.6,98.9,100.0
21.9,36.3,70.2,99.6
23.0,45.3,91.3,99.9
24.7,78.5,95.1,100.0
30.8,84.3,97.2,100.0
31.5,84.9,98.6,100.0
35.4,85.7,98.9,100.0
36.3,85.9,99.5,100.0
37.9,86.0,99.9,100.0
40.3,86.5,99.9,100.0
49.1,74.0,100.0,100.0
50.4,73.9,100.0,100.0
50.6,78.8,100.0,100.0
59.8,75.2,100.0,100.0
51.2,67.2,100.0,100.0
63.4,79.6,100.0,100.0
49.6,58.4,100.0,100.0
84.6,78.9,100.0,100.0
84.9,79.4,100.0,100.0
85.3,78.8,100.0,100.0
21.7,35.0,80.2,97.2
20.6,38.9,87.3,98.5
17.9,44.4,85.4,99.8
30.3,82.6,89.9,100.0
30.7,83.2,94.7,100.0
31.7,87.6,96.8,100.0
36.2,85.6,97.8,100.0
37.1,84.5,98.5,100.0
38.5,94.9,97.7,100.0
29.6,95.2,98.6,100.0
30.3,38.2,99.2,100.0
42.0,19.7,100.0,100.0
31.7,20.9,100.0,100.0
33.5,21.7,100.0,100.0
33.3,96.8,100.0,100.0
33.9,96.8,100.0,100.0
36.6,96.9,100.0,100.0
48.2,97.0,100.0,100.0
46.4,97.0,100.0,100.0
21.6,18.6,80.2,83.8
20.5,13.7,84.8,97.0
17.6,9.1,85.7,96.1
26.5,11.0,85.7,79.3
27.8,4.7,89.5,79.9
17.9,10.8,89.4,99.9
18.6,15.2,93.1,100.0
18.1,2.2,95.1,100.0
18.8,2.2,96.3,100.0
10.5,2.0,98.4,100.0
10.7,2.1,96.0,100.0
13.5,14.2,96.5,100.0
10.0,14.3,97.9,100.0
9.3,14.7,98.7,100.0
9.8,17.0,87.6,100.0
9.0,4.0,84.0,100.0
7.9,19.3,95.0,100.0
7.5,19.6,99.8,100.0
6.1,19.8,99.8,100.0
22.4,39.5,88.7,99.9
24.5,46.5,93.9,100.0
30.8,84.6,97.7,100.0
31.7,85.0,98.7,100.0
36.1,85.9,99.5,100.0
37.6,86.1,99.8,100.0
39.2,87.8,99.9,100.0
49.2,53.4,100.0,100.0
50.4,78.9,100.0,100.0
59.5,51.3,100.0,100.0
50.4,55.6,100.0,100.0
50.7,71.4,100.0,100.0
84.2,80.5,100.0,100.0
84.8,79.2,100.0,100.0
85.4,78.7,100.0,100.0
85.4,79.4,100.0,100.0
47.7,79.6,100.0,100.0
47.9,79.4,100.0,100.0
80.3,80.9,100.0,100.0
21.4,38.1,84.1,96.9
18.0,45.3,89.1,99.6
30.3,84.0,89.9,100.0
31.1,84.1,95.0,100.0
35.5,85.0,96.8,100.0
36.9,84.9,98.5,100.0
38.5,94.8,97.6,100.0
29.5,95.3,98.6,100.0
30.3,19.4,99.2,100.0
44.4,21.1,100.0,100.0
32.8,21.2,100.0,100.0
33.3,96.8,100.0,100.0
47.3,97.0,100.0,100.0
58.2,97.0,100.0,100.0
46.4,97.0,100.0,100.0
63.8,97.0,100.0,100.0
40.4,97.0,100.0,100.0
23.2,97.1,100.0,100.0
12.6,97.1,100.0,100.0
21.4,12.3,69.6,92.9
17.6,9.2,86.2,94.9
26.5,10.2,85.0,99.0
28.1,18.8,90.8,99.2
17.9,11.9,89.5,99.9
18.1,2.2,94.0,100.0
18.8,2.1,96.9,100.0
10.6,1.9,94.8,100.0
10.7,11.0,95.9,100.0
9.7,14.9,97.8,100.0
9.3,15.3,98.7,100.0
9.4,18.5,82.9,100.0
8.4,2.8,83.6,100.0
7.9,19.4,99.4,100.0
6.1,2.2,99.8,100.0
9.0,18.8,99.8,100.0
2.0,0.2,100.0,100.0
2.0,0.2,100.0,100.0
11.2,35.3,100.0,100.0
23.4,46.0,92.5,100.0
19.4,44.7,97.0,100.0
31.6,86.8,98.8,100.0
36.1,86.2,99.5,100.0
37.9,86.8,99.9,100.0
40.6,78.0,99.9,100.0
50.2,78.8,100.0,100.0
59.6,89.9,100.0,100.0
50.4,72.8,100.0,100.0
63.5,80.6,100.0,100.0
84.6,94.2,100.0,100.0
85.0,79.1,100.0,100.0
85.4,79.4,100.0,100.0
47.7,79.4,100.0,100.0
48.0,80.9,100.0,100.0
48.4,82.2,100.0,100.0
87.7,82.6,100.0,100.0
89.0,82.7,100.0,100.0
87.0,84.7,100.0,100.0
20.6,29.5,87.4,98.8
18.0,58.4,84.4,100.0
30.8,84.7,94.4,100.0
35.5,85.5,96.7,100.0
37.0,86.2,98.5,100.0
28.1,95.2,97.7,100.0
30.3,19.8,99.2,100.0
31.4,21.0,100.0,100.0
33.4,94.3,100.0,100.0
33.4,96.9,100.0,100.0
36.1,97.0,100.0,100.0
58.0,97.0,100.0,100.0
58.9,97.0,100.0,100.0
40.4,97.0,100.0,100.0
15.9,97.1,100.0,100.0
12.2,97.1,100.0,100.0
86.8,97.1,100.0,100.0
94.2,97.1,100.0,100.0
66.1,97.2,100.0,100.0
20.5,11.3,84.5,95.8
26.1,3.1,85.6,97.9
27.8,4.7,89.2,74.8
17.9,2.7,89.6,99.9
18.1,2.1,94.0,100.0
18.6,2.1,96.3,100.0
9.8,2.0,94.5,100.0
9.9,2.6,97.2,100.0
9.3,14.6,98.6,100.0
9.4,17.2,81.8,100.0
9.7,18.6,82.3,100.0
7.5,2.6,99.4,100.0
2.3,19.4,99.8,100.0
2.0,0.2,100.0,100.0
11.3,0.2,100.0,100.0
9.1,32.6,100.0,100.0
10.1,0.2,100.0,100.0
21.8,21.7,100.0,100.0
2.0,25.3,100.0,100.0
24.3,46.2,93.0,100.0
31.1,83.3,97.3,100.0
34.6,85.9,99.0,100.0
37.7,86.7,99.9,100.0
41.0,48.2,99.9,100.0
50.3,52.2,100.0,100.0
51.1,56.7,100.0,100.0
64.4,56.7,100.0,100.0
84.5,94.2,100.0,100.0
85.0,79.5,100.0,100.0
85.4,79.6,100.0,100.0
47.6,79.7,100.0,100.0
48.3,80.2,100.0,100.0
85.9,82.7,100.0,100.0
87.9,82.9,100.0,100.0
89.1,78.2,100.0,100.0
89.2,92.8,100.0,100.0
88.7,80.3,100.0,100.0
93.1,80.4,100.0,100.0
18.0,43.8,85.0,99.6
30.3,84.1,91.7,100.0
34.4,85.8,96.6,100.0
36.7,86.3,98.5,100.0
28.1,95.3,97.6,100.0
30.4,20.1,99.2,100.0
31.0,15.4,100.0,100.0
32.9,96.9,100.0,100.0
47.3,97.0,100.0,100.0
60.7,97.0,100.0,100.0
58.9,97.0,100.0,100.0
38.7,97.0,100.0,100.0
12.5,97.1,100.0,100.0
86.6,97.1,100.0,100.0
94.1,97.2,100.0,100.0
94.1,97.2,100.0,100.0
94.3,97.2,100.0,100.0
65.4,97.2,100.0,100.0
65.8,97.2,100.0,100.0
17.8,9.6,84.8,97.9
27.0,5.5,84.9,73.9
17.9,2.5,83.9,99.8
18.2,2.1,92.4,99.9
18.9,2.0,96.7,100.0
10.7,2.9,94.8,100.0
9.9,3.2,97.2,100.0
9.5,17.7,98.6,100.0
8.4,2.4,80.8,100.0
9.9,3.5,98.8,100.0
2.3,0.2,99.8,100.0
1.9,20.2,99.8,100.0
11.3,32.4,100.0,100.0
12.4,0.2,100.0,100.0
20.0,21.6,100.0,100.0
2.1,29.6,100.0,100.0
14.3,0.1,100.0,100.0
2.0,41.0,100.0,100.0
1.9,49.9,0.2,0.2
24.7,80.8,96.9,100.0
31.5,85.4,98.9,100.0
37.0,87.8,99.7,100.0
40.3,77.5,99.9,100.0
49.4,79.0,100.0,100.0
51.0,56.1,100.0,100.0
50.5,56.3,100.0,100.0
84.6,78.8,100.0,100.0
85.1,79.7,100.0,100.0
47.6,79.6,100.0,100.0
48.8,79.9,100.0,100.0
49.4,82.7,100.0,100.0
87.9,63.7,100.0,100.0
89.1,92.8,100.0,100.0
89.3,80.3,100.0,100.0
88.6,80.5,100.0,100.0
93.2,92.7,100.0,100.0
89.0,93.3,100.0,100.0
88.5,93.4,100.0,100.0
17.9,18.6,89.5,100.0
30.8,87.0,94.4,100.0
36.2,92.8,97.5,100.0
38.5,95.2,96.6,100.0
30.3,20.1,98.9,100.0
31.0,20.8,100.0,100.0
33.2,97.0,100.0,100.0
36.5,97.0,100.0,100.0
46.3,97.0,100.0,100.0
40.2,97.0,100.0,100.0
15.9,97.1,100.0,100.0
10.2,97.1,100.0,100.0
94.0,97.2,100.0,100.0
87.2,97.2,100.0,100.0
94.4,97.2,100.0,100.0
87.7,97.2,100.0,100.0
95.4,97.2,100.0,100.0
67.1,97.2,100.0,100.0
93.2,97.2,100.0,100.0
17.6,4.9,88.6,81.7
27.6,18.7,83.9,77.8
18.0,3.9,89.6,99.8
18.8,1.9,95.4,100.0
9.9,1.5,94.1,100.0
9.9,2.5,96.0,100.0
9.4,18.0,98.6,100.0
9.3,18.6,82.2,100.0
2.4,0.2,98.8,100.0
2.0,0.2,99.8,100.0
11.2,0.2,99.8,100.0
12.3,0.2,100.0,100.0
20.6,0.2,100.0,100.0
2.0,0.1,100.0,100.0
2.1,0.1,100.0,100.0
2.0,0.1,100.0,100.0
1.9,0.1,0.2,0.2
1.8,0.1,0.2,0.2
1.9,0.1,0.2,0.2
19.4,46.1,97.8,100.0
35.3,86.3,99.3,100.0
38.0,94.1,99.9,100.0
49.0,51.6,100.0,100.0
59.4,58.8,100.0,100.0
50.6,94.2,100.0,100.0
84.5,79.4,100.0,100.0
85.1,93.5,100.0,100.0
47.4,80.3,100.0,100.0
48.4,83.1,100.0,100.0
87.8,82.8,100.0,100.0
87.5,80.1,100.0,100.0
88.7,92.2,100.0,100.0
88.4,92.7,100.0,100.0
87.3,92.4,100.0,100.0
88.8,92.4,100.0,100.0
93.4,92.4,100.0,100.0
91.7,92.4,100.0,100.0
93.4,92.4,100.0,100.0
18.0,18.3,85.3,100.0
31.4,84.6,95.6,100.0
36.9,95.0,98.5,100.0
29.6,19.7,97.6,100.0
31.3,18.7,100.0,100.0
32.9,97.0,100.0,100.0
36.5,97.0,100.0,100.0
58.1,22.6,100.0,100.0
40.4,97.1,100.0,100.0
12.5,97.1,100.0,100.0
86.5,97.2,100.0,100.0
86.6,97.2,100.0,100.0
94.3,97.2,100.0,100.0
87.8,97.2,100.0,100.0
95.4,97.2,100.0,100.0
65.2,97.2,100.0,100.0
93.3,97.2,100.0,100.0
93.3,97.2,100.0,100.0
93.4,97.2,100.0,100.0
26.1,3.0,84.9,81.9
18.4,2.4,88.9,84.0
18.1,1.9,90.5,99.8
11.0,1.6,95.9,100.0
10.6,3.9,94.2,100.0
9.9,14.9,96.2,100.0
9.3,1.8,81.2,100.0
2.4,0.2,98.4,100.0
1.9,0.2,99.6,100.0
11.2,0.2,99.8,100.0
9.8,0.2,100.0,100.0
2.1,0.1,100.0,100.0
2.1,0.1,100.0,100.0
2.0,0.1,100.0,100.0
1.9,0.1,0.2,0.2
1.8,0.1,0.2,0.2
1.8,0.1,0.2,0.2
1.8,0.2,0.2,0.2
1.8,0.2,0.2,0.2
31.0,85.2,98.0,100.0
36.1,87.9,99.7,100.0
40.4,93.3,99.9,100.0
50.6,55.8,100.0,100.0
50.4,78.6,100.0,100.0
84.1,79.4,100.0,100.0
85.1,93.6,100.0,100.0
47.6,79.4,100.0,100.0
48.6,82.7,100.0,100.0
87.9,80.0,100.0,100.0
87.9,79.9,100.0,100.0
89.3,92.4,100.0,100.0
93.2,92.4,100.0,100.0
93.3,92.4,100.0,100.0
93.4,92.4,100.0,100.0
91.7,92.4,100.0,100.0
89.9,92.4,100.0,100.0
89.5,92.4,100.0,100.0
89.7,91.6,100.0,100.0
30.2,84.4,86.4,100.0
35.4,86.2,95.7,100.0
38.4,4.6,95.1,100.0
30.4,18.0,98.8,100.0
45.2,96.3,100.0,100.0
56.6,97.0,100.0,100.0
47.8,97.0,100.0,100.0
44.7,97.1,100.0,100.0
12.5,97.1,100.0,100.0
86.9,97.2,100.0,100.0
94.3,97.2,100.0,100.0
86.6,97.2,100.0,100.0
86.9,97.2,100.0,100.0
65.5,97.2,100.0,100.0
92.4,97.2,100.0,100.0
93.3,97.2,100.0,100.0
95.8,97.2,100.0,100.0
95.9,97.2,100.0,100.0
95.4,0.5,100.0,100.0
26.5,5.5,85.3,96.1
18.5,1.9,82.5,77.9
18.7,2.0,92.4,99.8
11.1,14.0,97.4,100.0
9.3,2.1,95.5,100.0
8.9,1.8,98.6,100.0
2.4,0.2,98.1,100.0
1.9,0.2,99.4,100.0
11.1,0.2,99.8,100.0
2.2,0.2,100.0,100.0
2.1,0.1,100.0,100.0
2.0,0.1,100.0,100.0
1.9,0.1,0.2,0.2
1.8,0.1,0.2,0.2
2.0,0.1,0.2,0.2
1.7,0.2,0.2,0.2
1.7,0.2,0.2,0.2
1.7,0.2,0.2,0.2
2.0,0.2,0.2,0.2
31.1,85.5,98.8,100.0
37.2,54.1,99.9,100.0
48.9,53.3,100.0,100.0
51.0,57.6,100.0,100.0
48.4,79.0,100.0,100.0
84.7,93.6,100.0,100.0
46.7,82.5,100.0,100.0
47.8,83.3,100.0,100.0
87.9,79.9,100.0,100.0
87.9,92.4,100.0,100.0
93.0,92.4,100.0,100.0
81.9,92.4,100.0,100.0
93.4,92.4,100.0,100.0
93.5,92.4,100.0,100.0
93.4,92.4,100.0,100.0
89.3,91.6,100.0,100.0
