ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
57.9,99.7
53.0,99.8
57.4,99.9
64.7,99.9
70.3,99.9
70.2,99.9
70.8,100.0
70.9,100.0
70.9,100.0
70.9,100.0
70.9,100.0
73.7,100.0
73.7,100.0
73.7,100.0
73.7,100.0
73.7,100.0
73.7,100.0
73.7,100.0
64.9,98.9
59.2,99.7
47.0,99.5
52.0,99.7
55.3,99.9
55.3,99.9
57.2,99.9
69.7,99.9
69.8,98.8
70.6,99.2
70.6,99.2
70.6,99.2
73.1,99.2
70.7,99.2
70.7,99.2
70.7,99.2
70.8,99.2
70.8,99.2
56.3,99.2
65.6,99.4
53.9,91.0
1.0,99.8
65.3,99.2
68.1,98.4
56.2,99.9
48.6,99.9
63.6,99.9
57.8,96.8
61.7,89.5
59.7,89.5
61.2,1.3
68.7,1.3
68.9,1.3
69.7,1.3
75.9,1.3
73.9,1.3
70.7,99.0
45.6,99.4
65.1,81.8
1.0,96.2
67.6,98.3
53.5,89.6
64.7,98.4
57.5,99.9
61.0,99.9
56.4,99.9
49.9,99.9
64.8,99.9
62.8,88.1
56.0,88.1
60.0,98.4
63.7,98.4
61.1,97.2
49.3,97.2
56.7,99.0
46.7,91.8
51.6,99.2
19.1,70.7
20.4,86.1
57.8,89.8
65.4,92.2
27.5,87.0
70.9,65.2
69.4,87.1
59.0,99.9
56.3,99.9
44.8,99.9
46.3,99.9
60.0,99.9
58.3,80.0
59.4,80.0
39.0,80.0
65.2,92.1
6.6,98.1
54.7,99.6
48.7,99.7
33.3,50.6
53.4,92.0
38.9,90.5
28.6,88.5
11.6,88.5
58.0,88.5
57.5,88.5
23.0,96.0
59.5,96.0
55.8,96.0
55.8,97.2
39.2,99.9
46.5,99.9
38.2,99.9
52.4,90.7
6.1,94.8
9.1,99.6
44.7,40.5
1.1,99.8
0.8,90.8
49.0,88.0
44.4,88.0
26.6,88.5
0.9,88.6
55.7,93.9
49.6,94.6
58.1,94.6
40.4,94.6
23.4,94.6
53.2,94.6
70.2,94.6
64.5,94.6
10.2,97.1
6.1,99.4
36.0,99.6
19.3,95.7
38.1,99.7
16.8,99.8
38.8,84.4
42.2,84.4
0.8,52.8
23.3,64.5
45.1,94.6
21.7,94.4
20.9,95.2
5.2,95.2
0.6,95.2
10.9,88.0
74.2,88.0
56.3,88.0
5.1,89.0
6.5,99.4
23.6,99.5
58.4,98.5
0.7,89.6
19.2,99.8
51.0,99.8
31.9,95.1
15.3,56.7
22.6,72.0
28.5,72.0
13.1,78.4
33.6,88.0
13.9,88.0
18.3,88.0
0.6,88.0
73.0,88.0
73.3,88.0
52.1,94.7
36.4,99.4
7.9,99.5
1.2,99.7
0.8,99.2
23.3,99.2
39.8,99.8
35.6,99.8
36.2,99.8
31.9,76.5
24.3,57.8
24.0,57.3
36.4,57.3
26.8,57.3
44.5,33.5
0.6,33.5
71.2,88.0
82.5,88.0
51.8,90.6
7.9,99.4
37.3,99.5
1.1,99.7
0.9,47.4
36.3,98.5
37.7,98.7
27.6,98.8
50.1,99.8
44.8,99.8
39.2,99.8
34.8,30.1
20.6,36.0
22.3,35.5
28.7,35.5
0.5,35.5
73.0,35.5
70.1,35.5
46.6,96.2
5.8,99.3
31.1,99.5
1.0,99.7
0.8,98.3
28.2,98.0
30.4,97.9
18.4,98.0
35.4,97.3
31.3,98.5
53.7,99.8
37.6,99.8
36.0,99.8
34.9,99.8
0.5,99.8
0.6,35.5
70.8,35.5
0.4,35.5
53.8,93.3
24.5,99.4
1.5,99.5
0.8,99.7
40.3,97.8
42.5,97.9
0.8,97.9
34.7,97.5
49.5,97.6
44.2,97.6
37.9,97.6
0.6,99.0
21.2,99.0
3.3,99.0
0.5,99.0
0.5,99.0
39.7,99.0
1.0,99.8
31.6,90.1
26.9,99.0
23.9,99.4
31.5,99.6
33.8,99.8
32.1,99.6
23.3,99.3
31.4,99.4
0.5,99.4
24.7,99.4
22.8,99.4
0.5,99.4
0.6,30.2
0.5,97.7
0.5,97.7
0.6,97.7
47.4,97.7
27.1,99.0
22.7,98.2
7.6,97.8
0.8,99.5
21.9,99.6
26.8,99.8
48.4,87.6
52.0,99.6
0.6,99.7
50.7,99.7
38.8,99.7
18.1,99.7
0.5,99.7
0.5,99.7
0.5,81.0
0.2,81.0
0.2,81.1
39.9,39.4
0.3,45.0
31.7,94.2
22.0,97.7
29.5,98.8
24.8,99.5
36.4,99.8
9.1,99.9
0.5,99.2
48.1,99.3
54.5,99.3
31.4,71.4
25.5,80.6
0.6,75.3
0.5,75.9
0.2,88.5
0.2,88.5
0.2,35.8
0.2,35.8
18.2,58.9
30.0,90.0
3.9,95.2
36.2,98.7
22.2,99.5
36.2,99.8
18.7,99.9
20.5,82.2
0.6,82.1
8.9,82.9
29.2,79.5
0.6,72.2
0.6,39.9
0.2,40.7
0.2,92.5
0.2,92.5
14.0,92.5
0.2,92.5
4.3,62.6
25.0,94.7
17.1,91.1
0.7,98.3
24.2,99.5
39.5,99.8
2.5,99.9
0.6,65.1
1.0,78.6
43.7,79.1
0.5,79.4
0.5,80.8
0.2,81.1
0.2,80.5
0.2,79.7
0.2,80.5
0.4,27.9
0.2,22.8
0.2,22.8
3.7,93.4
6.4,93.4
0.7,93.5
0.6,98.6
27.1,99.7
35.4,99.9
0.8,99.9
2.0,69.9
0.5,68.3
0.5,69.5
0.2,59.2
0.2,32.7
0.2,19.6
0.2,19.3
0.4,19.8
58.0,19.5
0.2,19.1
0.2,19.1
