OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
200.55,204.51,563.58,635.17
200.33,213.12,576.21,709.68
202.32,225.35,612.21,751.58
203.82,199.01,568.31,368.02
203.62,217.74,585.52,109.37
204.88,107.63,570.07,44.4
207.61,91.08,560.72,20.55
209.85,98.19,595.28,12.67
241.29,413.33,600.72,8.92
245.73,429.05,574.88,5.06
251.03,530.01,388.12,4.15
256.77,493.29,105.21,3.15
261.61,563.75,88.23,2.86
264.27,473.71,22.45,2.27
272.73,520.45,544.54,5.75
279.8,95.83,462.8,4.21
282.03,546.79,468.59,3.92
287.3,92.3,698.65,3.86
308.95,593.52,708.06,3.62
200.43,203.66,563.6,636.54
200.18,212.61,573.82,707.26
202.42,218.93,574.73,661.42
202.81,168.49,579.21,634.98
201.85,186.64,581.29,454.14
204.25,89.47,592.03,491.41
205.39,81.37,587.73,344.45
232.67,366.71,595.04,314.74
239.19,405.23,613.11,43.53
244.7,92.51,624.19,31.05
250.98,118.53,602.78,10.51
256.98,92.39,410.74,4.65
258.42,89.75,409.77,3.81
264.45,96.57,100.76,2.58
278.72,101.92,772.17,54.66
283.36,42.3,752.89,43.66
283.03,96.11,778.2,15.23
306.93,100.23,781.06,13.16
316.19,96.93,790.9,10.87
199.03,201.47,561.05,640.25
200.81,211.19,587.14,709.46
200.58,164.39,577.6,707.34
200.12,167.73,564.57,667.48
199.97,87.19,591.58,784.75
202.0,55.38,620.68,713.71
206.15,49.99,648.2,738.81
234.31,84.66,667.52,761.15
240.06,83.63,687.81,764.92
242.2,51.69,659.9,639.17
251.08,49.5,627.05,534.91
254.93,48.77,645.4,11.63
254.86,42.22,410.66,4.01
264.37,45.32,397.7,3.28
265.69,33.44,764.6,669.08
268.33,37.61,779.15,639.48
280.43,18.73,781.1,105.45
283.96,15.18,798.36,77.31
286.99,15.98,789.95,68.46
202.38,232.24,613.4,767.24
203.71,226.63,586.52,83.81
207.68,99.51,562.24,14.72
241.32,416.31,599.97,5.49
251.04,476.57,388.46,3.74
261.64,571.38,87.76,2.76
272.7,102.38,542.3,4.31
281.98,98.4,432.3,3.93
305.9,623.03,713.57,3.49
360.1,623.63,35.09,2.92
337.31,785.36,17.4,2.77
367.62,709.47,8.58,2.63
414.03,86.27,6.54,2.5
393.43,20.36,3.38,1.96
474.84,815.14,2.79,1.85
408.35,25.69,2.38,1.75
451.71,810.08,2.07,1.65
445.53,25.87,1.85,1.56
543.12,845.99,1.09,1.05
202.46,224.57,574.84,661.46
201.9,187.7,581.46,463.42
205.43,84.33,588.03,348.86
239.17,115.25,613.47,38.53
250.96,96.61,603.35,9.45
258.36,96.58,410.94,3.54
278.65,100.97,772.9,47.61
282.94,99.65,778.94,15.06
317.36,111.64,789.22,10.81
321.45,96.88,350.05,3.58
376.88,62.22,155.4,3.1
396.38,56.27,266.33,2.79
368.36,12.33,9.85,2.05
387.92,97.99,7.28,1.93
407.54,11.2,5.48,1.81
413.55,17.63,4.27,1.71
445.77,10.8,3.4,1.62
453.34,9.62,1.67,1.09
464.87,17.31,1.42,1.03
200.59,165.13,577.6,726.77
199.99,84.44,591.37,787.61
206.17,48.39,647.92,759.69
240.02,57.5,687.5,776.26
251.0,49.24,620.95,537.37
254.81,42.34,404.64,3.86
265.59,38.29,763.9,680.16
281.14,17.89,780.89,144.82
286.83,3.13,789.72,71.99
315.6,11.77,789.84,6.91
297.93,4.3,798.04,5.1
342.85,3.14,165.6,2.51
369.05,3.63,36.88,2.2
405.76,2.67,28.24,1.98
408.67,2.24,25.82,1.81
413.95,2.18,13.89,1.68
431.81,2.17,5.09,1.12
336.17,1.79,3.98,1.05
90.85,1.26,3.11,0.99
203.74,227.23,588.16,60.7
208.55,91.63,595.33,8.23
251.05,479.16,384.23,3.74
264.28,103.91,16.67,2.24
281.88,573.35,435.85,3.78
344.52,621.35,236.28,3.26
337.33,708.95,16.77,2.76
395.98,69.97,7.2,2.56
393.46,20.87,3.3,1.96
485.2,788.22,2.52,1.8
449.69,23.65,2.05,1.65
467.41,15.47,1.13,1.08
468.94,872.55,1.01,0.99
608.45,12.92,0.92,0.91
673.06,8.19,0.84,0.83
604.95,875.16,0.77,0.77
755.1,762.1,0.71,0.71
761.79,905.2,0.66,0.66
766.62,896.71,0.71,0.71
201.99,196.97,581.85,470.17
232.67,369.02,595.43,69.2
250.86,92.88,605.31,8.47
270.0,97.74,102.7,2.41
282.08,37.78,780.15,14.05
322.81,13.33,782.19,4.72
377.05,40.58,164.63,3.05
399.84,16.39,254.76,2.65
408.09,21.78,7.34,1.93
409.93,16.21,4.89,1.76
441.62,10.08,3.43,1.62
463.31,16.79,1.54,1.06
477.21,10.89,1.24,0.97
469.21,8.65,1.04,0.89
594.71,7.4,0.9,0.82
556.7,5.29,0.8,0.75
104.97,5.76,0.72,0.69
96.02,4.11,0.89,0.75
104.92,6.0,0.78,0.69
199.89,84.92,591.01,790.32
232.64,83.16,666.75,779.14
250.86,45.78,620.67,548.89
264.1,34.74,364.15,4.12
280.54,14.41,780.23,228.38
277.96,2.78,719.24,8.81
297.76,4.0,797.79,5.21
347.15,1.66,69.44,2.36
405.61,2.58,29.83,1.99
412.26,2.32,21.76,1.75
431.58,1.85,5.46,1.12
337.08,1.36,3.65,1.02
88.41,1.07,2.54,0.93
94.55,0.83,1.87,0.85
87.56,0.72,1.43,0.78
89.38,0.57,1.13,0.72
50.45,0.38,0.92,0.66
49.38,0.35,2.4,0.72
92.94,0.38,1.86,0.66
207.66,97.13,569.71,9.7
251.07,458.94,382.6,3.48
272.64,102.74,560.17,4.16
305.79,639.75,713.43,3.34
337.1,653.79,17.42,2.76
411.44,85.94,6.15,2.5
474.35,786.59,2.66,1.85
449.1,810.31,2.02,1.66
490.86,872.36,1.08,1.05
591.11,873.66,0.95,0.94
672.19,878.02,0.84,0.84
608.96,879.45,0.75,0.75
758.87,894.26,0.67,0.67
766.89,898.01,0.71,0.71
636.58,23.04,0.64,0.63
787.3,38.84,0.57,0.57
714.58,917.97,0.51,0.51
806.01,940.02,0.46,0.46
790.5,29.35,0.41,0.41
205.59,51.81,589.19,369.36
250.56,90.97,607.4,7.45
274.28,96.27,739.54,21.12
316.15,15.44,775.83,5.13
376.01,62.03,339.81,3.01
368.29,19.97,10.06,2.05
400.01,23.44,5.58,1.82
440.22,9.68,3.46,1.62
473.46,8.58,1.43,1.03
474.79,9.4,1.1,0.92
482.83,8.64,0.9,0.82
579.72,5.21,0.77,0.73
97.37,1.0,0.68,0.66
105.63,4.22,0.79,0.69
92.89,0.83,0.67,0.62
599.31,0.77,0.58,0.55
91.58,0.7,0.51,0.5
815.39,920.04,0.45,0.44
817.92,912.87,0.41,0.4
206.26,47.05,646.8,786.58
250.66,47.29,620.27,555.5
265.22,31.67,762.81,696.83
286.08,2.85,793.3,122.83
297.26,3.66,785.8,5.42
367.93,2.89,45.34,2.24
408.14,2.27,26.09,1.83
430.06,1.82,3.38,1.12
90.5,1.12,3.36,0.99
90.62,0.82,2.15,0.88
89.31,0.63,1.48,0.78
92.04,0.46,1.08,0.7
47.03,0.35,2.88,0.74
92.77,0.37,2.0,0.66
74.19,0.33,1.45,0.59
45.21,0.29,1.08,0.52
802.73,6.13,0.83,0.47
802.4,1.32,0.65,0.42
803.63,7.44,0.53,0.38
241.57,437.53,618.75,3.99
263.48,103.41,14.76,2.23
305.6,637.49,758.66,3.3
374.53,659.01,13.67,2.69
408.9,781.46,3.07,1.96
434.81,16.57,2.1,1.71
471.43,873.69,1.08,1.05
602.27,877.86,0.92,0.91
573.15,876.14,0.79,0.79
757.27,842.91,0.69,0.69
766.4,22.27,0.72,0.71
793.42,21.11,0.62,0.62
97.5,21.09,0.54,0.54
803.79,26.96,0.47,0.47
789.91,30.56,0.41,0.41
821.97,933.44,0.36,0.36
822.09,941.38,0.32,0.32
828.09,943.78,0.28,0.28
819.91,942.89,0.25,0.25
239.1,90.17,613.12,20.7
269.69,94.59,105.74,2.33
316.91,15.99,778.07,5.01
378.28,37.64,192.92,2.85
384.19,12.97,7.56,1.93
415.61,17.77,3.94,1.67
463.46,10.5,1.43,1.03
472.25,7.61,1.04,0.89
583.8,5.13,0.83,0.77
103.34,4.55,0.7,0.68
104.6,1.06,0.8,0.69
562.35,0.84,0.65,0.6
26.57,0.59,0.55,0.52
811.37,919.95,0.47,0.46
818.87,917.28,0.41,0.4
812.6,29.27,0.36,0.35
811.93,30.43,0.31,0.31
826.16,28.58,0.27,0.27
822.53,29.11,0.24,0.24
239.68,51.39,685.7,713.74
261.38,37.48,369.88,4.09
285.6,2.77,792.57,249.91
298.18,1.93,788.0,5.04
406.07,1.97,33.09,2.03
419.33,1.82,14.37,1.64
90.55,1.23,3.61,0.99
87.72,0.75,2.05,0.85
94.08,0.54,1.31,0.74
49.8,0.36,3.55,0.77
92.57,0.36,2.21,0.66
47.84,0.31,1.48,0.57
812.42,1.39,1.03,0.5
802.1,1.07,0.74,0.43
802.42,1.07,0.56,0.38
771.48,0.72,0.44,0.33
782.31,0.62,0.35,0.29
805.83,0.5,0.29,0.26
815.06,0.42,0.25,0.23
250.96,541.88,384.42,3.18
281.35,116.3,470.06,3.54
339.39,655.07,16.96,2.76
407.27,18.96,2.95,1.97
451.79,11.61,1.95,1.66
458.8,874.23,1.01,0.99
673.06,871.62,0.84,0.84
754.79,913.02,0.71,0.71
763.67,20.44,0.72,0.71
776.07,915.82,0.6,0.6
652.45,918.06,0.51,0.51
801.96,941.64,0.44,0.44
817.74,930.72,0.37,0.37
819.53,943.92,0.32,0.32
829.44,940.43,0.28,0.28
827.85,893.97,0.24,0.24
878.98,943.76,0.21,0.21
838.26,939.23,0.18,0.18
894.33,940.17,0.68,0.68
249.2,86.45,605.69,6.36
282.18,93.9,756.74,13.54
372.96,41.62,351.48,2.98
381.02,8.81,7.92,1.93
434.94,14.51,3.58,1.63
472.25,7.92,1.25,0.97
479.28,4.56,0.91,0.82
101.68,3.95,0.72,0.7
103.92,0.91,0.81,0.7
98.77,0.67,0.63,0.59
92.05,0.49,0.52,0.5
816.45,940.29,0.43,0.42
826.0,919.2,0.37,0.36
822.72,28.05,0.31,0.31
825.28,26.61,0.27,0.27
822.18,912.32,0.23,0.23
881.04,908.14,0.2,0.2
901.98,936.15,0.17,0.17
847.74,936.97,0.7,0.7
248.84,47.49,612.26,582.09
279.19,9.31,780.02,674.69
296.45,8.32,787.2,6.42
403.89,2.38,36.84,2.08
419.44,1.48,3.77,1.13
87.89,0.84,3.06,0.94
96.22,0.58,1.65,0.78
47.42,0.37,1.02,0.66
92.5,0.36,2.49,0.66
47.12,0.3,1.54,0.56
801.7,0.98,1.0,0.47
809.57,0.89,0.68,0.4
809.59,0.92,0.49,0.34
829.52,0.49,0.37,0.29
807.32,0.4,0.29,0.25
809.73,0.32,0.24,0.22
853.97,905.31,0.2,0.19
829.06,10.36,0.17,0.16
842.48,10.24,0.76,0.75
261.55,98.97,61.59,2.62
316.08,56.05,298.68,3.14
371.27,15.71,5.32,2.51
415.07,11.81,2.02,1.72
456.22,789.14,1.01,0.99
673.46,873.35,0.82,0.82
759.86,911.25,0.68,0.68
98.22,918.69,0.66,0.66
614.91,919.41,0.54,0.54
803.04,929.3,0.45,0.45
816.03,908.77,0.38,0.37
812.68,932.01,0.31,0.31
831.71,943.88,0.26,0.26
839.54,857.04,0.22,0.22
889.93,940.27,0.19,0.19
856.37,939.18,0.69,0.69
840.34,940.32,0.66,0.66
844.32,940.54,0.64,0.64
843.92,926.36,0.62,0.62
257.65,86.63,412.68,3.39
318.65,19.27,773.68,4.41
400.05,8.31,9.94,2.06
415.33,15.82,4.13,1.68
462.73,7.44,1.26,0.98
579.38,1.21,0.87,0.8
91.49,0.67,0.68,0.66
99.14,0.65,0.73,0.64
29.57,0.48,0.56,0.53
809.45,923.18,0.45,0.44
825.07,911.82,0.37,0.36
814.38,27.84,0.31,0.3
865.25,922.53,0.26,0.26
866.92,935.58,0.22,0.22
901.35,935.34,0.18,0.18
903.93,936.74,0.71,0.71
881.35,936.91,0.68,0.68
856.08,937.04,0.66,0.66
893.19,934.8,0.65,0.65
254.59,38.86,439.8,3.68
281.53,2.21,791.14,262.88
356.53,2.26,92.99,2.45
417.11,1.52,26.24,1.68
93.33,0.82,3.34,0.94
88.45,0.51,1.63,0.76
48.63,0.35,4.26,0.75
49.1,0.32,2.25,0.61
805.6,1.12,1.31,0.5
803.48,0.76,0.81,0.41
768.58,0.67,0.54,0.34
785.61,0.43,0.38,0.29
812.6,0.33,0.29,0.24
815.63,917.93,0.22,0.2
827.77,910.06,0.18,0.17
849.11,10.89,0.77,0.75
854.58,10.8,0.74,0.73
853.05,11.54,0.71,0.71
878.06,11.45,0.7,0.69
269.75,105.78,567.26,3.78
335.84,83.77,13.04,2.77
469.89,823.96,2.36,1.87
534.31,799.12,1.07,1.06
568.49,806.91,0.84,0.84
687.47,913.83,0.68,0.68
97.3,927.15,0.64,0.64
650.99,917.3,0.52,0.52
