OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
230.45,341.86,512.53,527.48
246.23,477.88,515.31,480.05
262.81,540.56,520.87,575.54
280.79,646.46,527.75,480.55
311.83,690.99,534.77,406.36
338.05,705.07,530.14,280.65
364.6,745.5,547.2,161.54
414.17,778.09,488.65,159.36
456.51,784.33,467.88,157.39
482.8,795.75,670.93,794.0
520.25,809.97,684.73,835.11
584.31,813.98,675.23,380.63
600.67,860.91,687.2,502.48
623.3,866.97,688.95,386.94
610.02,865.31,696.68,388.09
654.83,869.42,684.06,99.05
678.23,869.99,681.33,234.22
686.43,877.62,654.57,70.48
688.69,883.01,634.96,59.6
229.93,337.99,526.37,601.98
244.63,478.02,545.51,640.12
262.55,559.47,563.34,656.07
280.71,653.71,579.23,648.78
311.58,695.71,598.52,723.81
343.48,727.86,614.61,721.75
367.25,760.16,631.81,605.95
421.84,771.37,636.93,414.52
456.6,796.28,641.03,651.67
499.43,849.39,707.94,881.81
492.56,857.39,720.66,924.66
513.33,861.42,716.3,923.14
576.68,869.42,734.31,934.09
597.35,870.52,746.95,942.06
619.92,878.86,740.55,925.69
664.46,881.12,787.09,896.05
685.15,882.36,772.99,924.63
687.61,371.27,786.33,926.53
694.48,894.37,780.64,752.36
230.06,338.81,534.49,617.75
245.03,454.4,558.12,649.5
263.31,580.07,580.23,675.32
281.94,657.62,601.54,683.03
312.9,705.1,616.63,710.15
344.21,731.11,630.26,700.07
370.51,756.02,658.59,715.09
395.81,771.69,668.15,716.8
454.81,839.71,662.87,710.84
480.54,846.72,677.32,723.27
496.41,856.62,739.04,901.53
537.26,862.64,735.68,919.86
582.13,871.14,758.44,931.0
607.76,873.34,776.58,925.61
657.19,879.38,788.57,933.73
665.26,889.1,793.64,942.73
687.75,878.43,780.07,946.67
692.84,879.32,800.74,928.08
695.66,892.25,807.24,930.49
262.83,541.78,521.42,541.99
311.84,693.66,537.52,394.84
364.63,749.04,548.17,171.12
456.58,784.11,444.62,132.42
520.35,808.8,682.59,390.7
603.07,863.29,681.15,417.6
610.05,865.02,696.21,103.3
678.25,875.94,687.92,73.08
688.66,892.92,686.53,66.62
702.1,905.32,687.53,59.39
716.47,884.17,760.01,76.66
729.96,913.59,784.91,50.19
748.95,913.81,996.22,997.3
768.74,917.91,996.58,997.39
765.5,918.62,996.84,997.46
769.87,923.34,997.02,997.53
787.06,922.36,997.17,997.59
800.55,910.59,997.28,997.65
809.11,919.65,997.37,997.71
262.88,576.86,563.55,667.4
311.55,695.87,598.82,723.05
367.24,760.96,632.21,413.63
456.41,795.7,641.46,444.1
492.59,859.18,714.15,923.62
576.84,869.88,734.81,944.14
619.97,879.3,741.16,835.69
685.18,886.28,774.37,812.71
694.79,894.91,781.42,767.92
711.99,923.54,731.13,527.1
733.14,914.95,778.38,492.29
763.46,917.24,797.33,493.91
771.92,916.99,990.7,997.24
772.57,917.55,992.68,997.33
775.41,914.57,994.17,997.4
796.82,925.02,995.13,997.47
800.48,931.32,995.82,997.54
832.66,940.05,996.32,997.6
836.75,955.66,996.68,997.65
263.29,571.32,580.11,692.77
312.89,702.59,616.46,723.52
370.56,752.05,658.38,712.68
455.04,838.81,662.63,725.77
496.63,855.25,738.99,908.98
582.17,870.6,758.02,925.08
657.62,879.61,788.41,938.4
687.95,884.19,779.61,950.17
695.66,893.36,806.77,926.58
722.78,896.77,830.45,884.99
732.94,364.3,790.48,878.1
762.09,916.31,778.05,897.59
774.9,922.64,829.37,853.9
779.0,923.02,978.7,997.18
784.8,924.69,983.04,997.27
803.86,928.36,985.48,997.34
860.82,953.45,987.72,997.4
819.33,938.63,989.9,997.47
860.52,936.35,991.89,997.52
311.87,688.47,538.88,290.43
414.33,777.25,491.03,177.07
520.56,811.17,684.29,391.51
623.65,868.39,689.99,142.26
678.29,877.48,650.42,65.09
690.92,883.61,686.41,61.24
716.19,910.29,773.97,58.47
746.62,906.79,780.7,13.73
771.48,925.92,996.65,997.39
767.21,925.82,996.97,997.5
786.74,926.35,997.18,997.6
808.05,925.82,997.33,997.68
815.4,948.14,998.06,998.3
820.13,934.01,998.11,998.34
854.62,945.05,998.15,998.37
859.86,948.14,998.18,998.4
870.56,956.91,998.21,998.42
853.6,958.81,998.23,998.43
875.52,952.08,998.25,998.44
311.49,700.31,599.33,725.22
422.18,772.11,638.07,416.9
492.65,859.7,714.81,931.34
597.6,872.76,747.34,837.45
685.23,886.74,775.15,475.1
698.87,924.95,794.67,818.95
732.19,648.78,777.89,825.26
748.0,919.16,792.36,507.07
772.35,917.44,992.85,997.33
776.68,922.32,994.8,997.44
799.73,937.27,995.89,997.54
836.51,929.59,996.55,997.63
862.7,824.63,997.97,998.27
846.37,945.7,998.05,998.31
866.89,946.88,998.11,998.34
866.33,969.18,998.15,998.37
880.49,960.16,998.18,998.39
882.91,977.29,998.2,998.4
899.83,977.86,998.22,998.41
