OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
19.2,17.4,63.4,86.8
18.6,15.8,68.1,92.0
18.2,13.4,76.2,94.2
17.2,10.2,80.0,95.8
16.3,9.5,85.9,96.2
16.0,9.5,86.4,98.0
16.9,9.3,88.1,97.9
16.0,9.4,88.6,99.1
16.9,10.5,88.6,99.3
16.6,10.0,90.2,97.9
15.8,10.2,90.2,98.1
15.8,8.8,91.6,98.6
15.6,8.6,92.0,98.6
15.6,8.8,92.4,98.7
14.0,8.9,93.9,98.8
13.9,8.9,95.1,98.8
13.9,21.3,93.7,98.8
13.7,21.4,94.1,98.8
13.4,9.1,95.3,98.9
19.3,17.4,63.1,85.1
18.7,15.9,67.3,90.2
18.3,14.1,74.3,90.7
17.2,9.9,77.9,92.8
16.4,9.0,84.6,94.7
16.0,8.3,85.9,94.8
16.6,8.4,85.6,94.4
16.1,9.2,87.6,95.2
16.6,9.7,87.4,95.4
17.0,5.7,87.8,96.7
15.7,5.7,88.2,94.7
15.7,5.9,89.8,95.5
15.6,6.2,89.1,96.5
15.5,5.6,90.4,95.6
15.5,6.8,91.3,97.7
13.4,6.7,92.2,93.4
13.3,5.2,90.4,97.9
10.5,4.9,91.3,98.0
10.4,4.8,92.0,98.0
19.6,17.0,63.1,84.0
18.9,16.2,66.6,89.4
18.4,14.1,73.6,89.2
18.1,9.4,77.2,91.8
17.2,8.9,84.0,93.8
16.7,8.0,84.9,94.0
16.1,8.5,86.3,96.0
14.7,7.6,86.0,95.6
17.1,4.8,86.4,95.1
17.1,5.0,87.9,95.6
15.7,4.7,87.7,94.1
15.6,4.8,88.0,95.0
15.3,4.7,89.0,94.4
15.2,4.9,90.2,95.1
15.5,4.9,90.3,95.5
15.4,4.8,89.5,95.9
10.3,4.3,90.8,96.0
10.3,4.0,91.8,96.5
10.0,4.1,89.4,92.9
18.2,13.5,76.0,95.2
16.3,9.9,85.8,96.0
16.9,9.4,88.3,98.3
16.9,10.4,88.8,97.9
15.8,18.7,90.3,98.6
15.6,6.4,92.0,98.7
14.0,9.0,94.1,98.8
13.9,21.3,93.8,98.8
13.4,8.7,95.4,98.9
13.7,8.1,96.4,99.0
10.2,8.8,95.1,99.0
9.3,13.5,96.2,99.0
8.9,7.6,96.5,95.9
17.2,15.1,96.9,99.1
20.6,15.8,95.8,96.0
17.5,14.7,96.7,0.5
17.2,13.5,97.3,0.5
9.9,14.8,97.3,99.4
9.7,15.6,98.1,99.4
18.3,14.1,75.0,91.0
16.4,9.1,84.7,95.4
16.6,8.3,86.3,95.2
16.7,6.8,87.6,96.5
15.7,5.7,88.2,95.3
15.6,4.9,89.2,97.0
15.5,6.8,91.3,92.8
13.3,6.8,90.6,98.0
10.4,5.7,92.0,98.5
9.4,7.5,93.2,98.6
8.8,6.4,94.0,98.7
