OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
217.07,263.02,550.46,618.65
226.83,294.82,577.33,576.55
234.33,344.07,599.29,563.19
247.67,365.57,610.81,482.61
251.48,384.38,621.9,437.07
261.07,405.38,606.68,435.1
274.01,422.56,563.0,89.7
293.97,401.51,584.87,45.96
305.36,452.21,481.68,27.23
325.2,462.03,460.8,15.07
331.92,442.99,383.56,7.16
346.24,553.32,446.36,5.09
360.36,431.85,306.01,3.79
370.44,462.05,416.79,2.92
381.38,481.21,382.92,2.33
376.35,510.29,346.29,1.93
375.62,670.11,219.73,1.65
387.53,758.64,114.05,1.45
358.38,761.82,44.42,1.31
216.16,261.85,542.1,623.12
225.48,283.91,571.1,609.78
232.48,341.14,592.02,673.63
239.1,367.56,612.6,666.52
252.24,378.89,530.46,491.01
259.87,391.03,626.31,518.26
274.17,377.7,625.76,535.6
290.1,389.47,630.34,643.68
303.65,371.7,649.41,555.39
323.19,426.77,601.86,309.34
329.87,435.22,639.05,401.8
343.06,452.62,591.81,144.31
343.72,460.33,487.08,26.62
366.95,495.67,508.53,24.22
377.33,494.66,509.68,18.57
371.44,647.86,507.08,7.44
377.74,516.27,501.47,5.48
397.22,513.21,509.64,4.57
388.5,424.19,505.17,3.62
213.86,247.39,551.39,624.55
222.62,278.7,561.87,595.62
228.78,322.16,583.63,660.92
235.93,355.5,590.15,687.21
239.79,340.49,565.96,699.31
257.48,282.39,623.24,646.64
267.43,285.65,645.81,657.99
277.42,223.87,644.03,639.98
294.22,227.88,641.76,678.44
305.02,237.76,661.75,664.52
322.95,261.62,654.59,720.82
334.32,342.3,669.79,723.05
343.07,203.45,673.77,722.87
352.36,21.56,676.05,740.78
256.45,20.12,682.22,646.12
358.78,20.44,688.88,602.71
376.39,15.65,680.82,568.69
287.62,14.8,621.58,559.43
315.12,14.23,621.92,206.0
234.32,344.73,599.95,589.66
251.44,368.54,612.09,444.76
273.95,423.92,564.5,71.85
305.23,450.02,484.19,18.52
331.74,488.38,387.59,5.72
360.11,448.34,308.08,3.22
381.08,506.98,373.78,2.05
375.35,744.69,223.57,1.52
367.55,769.74,44.61,1.24
434.68,778.95,34.57,1.09
400.69,786.73,17.93,0.98
366.85,790.93,9.11,0.9
378.06,749.66,6.15,0.84
322.01,608.36,4.46,0.78
408.03,795.79,3.26,0.73
338.96,796.4,2.44,0.69
454.81,802.52,1.87,0.64
408.25,802.49,1.45,0.6
486.79,796.62,1.16,0.57
232.45,340.02,592.2,659.83
252.19,376.67,531.15,501.14
274.08,370.19,626.3,564.66
303.51,446.08,651.7,547.4
329.67,440.43,639.87,433.47
343.46,420.67,488.67,27.87
377.17,496.24,507.95,18.85
377.6,480.83,514.92,5.31
388.28,516.22,509.42,3.51
408.19,521.45,609.04,2.37
380.69,21.09,590.11,1.71
342.67,19.82,273.9,1.32
363.24,15.94,288.1,1.08
389.08,15.02,48.97,0.92
414.64,16.9,33.78,0.81
450.79,16.95,12.57,0.73
461.5,15.09,9.83,0.67
442.02,762.24,6.66,0.62
444.85,686.15,5.07,0.57
228.75,320.97,583.47,683.52
239.77,335.96,565.86,705.41
267.37,230.86,645.65,675.14
294.12,172.86,641.64,686.81
322.82,280.59,654.49,691.12
342.97,120.98,673.71,747.48
257.27,21.42,682.2,648.63
376.37,19.2,680.92,634.41
315.33,13.22,622.58,574.05
278.6,12.25,623.04,67.37
279.5,13.91,641.93,10.84
348.37,12.74,639.8,5.2
369.56,12.38,670.62,3.91
304.49,12.9,665.85,2.85
329.14,8.88,645.7,2.11
178.7,12.33,708.36,1.62
192.0,12.57,557.21,1.27
53.21,9.57,566.19,1.03
343.57,12.13,527.56,0.86
251.39,369.1,614.49,452.37
293.73,394.39,518.12,29.05
331.43,438.25,396.05,5.0
371.0,490.4,428.02,2.23
375.15,714.32,221.46,1.42
427.24,707.37,39.24,1.13
395.75,559.35,18.06,0.97
375.76,790.82,7.23,0.87
321.46,599.9,4.45,0.78
390.17,634.59,2.81,0.71
431.26,34.69,1.86,0.64
470.53,31.77,1.29,0.59
451.76,23.57,0.95,0.53
492.32,22.6,0.73,0.49
478.02,17.04,0.59,0.45
536.7,82.4,0.5,0.41
515.98,28.44,0.43,0.38
667.31,23.95,0.38,0.35
409.55,30.47,0.34,0.32
252.11,376.33,531.6,627.85
289.84,392.64,632.39,661.77
329.35,440.86,641.23,369.12
366.25,479.94,485.72,24.98
388.91,666.07,535.82,5.26
400.23,514.78,507.68,2.85
432.95,19.91,604.59,1.7
460.31,13.91,389.84,1.18
389.57,17.39,63.63,0.92
417.37,18.83,17.29,0.76
456.21,801.94,10.29,0.67
444.09,750.11,6.17,0.59
350.98,817.79,4.48,0.54
452.07,823.91,3.0,0.49
243.95,16.1,2.13,0.45
337.22,14.33,1.54,0.41
360.13,11.53,1.13,0.38
375.12,842.85,0.86,0.35
409.97,972.19,0.66,0.32
239.76,331.49,565.68,717.58
277.25,218.1,643.65,660.96
322.6,295.98,654.03,689.99
335.16,20.16,675.93,741.44
376.05,15.25,681.08,657.18
288.87,8.78,618.54,582.05
284.98,9.26,642.31,25.23
354.74,9.03,664.06,5.05
296.04,11.57,667.42,3.3
334.53,8.38,706.95,2.13
196.04,9.01,694.36,1.43
343.36,10.74,565.97,1.03
41.8,11.6,512.22,0.79
43.78,15.03,19.07,0.63
35.06,13.7,11.9,0.53
37.37,13.39,8.42,0.45
36.54,11.27,5.74,0.4
40.66,9.67,4.74,0.36
37.93,10.74,3.36,0.33
271.59,426.87,570.09,34.55
331.07,484.96,394.45,4.32
379.86,509.14,414.59,1.72
367.97,710.26,45.46,1.17
460.46,753.84,20.59,0.97
377.89,605.08,5.99,0.84
405.09,738.67,3.25,0.73
430.05,800.29,1.86,0.64
479.02,749.66,1.15,0.57
487.72,41.96,0.79,0.5
476.14,778.67,0.59,0.45
487.7,823.35,0.47,0.4
459.09,821.81,0.39,0.36
273.85,853.53,0.34,0.32
621.06,16.84,0.3,0.29
397.97,679.07,0.27,0.26
548.8,834.86,0.24,0.24
567.63,833.6,0.22,0.22
571.93,813.95,0.2,0.2
273.78,366.99,594.39,632.66
335.39,438.6,607.56,485.8
375.86,450.61,506.57,20.36
389.89,408.53,508.13,3.53
432.57,18.16,617.49,1.72
416.1,12.6,394.33,1.08
404.21,13.91,37.48,0.81
456.12,720.35,10.97,0.67
447.42,817.91,5.85,0.57
453.87,22.86,3.61,0.5
243.35,9.15,2.29,0.45
337.5,846.13,1.49,0.4
359.82,836.9,1.0,0.36
416.24,842.52,0.7,0.32
68.33,23.84,0.52,0.29
505.45,25.03,0.4,0.26
60.98,18.24,0.32,0.24
743.37,20.93,0.26,0.21
704.5,800.77,0.22,0.19
267.39,213.28,644.82,742.58
322.48,278.29,653.87,721.36
257.23,20.19,682.06,731.18
315.91,12.17,625.15,578.2
286.55,9.28,644.22,188.83
361.88,11.89,673.84,5.11
329.3,7.92,646.27,2.92
198.23,10.28,707.22,1.68
344.57,10.53,577.1,1.07
37.64,12.93,527.33,0.75
35.09,11.85,12.98,0.57
37.67,10.91,8.46,0.45
35.39,8.52,5.12,0.38
16.98,10.08,3.73,0.33
44.21,9.23,2.64,0.29
20.64,9.85,1.87,0.26
38.18,9.8,1.34,0.23
20.01,8.35,0.96,0.21
18.03,5.05,0.71,0.19
304.35,479.23,485.59,10.24
369.43,530.54,441.15,1.87
401.71,708.44,46.19,1.15
405.93,796.27,11.22,0.93
345.14,69.21,4.45,0.78
455.86,754.99,2.12,0.66
472.16,803.27,1.15,0.57
491.23,41.39,0.73,0.49
475.18,43.47,0.52,0.42
642.85,28.03,0.41,0.37
272.95,834.87,0.34,0.32
618.65,823.77,0.29,0.28
547.87,804.01,0.25,0.25
719.4,804.99,0.22,0.22
569.95,884.22,0.2,0.2
487.93,885.03,0.17,0.17
591.67,908.58,0.16,0.15
526.54,895.77,0.14,0.14
528.38,891.48,0.12,0.12
299.96,441.96,638.83,623.29
366.5,423.11,482.37,26.44
389.39,37.09,511.19,3.67
372.52,15.77,626.66,1.54
389.91,12.12,297.04,0.93
421.83,798.81,13.42,0.7
446.44,818.27,6.37,0.58
453.34,18.33,3.52,0.49
335.74,827.65,2.02,0.42
356.95,845.56,1.2,0.37
408.66,783.25,0.76,0.32
66.97,802.85,0.51,0.28
61.57,24.34,0.37,0.25
533.24,910.82,0.28,0.22
701.06,915.89,0.23,0.19
715.21,972.29,0.19,0.17
715.25,8.75,0.16,0.15
577.93,972.22,0.14,0.14
711.32,972.52,0.13,0.12
293.43,133.19,640.76,672.93
333.18,19.49,676.09,754.99
316.3,11.59,624.94,642.69
336.59,7.49,655.36,580.39
289.1,12.23,665.22,5.24
287.52,8.62,697.76,2.39
342.14,8.97,573.42,1.28
37.37,11.86,547.22,0.79
35.18,10.3,12.23,0.55
36.18,7.04,6.53,0.42
35.95,9.73,4.61,0.34
44.61,9.47,2.78,0.29
19.15,9.15,1.82,0.25
30.64,4.3,1.22,0.22
17.88,3.74,0.82,0.19
36.3,3.32,0.57,0.17
37.15,497.46,0.4,0.15
37.44,4.61,0.3,0.14
32.78,4.16,0.22,0.12
331.26,586.95,470.14,3.43
379.99,701.13,211.95,1.28
457.22,794.92,21.54,0.96
322.12,68.9,4.46,0.78
458.46,26.13,1.86,0.64
452.06,39.46,0.95,0.53
473.53,25.42,0.59,0.45
506.89,20.72,0.43,0.38
272.33,824.64,0.34,0.32
548.0,800.7,0.28,0.28
518.29,882.13,0.24,0.24
577.6,869.47,0.21,0.21
487.71,825.46,0.18,0.18
591.73,822.84,0.16,0.15
594.68,898.43,0.14,0.14
572.12,903.77,0.12,0.12
722.58,924.52,0.1,0.1
638.2,16.97,0.09,0.09
732.4,877.75,0.08,0.08
334.28,434.45,616.79,471.96
387.1,374.66,492.76,5.92
431.68,15.75,621.53,1.86
389.62,25.9,407.03,0.95
436.76,12.17,13.18,0.67
348.76,17.64,5.43,0.54
242.27,19.4,2.82,0.45
347.94,16.35,1.5,0.38
409.57,26.78,0.84,0.32
414.42,24.56,0.52,0.27
65.73,929.68,0.35,0.24
555.16,972.62,0.26,0.2
707.24,973.55,0.2,0.18
729.81,972.5,0.17,0.15
577.1,972.7,0.14,0.13
589.53,972.99,0.12,0.12
709.5,973.19,0.1,0.1
75.81,962.26,0.09,0.09
21.71,962.22,0.08,0.08
322.32,192.89,654.6,697.01
367.18,14.16,681.65,763.58
332.44,8.28,652.06,647.87
290.23,9.01,663.93,6.0
290.33,8.35,705.09,2.71
222.29,9.17,573.79,1.29
35.84,13.86,20.54,0.73
36.66,7.11,9.41,0.48
38.99,9.47,4.79,0.36
44.68,7.62,3.02,0.29
18.77,3.92,1.85,0.24
20.89,3.2,1.14,0.2
38.6,2.83,0.73,0.18
37.18,3.7,0.48,0.15
37.63,3.3,0.32,0.13
34.41,2.99,0.23,0.12
20.85,2.74,0.17,0.1
20.33,2.54,0.13,0.09
18.14,957.62,0.1,0.08
357.57,462.17,413.78,1.98
427.66,779.24,42.16,1.08
333.54,636.68,6.05,0.83
452.41,817.14,2.15,0.66
484.75,82.5,0.95,0.53
478.64,782.52,0.56,0.43
548.35,757.46,0.39,0.36
687.03,828.46,0.31,0.3
271.86,771.92,0.25,0.25
579.28,853.26,0.21,0.21
70.83,871.53,0.18,0.18
589.52,900.4,0.15,0.15
530.85,899.49,0.13,0.13
609.43,886.93,0.11,0.11
609.52,957.66,0.09,0.09
752.98,957.96,0.08,0.08
752.24,953.13,0.07,0.07
743.99,953.12,0.06,0.06
741.57,748.74,0.05,0.05
341.26,372.87,499.51,114.1
403.84,17.51,542.17,3.48
461.27,11.68,390.85,1.19
435.18,805.47,19.15,0.72
447.74,17.27,6.37,0.54
416.81,834.35,2.9,0.43
354.53,26.81,1.41,0.36
48.44,22.53,0.74,0.3
56.49,18.45,0.44,0.25
530.22,963.71,0.29,0.21
705.04,963.79,0.21,0.18
728.83,971.98,0.16,0.15
579.54,972.15,0.13,0.13
74.43,972.39,0.11,0.11
735.53,9.18,0.1,0.09
22.28,8.81,0.08,0.08
759.56,9.15,0.07,0.07
743.82,4.63,0.06,0.06
43.12,4.82,0.05,0.05
340.01,32.3,673.89,748.34
290.21,10.76,626.34,692.34
353.37,7.99,663.31,666.97
190.09,7.79,648.25,4.53
223.89,9.31,584.67,1.73
37.62,9.13,20.31,0.85
36.07,13.07,10.18,0.5
16.91,6.63,4.49,0.34
19.11,5.25,2.67,0.26
30.6,4.01,1.54,0.21
37.34,4.15,0.9,0.18
37.19,2.91,0.55,0.15
38.16,3.32,0.35,0.13
21.03,988.19,0.23,0.11
20.53,988.21,0.16,0.09
18.59,988.21,0.12,0.08
38.8,987.83,0.09,0.07
168.4,965.11,0.07,0.06
80.25,1.83,0.06,0.05
374.53,549.7,476.93,1.46
448.7,793.96,13.88,0.96
426.6,759.19,3.35,0.73
452.41,770.02,1.18,0.57
457.77,780.66,0.6,0.45
642.27,13.61,0.39,0.36
673.49,715.02,0.3,0.29
545.36,859.38,0.24,0.24
570.84,881.27,0.2,0.2
586.93,903.84,0.16,0.16
504.55,902.65,0.14,0.14
607.47,953.69,0.11,0.11
607.6,925.13,0.09,0.09
751.08,952.94,0.08,0.08
752.29,923.6,0.07,0.07
733.49,962.67,0.06,0.06
701.85,742.06,0.05,0.05
39.56,876.29,0.04,0.04
802.12,877.5,0.03,0.03
356.36,524.47,491.2,28.61
