,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.05, 0.025, 9.0, 0.99)",395.89784999999995,340.2395499999999,343.10380000000004,375.12295000000034,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.5, 0.95)",396.26090000000016,342.4851499999999,343.14904999999993,371.93499999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.5, 0.96)",396.26090000000016,342.4851499999999,343.14904999999993,371.93499999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.5, 0.97)",396.26090000000016,342.4851499999999,343.14904999999993,371.93499999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.5, 0.98)",396.26090000000016,342.4851499999999,343.14904999999993,371.93499999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.5, 0.99)",396.26090000000016,342.4851499999999,343.14904999999993,371.93499999999995,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 10.0, 0.95)",397.09505,345.1155000000001,340.78995000000015,366.49795,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 10.0, 0.96)",397.09505,345.1155000000001,340.78995000000015,366.49795,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 10.0, 0.97)",397.09505,345.1155000000001,340.78995000000015,366.49795,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 10.0, 0.98)",397.09505,345.1155000000001,340.78995000000015,366.49795,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 10.0, 0.99)",397.09505,345.1155000000001,340.78995000000015,366.49795,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.0, 0.95)",286.3260000000002,261.88849999999996,302.31455000000005,263.35670000000005,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.0, 0.96)",286.3260000000002,261.88849999999996,302.31455000000005,263.35670000000005,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.0, 0.97)",286.3260000000002,261.88849999999996,302.31455000000005,263.35670000000005,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.0, 0.98)",286.3260000000002,261.88849999999996,302.31455000000005,263.35670000000005,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.0, 0.99)",286.3260000000002,261.88849999999996,302.31455000000005,263.35670000000005,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.5, 0.95)",300.78235000000006,267.44624999999996,332.34495000000004,270.4651000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.5, 0.96)",300.78235000000006,267.44624999999996,332.34495000000004,270.4651000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.5, 0.97)",300.78235000000006,267.44624999999996,332.34495000000004,270.4651000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.5, 0.98)",300.78235000000006,267.44624999999996,332.34495000000004,270.4651000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 1.5, 0.99)",300.78235000000006,267.44624999999996,332.34495000000004,270.4651000000002,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.0, 0.95)",313.2433,272.73725,355.0074500000002,278.5992,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.0, 0.96)",313.2433,272.73725,355.0074500000002,278.5992,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.0, 0.97)",313.2433,272.73725,355.0074500000002,278.5992,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.0, 0.98)",313.2433,272.73725,355.0074500000002,278.5992,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.0, 0.99)",313.2433,272.73725,355.0074500000002,278.5992,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.5, 0.95)",323.8230500000001,277.58624999999984,374.82895000000025,287.16405,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.5, 0.96)",323.8230500000001,277.58624999999984,374.82895000000025,287.16405,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.5, 0.97)",323.8230500000001,277.58624999999984,374.82895000000025,287.16405,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.5, 0.98)",323.8230500000001,277.58624999999984,374.82895000000025,287.16405,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 2.5, 0.99)",323.8230500000001,277.58624999999984,374.82895000000025,287.16405,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.0, 0.95)",333.61959999999993,282.26595000000003,378.88110000000006,295.57239999999985,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.0, 0.96)",333.61959999999993,282.26595000000003,378.88110000000006,295.57239999999985,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.0, 0.97)",333.61959999999993,282.26595000000003,378.88110000000006,295.57239999999985,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.0, 0.98)",333.61959999999993,282.26595000000003,378.88110000000006,295.57239999999985,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.0, 0.99)",333.61959999999993,282.26595000000003,378.88110000000006,295.57239999999985,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.5, 0.95)",343.60699999999997,286.48364999999984,384.6005,305.09384999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.5, 0.96)",343.60699999999997,286.48364999999984,384.6005,305.09384999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.5, 0.97)",343.60699999999997,286.48364999999984,384.6005,305.09384999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.5, 0.98)",343.60699999999997,286.48364999999984,384.6005,305.09384999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 3.5, 0.99)",343.60699999999997,286.48364999999984,384.6005,305.09384999999975,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.0, 0.95)",350.89750000000004,290.6248500000002,385.17319999999995,315.2033,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.0, 0.96)",350.89750000000004,290.6248500000002,385.17319999999995,315.2033,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.0, 0.97)",350.89750000000004,290.6248500000002,385.17319999999995,315.2033,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.0, 0.98)",350.89750000000004,290.6248500000002,385.17319999999995,315.2033,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.0, 0.99)",350.89750000000004,290.6248500000002,385.17319999999995,315.2033,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.5, 0.95)",355.1630499999999,294.9280499999999,382.33320000000043,322.7937,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.5, 0.96)",355.1630499999999,294.9280499999999,382.33320000000043,322.7937,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.5, 0.97)",355.1630499999999,294.9280499999999,382.33320000000043,322.7937,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.5, 0.98)",355.1630499999999,294.9280499999999,382.33320000000043,322.7937,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 4.5, 0.99)",355.1630499999999,294.9280499999999,382.33320000000043,322.7937,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.0, 0.95)",363.28494999999987,298.64725000000016,377.4274499999999,331.83890000000014,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.0, 0.96)",363.28494999999987,298.64725000000016,377.4274499999999,331.83890000000014,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.0, 0.97)",363.28494999999987,298.64725000000016,377.4274499999999,331.83890000000014,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.0, 0.98)",363.28494999999987,298.64725000000016,377.4274499999999,331.83890000000014,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.0, 0.99)",363.28494999999987,298.64725000000016,377.4274499999999,331.83890000000014,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.5, 0.95)",366.8865499999999,302.87739999999985,377.8718,340.63655,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.5, 0.96)",366.8865499999999,302.87739999999985,377.8718,340.63655,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.5, 0.97)",366.8865499999999,302.87739999999985,377.8718,340.63655,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.5, 0.98)",366.8865499999999,302.87739999999985,377.8718,340.63655,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.05, 5.5, 0.99)",366.8865499999999,302.87739999999985,377.8718,340.63655,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
